ID,TYPE_ID,QUESTIONNAIRE_ID,CODE,NAME,DISPLAY_ORDER
1146002,3,1146002,1,I often feel overwhelmed by tasks which I'm not sure to complete in time,1
1146003,3,1146002,2,I'm not comfortable with my working Time schedule and I would like to shift or reduce it,2
1146004,3,1146002,3,I'm often frustrated because I'm allocated on tasks which I'm not really interested to,3
1146005,3,1146002,4,I often work overtime and I don't have time for myself,4
1146006,3,1146002,5,The place where I use to work for most of my time is not really comfortable.,5
1146007,3,1146002,6,I would like more occasions to talk with my manager and explain my view and expectations.,6
1146008,3,1146002,7,I don't feel 100% comfortable working with some of my colleagues.,7
1146009,2,1146004,1,Working Environment,1
1146010,2,1146004,2,Tasks / Activities,2
1146011,2,1146004,3,Colleagues,3
1146012,2,1146004,4,Manager,4
1146013,2,1146004,5,Career,5
1146015,2,1146004,6,Training,6
1146016,2,1146004,7,Working Time Schedule,7
1173001,1,1173001,1,How satisfied are you with your experience working from home?,1
1173002,1,1173001,2,"Compared to last week, how are you feeling with working from home?",2
1173003,5,1173001,3,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,3
1173004,1,1173001,4,Can you count on all means that you need to do your work from home?,4
1173005,1,1173001,5,Do you have a dedicated room or workspace where you can work at your home?,5
1173006,1,1173001,6,How often do you exceed your regular scheduled time when working from home?,6
1173007,1,1173001,7,Express how much you are aligned with this sentence: My performance has been the same when working from home.,7
1173008,6,1173001,8,Distribute the weight of these aspects in your daily working life.,8
1173010,4,1173001,10,What would you recommend to improve for the near future?,10
1173011,3,1173001,9,How likely is that you would recommend working from home for the future?,9
1173012,1,1173002,1,How satisfied are you with your experience working with us?,1
1173013,1,1173002,2,ï¿½Our company effectively used your skills hereï¿½. How much would you agree with this sentence?,2
1173014,1,1173002,3,ï¿½You were well paid for the work you did at this companyï¿½. How much would you agree with this sentence?,3
1173015,1,1173002,4,Do you feel you have been always recognized for your effort?,4
1173016,1,1173002,5,Were decisions made by your supervisor always reasonable?,5
1173017,1,1173002,6,What strengths did you admire the most from your supervisor?,6
1173018,1,1173002,7,Did you feel your opinions were always took into consideration?,7
1173019,5,1173002,8,Rank the first three reasons that didnï¿½t make you feel really comfortable and happy.,8
1173020,3,1173002,9,How likely is that you would recommend our company to a friend?,9
1173021,4,1173002,10,What would you recommend to improve ourselves for the near future?,10
1173022,1,1173003,1,Were you introduced to colleagues from your team or other departments?,1
1173023,1,1173003,2,Did you receive all your equipments on time?,2
1173024,1,1173003,3,Is your workplace/office is comfortable and adeguate to your needs and assigned tasks.,3
1173025,1,1173003,4,Did you receive an adeguate Training?,4
1173026,3,1173003,5,Would you recommend joining our company to other colleagues?,5
1173027,4,1173003,6,Would you like to add any additional comment for us to improve our onboarding program?,6
1173028,5,1173004,1,Soft Skill first impression,1
1173029,4,1173004,2,What are the areas I would like you to be focused in the next months,2
1173030,4,1173004,3,What are the areas I would like you to improve,3
1173031,1,1173005,1,Did you get support from your teammates?,1
1173032,5,1173005,2,What worked the most for you (put at the top what worked the best),2
1173033,4,1173005,3,What could we do better?,3
1173034,4,1173005,4,What are the expectations for the next months?,4
1213249,1,1213249,#1,How would you judge the effectiveness of the Training on the employee?,1
1213250,4,1213249,#2,Additional comments,2
1433827,1,1433792,-1,I am satisfied with the investment my organization makes in training and education.,1
1433828,1,1433792,-2,I am satisfied that I have the opportunities to apply my talents and expertise.,2
1433829,1,1433792,-3,I am satisfied with the job-related training my organization offers.,3
1433857,1,1433792,-4,My organization is dedicated to my professional development.,4
1433858,1,1433792,-5,I am pleased with the career advancement opportunities available to me.,5
1433859,1,1433792,-6,I would be in favour to change location.,6
1433861,5,1433792,-8,Prioritize the characteristics your new job that you would like to find.,8
