ID,QUESTION_ID,ANSWER
1146002,1146002,Completely Disagree
1146003,1146002,2
1146004,1146002,3
1146005,1146002,4
1146006,1146002,5
1146007,1146002,6
1146008,1146002,7
1146009,1146002,8
1146010,1146002,9
1146011,1146002,Strongly Agree
1146012,1146003,Completely Disagree
1146013,1146003,2
1146014,1146003,3
1146015,1146003,4
1146016,1146003,5
1146017,1146003,6
1146018,1146003,7
1146019,1146003,8
1146020,1146003,9
1146021,1146003,Strongly Agree
1146022,1146004,Completely Disagree
1146023,1146004,2
1146024,1146004,3
1146025,1146004,4
1146026,1146004,5
1146027,1146004,6
1146028,1146004,7
1146029,1146004,8
1146030,1146004,9
1146031,1146004,Strongly Agree
1146032,1146005,Completely Disagree
1146033,1146005,2
1146034,1146005,3
1146035,1146005,4
1146036,1146005,5
1146037,1146005,6
1146038,1146005,7
1146039,1146005,8
1146040,1146005,9
1146041,1146005,Strongly Agree
1146042,1146006,Completely Disagree
1146043,1146006,2
1146044,1146006,3
1146045,1146006,4
1146046,1146006,5
1146047,1146006,6
1146048,1146006,7
1146049,1146006,8
1146050,1146006,9
1146051,1146006,Strongly Agree
1146052,1146007,Completely Disagree
1146053,1146007,2
1146054,1146007,3
1146055,1146007,4
1146056,1146007,5
1146057,1146007,6
1146058,1146007,7
1146059,1146007,8
1146060,1146007,9
1146061,1146007,Strongly Agree
1146062,1146008,Completely Disagree
1146063,1146008,2
1146064,1146008,3
1146065,1146008,4
1146066,1146008,5
1146067,1146008,6
1146068,1146008,7
1146069,1146008,8
1146070,1146008,9
1146071,1146008,Strongly Agree
1146072,1146009,Happy
1146073,1146009,Neutral
1146074,1146009,Unhappy
1146075,1146010,Happy
1146076,1146010,Neutral
1146077,1146010,Unhappy
1146078,1146011,Happy
1146079,1146011,Neutral
1146080,1146011,Unhappy
1146081,1146012,Happy
1146082,1146012,Neutral
1146083,1146012,Unhappy
1146084,1146013,Happy
1146085,1146013,Neutral
1146086,1146013,Unhappy
1146090,1146015,Happy
1146091,1146015,Neutral
1146092,1146015,Unhappy
1146093,1146016,Happy
1146094,1146016,Neutral
1146095,1146016,Unhappy
1146096,1173026,Not at all likely
1146097,1173026,1
1146098,1173026,2
1146099,1173026,3
1146100,1173026,4
1146101,1173026,5
1146102,1173026,6
1146103,1173026,7
1146104,1173026,8
1146105,1173026,9
1146106,1173026,Extremely likely
1173012,1173003,Too many distractions at home
1173013,1173003,Childcare
1173014,1173003,Internet connectivity
1173015,1173003,Social isolation
1173016,1173003,Narrow physical workspace
1173017,1173003,Not efficient communication with coworkers
1173018,1173003,Lack of resources and tools
1173019,1173003,Stay at work is taking much longer than when I�m in the office
1173020,1173003,I feel physically more stressed
1173021,1173003,Other (please specify)
1173026,1173004,No
1173027,1173004,Yes
1173028,1173005,Yes
1173029,1173005,No
1173030,1173006,Every day
1173031,1173006,Most days
1173032,1173006,Half of the working days
1173033,1173006,Rarely
1173034,1173006,Never
1173037,1173008,Keeping enough free time for family
1173038,1173008,Having a good relationship with colleagues
1173039,1173008,Having a good relationship with my manager
1173040,1173008,Not spending more than 2 hours per day to reach the workplace
1173052,1173001,Very satisfied
1173053,1173001,Somewhat satisfied
1173054,1173001,Neither satisfied nor dissatisfied
1173055,1173001,Somewhat dissatisfied
1173056,1173001,Very dissatisfied
1173057,1173002,Very satisfied
1173058,1173002,Somewhat satisfied
1173059,1173002,Neither satisfied nor dissatisfied
1173060,1173002,Somewhat dissatisfied
1173061,1173002,Very dissatisfied
1173062,1173007,Strongly agree
1173063,1173007,Agree
1173064,1173007,Neither agree nor disagree
1173065,1173007,Somewhat disagree
1173066,1173007,Disagree
1173067,1173007,Strongly disagree
1173078,1173012,Very satisfied
1173079,1173012,Somewhat satisfied
1173080,1173012,Neither satisfied nor dissatisfied
1173081,1173012,Somewhat dissatisfied
1173082,1173012,Very dissatisfied
1173083,1173013,Very satisfied
1173084,1173013,Somewhat satisfied
1173085,1173013,Neither satisfied nor dissatisfied
1173086,1173013,Somewhat dissatisfied
1173087,1173013,Very dissatisfied
1173088,1173014,Strongly agree
1173089,1173014,Agree
1173090,1173014,Neither agree nor disagree
1173091,1173014,Somewhat disagree
1173092,1173014,Disagree
1173093,1173014,Strongly disagree
1173094,1173015,Yes
1173095,1173015,No
1173096,1173016,Always
1173097,1173016,Very often
1173098,1173016,Often
1173099,1173016,Sometimes
1173100,1173016,Rarely
1173101,1173016,Never
1173102,1173017,None
1173103,1173017,Patience
1173104,1173017,Leadership
1173105,1173017,Empathy
1173106,1173017,Communication
1173107,1173017,Ambition
1173108,1173018,Strongly agree
1173109,1173018,Agree
1173110,1173018,Neither agree nor disagree
1173111,1173018,Somewhat disagree
1173112,1173018,Disagree
1173113,1173018,Strongly disagree
1173114,1173019,Relationship with colleagues
1173115,1173019,Relationship with my manager
1173116,1173019,The workplace
1173117,1173019,Duties I was assigned to
1173118,1173019,Working far from home
1173119,1173019,Extra time work
1173120,1173022,Yes
1173121,1173022,No
1173122,1173023,Yes
1173123,1173023,No
1173124,1173024,Strongly agree
1173125,1173024,Agree
1173126,1173024,Neither agree nor disagree
1173127,1173024,Somewhat disagree
1173128,1173024,Disagree
1173129,1173024,Strongly disagree
1173130,1173025,Strongly agree
1173131,1173025,Agree
1173132,1173025,Neither agree nor disagree
1173133,1173025,Somewhat disagree
1173134,1173025,Disagree
1173135,1173025,Strongly disagree
1173146,1173028,Team working
1173147,1173028,Initiative
1173148,1173028,Leadership
1173149,1173031,Always
1173150,1173031,Very often
1173151,1173031,Often
1173152,1173031,Sometimes
1173153,1173031,Rarely
1173154,1173031,Never
1173155,1173032,Working with Teammates
1173156,1173032,Support from HR
1173157,1173032,Support from Administration
1173158,1173032,Support from IT Department
1173159,1173032,Coaching and Mentoring
1173160,1173032,Training received
1213249,1213249,0: Ineffective - The training had no positive impact on the employee's skills or performance. 
1213250,1213249,1: Somewhat Effective - The training had minimal impact on the employee's skills or performance.
1213251,1213249,"2: Moderately Effective - The training had a significant impact on the employee's skills or performance, but there is still room for improvement. "
1213252,1213249,"3: Highly Effective - The training had an extremely positive impact on the employee's skills or performance, and the results were clear and beneficial to the company."
1433827,1433827,Strongly agree
1433828,1433827,Agree
1433829,1433827,Neither agree nor disagree
1433830,1433827,Somewhat disagree
1433831,1433827,Disagree
1433832,1433827,Strongly disagree
1433833,1433828,Strongly agree
1433834,1433828,Agree
1433835,1433828,Neither agree nor disagree
1433836,1433828,Somewhat disagree
1433837,1433828,Disagree
1433838,1433828,Strongly disagree
1433839,1433829,Strongly agree
1433840,1433829,Agree
1433841,1433829,Neither agree nor disagree
1433842,1433829,Somewhat disagree
1433843,1433829,Disagree
1433844,1433829,Strongly disagree
1433857,1433857,Strongly agree
1433858,1433857,Agree
1433859,1433857,Neither agree nor disagree
1433860,1433857,Somewhat disagree
1433861,1433857,Disagree
1433862,1433857,Strongly disagree
1433863,1433858,Strongly agree
1433864,1433858,Agree
1433865,1433858,Neither agree nor disagree
1433866,1433858,Somewhat disagree
1433867,1433858,Disagree
1433868,1433858,Strongly disagree
1433869,1433859,Yes
1433870,1433859,No
1433876,1433861,Working in team
1433877,1433861,Travelling
1433878,1433861,Flexible Working Time
1433879,1433861,Work by Objective
1433880,1433861,Close to home
1433881,1433861,Multitasking
1433882,1433861,Learning
1433883,1433863,Less than three months
1433884,1433863,In one year
1433885,1433863,In two years
1433887,1433865,Sales
1433888,1433865,Marketing
1433889,1433865,HR
1433890,1433865,R&D
1433891,1433865,Business Developement
5100001,5100001,Yes
5100002,5100001,No
5100003,5100002,Yes
5100004,5100002,No
5100005,5100003,Yes
5100006,5100003,No
5100007,5100004,Yes
5100008,5100004,No
5100009,5100005,Yes
5100010,5100005,No
5100011,5100006,Yes
5100012,5100006,No
5100013,5100007,Yes
5100014,5100007,No
5100017,5100009,Yes
5100018,5100009,No
5100019,5100010,Yes
5100020,5100010,No
5100023,5100012,Yes
5100024,5100012,No
5100035,1173011,Not at all likely
5100036,1173011,1
5100037,1173011,2
5100038,1173011,3
5100039,1173011,4
5100040,1173011,5
5100041,1173011,6
5100042,1173011,7
5100043,1173011,8
5100044,1173011,9
5100045,1173011,Extremely likely
5100046,1173020,Not at all likely
5100047,1173020,1
5100048,1173020,2
5100049,1173020,3
5100050,1173020,4
5100051,1173020,5
5100052,1173020,6
5100053,1173020,7
5100054,1173020,8
5100055,1173020,9
5100056,1173020,Extremely likely
5100068,5100015,Not at all likely
5100069,5100015,1
5100070,5100015,2
5100071,5100015,3
5100072,5100015,4
5100073,5100015,5
5100074,5100015,6
5100075,5100015,7
5100076,5100015,8
5100077,5100015,9
5100078,5100015,Extremely likely
5100079,5100016,Not at all likely
5100080,5100016,1
5100081,5100016,2
5100082,5100016,3
5100083,5100016,4
5100084,5100016,5
5100085,5100016,6
5100086,5100016,7
5100087,5100016,8
5100088,5100016,9
5100089,5100016,Extremely likely
5100090,5100017,Yes
5100091,5100017,No
5100092,5100018,Strongly agree
5100093,5100018,Agree
5100094,5100018,Neither agree nor disagree
5100095,5100018,Somewhat disagree
5100096,5100018,Disagree
5100097,5100018,Strongly disagree
5100098,5100019,Strongly agree
5100099,5100019,Agree
5100100,5100019,Neither agree nor disagree
5100101,5100019,Somewhat disagree
5100102,5100019,Disagree
5100103,5100019,Strongly disagree
5100104,5100020,Severely insufficient
5100105,5100020,Insufficient
5100106,5100020,Adequate
5100107,5100020,Good
5100108,5100020,Excellent
5100109,5100021,Strongly agree
5100110,5100021,Agree
5100111,5100021,Neither agree nor disagree
5100112,5100021,Somewhat disagree
5100113,5100021,Disagree
5100114,5100021,Strongly disagree
5100115,5100022,Very satisfied
5100116,5100022,Somewhat satisfied
5100117,5100022,Neither satisfied nor dissatisfied
5100118,5100022,Somewhat dissatisfied
5100119,5100022,Very dissatisfied
500000002,500000002,Agree
500000003,500000002,Disagree
500000004,500000003,Agree
500000005,500000003,Disagree
500000006,500000004,Agree
500000007,500000004,Disagree
500000008,500000005,Agree
500000009,500000005,Disagree
500000010,500000006,Agree
500000011,500000006,Disagree
500000012,500000007,Agree
500000013,500000007,Disagree
500000014,500000008,Agree
500000015,500000008,Disagree
500000016,500000009,Agree
500000017,500000009,Disagree
500000018,500000010,Agree
500000019,500000010,Disagree
500000020,500000011,Agree
500000021,500000011,Disagree
500000022,500000012,Agree
500000023,500000012,Disagree
500000024,500000013,Agree
500000025,500000013,Disagree
500000026,500000014,Agree
500000027,500000014,Disagree
500000028,500000015,Agree
500000029,500000015,Disagree
500000030,500000016,Agree
500000031,500000016,Disagree
500000032,500000018,Agree
500000033,500000018,Disagree
500000034,500000019,Agree
500000035,500000019,Disagree
500000036,500000020,Agree
500000037,500000020,Disagree
500000038,500000021,Agree
500000039,500000021,Disagree
500000040,500000022,Sales
500000041,500000022,Marketing
500000042,500000022,Consultancy
500000043,500000022,R&D
500000044,500000023,In 6 Months
500000045,500000023,In 1 Year
500000046,500000023,In 2 Years
500000047,500000023,More than 2 years
500000056,500000028,Excellent
500000057,500000028,Good
500000058,500000028,Bad
500000059,500000028,Worst. If yes why?
500000060,500000029,Laptop
500000061,500000029,Tablet
500000062,500000029,Smartphone
500000063,500000029,Monitor
500000064,500000029,Keyboard
500000065,500000031,Project
500000066,500000031,Boss
500000067,500000031,Teamwork
500000068,500000031,Salary
500000069,500000031,Assets
500000070,500000031,Working hours
500000071,500000032,Health insurance
500000072,500000032,Travel
500000073,500000032,Training
500000074,500000032,Amazon
