ID,TYPE_ID,TOPIC_ID,CODE,NAME,DESCRIPTION,FUNCTIONAL_AREA_ID,IS_COLLAPSIBLE,SHOW_QUESTION_CODE,SHOW_CORRECT_ANSWERS,HEADER_LAYOUT_ID,HEADER_TITLE,HEADER_DESCRIPTION,HEADER_RESOURCE_ID,HEADER_COLOR_INDEX,HEADER_HTML,FOOTER_LAYOUT_ID,FOOTER_TITLE,FOOTER_DESCRIPTION,FOOTER_RESOURCE_ID,FOOTER_COLOR_INDEX,FOOTER_HTML,CONTENT_SIDE_PADDING_ID,PADDING_BETWEEN_ROWS_ID,DISPLAY_MODE_ID,CALCULATION_MODE_ID,DECIMAL_PLACES,SHAREDIDENTIFIER,LISTAGENCY_ID,USER_ID,INSERT_TIME,INSERT_USER,INSERT_CLIENT,UPDATE_TIME,UPDATE_USER,UPDATE_CLIENT,UPDATE_COUNT,WORKFLOW_ID
1146002,3,NULL,Stress Survey,Stress Survey,"Burnout being represented by emotional and or physical exhaustion of employees due to long term, incessant, work-induced stress can put at risk the achievement of important goals and a correct work life balance at a basis of a good Performance and climate. This questionnaire aims detecting any signal that might be interesting to follow up before it's too late.",NULL,1,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,01:00.5,training2-sprint14-reporting,::1,05:27.0,sprint57_HCM-3201,::1,1,NULL
1146004,3,NULL,Mood,Mood,"Checking continuously the ""climate"" of your Teammates with this questionnaire, listen to how they feel and if there are recognizable recurrent claims or feeling is a small step preceding more actions to establish the correct work life balance and avoid risky disengagement phenomena.",NULL,1,1,0,1,How was your mood over the last week?,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,07:54.2,PS21000032_REPMENU,::1,06:54.9,sprint57_HCM-3201,::1,2,NULL
1173001,2,NULL,REMOTE_WORKING,Remote Working - Tell us your experience,Remote Working - Tell us your experience,1173001,1,1,0,1,Remote Working - Tell us your experience,"Thank you for taking the time to complete this survey - we ask you these questions so that we can understand how was your experience working remotely from home, what the pain points and margin of improvements.",1173002,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,02:56.3,training-sprint1_Review_Survey_A6,::1,36:07.3,CARDILLI,172.25.2.40,6,NULL
1173002,2,NULL,EXIT_INTERVIEW,Exit interview  - Tell us your experience,"Thank you for taking the time to complete this survey. We would like you to spend few minutes telling us how was your experience working with use, what didn’t work and how we can improve.",1173001,1,1,0,1,Exit interview  - Tell us your experience,"Thank you for taking the time to complete this survey. We would like you to spend few minutes telling us how was your experience working with use, what didn’t work and how we can improve.",1173003,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,14:37.6,training-sprint1_Review_Survey_A6,::1,38:23.5,CARDILLI,172.25.2.40,3,NULL
1173003,2,NULL,OQ,Onboarding Questionnaire,This questionnaire can be used in an onboarding survey to gather feedback from new starters.,NULL,1,1,0,1,NULL,NULL,1173004,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,30:41.6,absence-sprint15_HCM-onboarding_Campanelli_21,::1,33:35.3,PS21000070_FabioTranslations,::1,7,NULL
1173004,0,NULL,FEEDBACK_MANAGER,Feedback from the Manager,This questionnaire is for managers to give feedback to new starters at the end of the onboarding period.,NULL,1,1,0,1,NULL,NULL,1173004,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,59:15.2,absence-sprint15_HCM-onboarding_Campanelli_21,::1,29:13.1,PS21000070_FabioTranslations,::1,4,NULL
1173005,0,NULL,FEEDBACK_EMPLOYEE,Feedback from the Employee,This questionnaire is for new starters to share feedback and expectations at the end of the onboarding period.,NULL,1,1,0,1,NULL,NULL,1173005,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,43:01.6,absence-sprint15_HCM-onboarding_Campanelli_23,::1,31:26.2,PS21000070_FabioTranslations,::1,2,NULL
1175901,0,NULL,STD_CF,Standard Candidate Interview Questionnaire,This questionnaire can be linked to a Selection Step in order to collect feedback from a Candidate interview.,1140003,1,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,0,4,3,NULL,0,NULL,17:47.6,sprint31_HCM-1759,::1,16:23.8,sprint31_HCM-1759,::1,5,NULL
1213249,0,NULL,TRAININGEFFECTIVENESS,Training Effectiveness standard assessment form,Use this form to assess the effectiveness of Training made by your employees.,1900002,1,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,41:13.2,sprint62_HCM-3475,::1,41:13.2,sprint62_HCM-3475,::1,0,NULL
1433792,0,NULL,CAREER_INTERVIEW,Career Interview,Career Interview,1190001,1,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,03:39.8,sprint62_HCM-3128,::1,15:37.3,sprint62_HCM-3128,::1,1,NULL
