ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Very effective,Executive/Senior Management,0
0,0.0,Very effective,Manager,0
0,0.0,Very effective,Staff/Employee,0
0,0.0,Very effective,Intern,0
0,0.0,Very effective,Other (please specify): __________________,0
1,0.0,Somewhat effective,Executive/Senior Management,0
1,0.0,Somewhat effective,Manager,0
1,0.0,Somewhat effective,Staff/Employee,0
1,0.0,Somewhat effective,Intern,0
1,0.0,Somewhat effective,Other (please specify): __________________,0
2,0.0,Not very effective,Executive/Senior Management,0
2,0.0,Not very effective,Manager,0
2,0.0,Not very effective,Staff/Employee,0
2,0.0,Not very effective,Intern,0
2,0.0,Not very effective,Other (please specify): __________________,0
3,0.0,Not at all effective,Executive/Senior Management,0
3,0.0,Not at all effective,Manager,0
3,0.0,Not at all effective,Staff/Employee,0
3,0.0,Not at all effective,Intern,0
3,0.0,Not at all effective,Other (please specify): __________________,0
0,1.0,Daily,Less than 1 year,0
0,1.0,Daily,1-3 years,0
0,1.0,Daily,3-5 years,0
0,1.0,Daily,5-10 years,0
0,1.0,Daily,More than 10 years,0
1,1.0,Weekly,Less than 1 year,0
1,1.0,Weekly,1-3 years,0
1,1.0,Weekly,3-5 years,0
1,1.0,Weekly,5-10 years,0
1,1.0,Weekly,More than 10 years,0
2,1.0,Monthly,Less than 1 year,0
2,1.0,Monthly,1-3 years,0
2,1.0,Monthly,3-5 years,0
2,1.0,Monthly,5-10 years,0
2,1.0,Monthly,More than 10 years,0
3,1.0,Rarely,Less than 1 year,0
3,1.0,Rarely,1-3 years,0
3,1.0,Rarely,3-5 years,0
3,1.0,Rarely,5-10 years,0
3,1.0,Rarely,More than 10 years,0
0,2.0,Email,Daily,0
0,2.0,Email,Weekly,0
0,2.0,Email,Monthly,0
0,2.0,Email,Quarterly,0
0,2.0,Email,Annually,0
0,2.0,Email,Rarely,0
0,2.0,Email,Never,0
1,2.0,In-person,Daily,0
1,2.0,In-person,Weekly,0
1,2.0,In-person,Monthly,0
1,2.0,In-person,Quarterly,0
1,2.0,In-person,Annually,0
1,2.0,In-person,Rarely,0
1,2.0,In-person,Never,0
2,2.0,Online survey,Daily,0
2,2.0,Online survey,Weekly,0
2,2.0,Online survey,Monthly,0
2,2.0,Online survey,Quarterly,0
2,2.0,Online survey,Annually,0
2,2.0,Online survey,Rarely,0
2,2.0,Online survey,Never,0
3,2.0,Other,Daily,0
3,2.0,Other,Weekly,0
3,2.0,Other,Monthly,0
3,2.0,Other,Quarterly,0
3,2.0,Other,Annually,0
3,2.0,Other,Rarely,0
3,2.0,Other,Never,0
