QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146002,0.0,0,Strongly disagree,Strongly Agree,0.1861648705529516,0.018616487055295162,0.0034657359027997227
1146002,0.0,1,Somewhat disagree,Completely Disagree,0.0,0.0,0.0
1146002,0.0,2,Neither agree nor disagree,Completely Disagree,0.0,0.0,0.0
1146002,0.0,3,Somewhat agree,Completely Disagree,0.0,0.0,0.0
1146002,0.0,4,Strongly agree,Strongly Agree,0.1861648705529516,0.018616487055295162,0.0034657359027997227
1146002,1.0,0,I strongly agree,Completely Disagree,0.0,0.0,0.0
1146002,1.0,1,I somewhat agree,Completely Disagree,0.0,0.0,0.0
1146002,1.0,2,I somewhat disagree,Completely Disagree,0.0,0.0,0.0
1146002,1.0,3,I strongly disagree,Completely Disagree,0.0,0.0,0.0
1146002,2.0,0,I strongly agree,Completely Disagree,0.0,0.0,0.0
1146002,2.0,1,I somewhat agree,Completely Disagree,0.0,0.0,0.0
1146002,2.0,2,I somewhat disagree,Completely Disagree,0.0,0.0,0.0
1146002,2.0,3,I strongly disagree,Completely Disagree,0.0,0.0,0.0
1146002,3.0,0,I strongly agree,Completely Disagree,0.0,0.0,0.0
1146002,3.0,1,I somewhat agree,Completely Disagree,0.0,0.0,0.0
1146002,3.0,2,I somewhat disagree,Completely Disagree,0.0,0.0,0.0
1146002,3.0,3,I strongly disagree,Completely Disagree,0.0,0.0,0.0
1146002,4.0,0,I strongly agree,Completely Disagree,0.0,0.0,0.0
1146002,4.0,1,I somewhat agree,Completely Disagree,0.0,0.0,0.0
1146002,4.0,2,I somewhat disagree,Completely Disagree,0.0,0.0,0.0
1146002,4.0,3,I strongly disagree,Completely Disagree,0.0,0.0,0.0
1146002,5.0,0,I strongly agree,Completely Disagree,0.0,0.0,0.0
1146002,5.0,1,I somewhat agree,Completely Disagree,0.0,0.0,0.0
1146002,5.0,2,I somewhat disagree,Completely Disagree,0.0,0.0,0.0
1146002,5.0,3,I strongly disagree,Completely Disagree,0.0,0.0,0.0
1146002,6.0,0,I strongly agree,Completely Disagree,0.0,0.0,0.0
1146002,6.0,1,I somewhat agree,Completely Disagree,0.0,0.0,0.0
1146002,6.0,2,I somewhat disagree,Completely Disagree,0.0,0.0,0.0
1146002,6.0,3,I strongly disagree,Completely Disagree,0.0,0.0,0.0
1173003,0.0,0,1 - Very Poor,Yes,0.0,0.0,0.0
1173003,0.0,1,2 - Poor,Yes,0.0,0.0,0.0
1173003,0.0,2,3 - Fair,Yes,0.0,0.0,0.0
1173003,0.0,3,4 - Good,Yes,0.0,0.0,0.0
1173003,0.0,4,5 - Excellent,Yes,0.0,0.0,0.0
5100003,0.0,0,The instructor's expertise,Not at all likely,0.0,0.0,0.0
5100003,0.0,1,The hands-on practice,Not at all likely,0.0,0.0,0.0
5100003,0.0,2,The group discussions,Not at all likely,0.0,0.0,0.0
5100003,0.0,3,The overall pace,Not at all likely,0.0,0.0,0.0
5100003,0.0,4,Other (please specify),Not at all likely,0.0,0.0,0.0
5100003,1.0,0,Excellent,Yes,0.0,0.0,0.0
5100003,1.0,1,Good,Yes,0.0,0.0,0.0
5100003,1.0,2,Fair,Yes,0.0,0.0,0.0
5100003,1.0,3,Poor,Yes,0.0,0.0,0.0
5100003,2.0,0,The material was too complex,Strongly agree,0.0,0.0,0.0
5100003,2.0,1,The pace was too fast,Strongly agree,0.0,0.0,0.0
5100003,2.0,2,The group discussions were too loud,Strongly agree,0.0,0.0,0.0
5100003,2.0,3,Other (please specify),Strongly agree,0.0,0.0,0.0
5100003,3.0,0,Excellent,Strongly agree,0.0,0.0,0.0
5100003,3.0,1,Good,Strongly agree,0.0,0.0,0.0
5100003,3.0,2,Fair,Strongly agree,0.0,0.0,0.0
5100003,3.0,3,Poor,Strongly agree,0.0,0.0,0.0
5100003,4.0,0,More hands-on practice,Severely insufficient,0.0,0.0,0.0
5100003,4.0,1,More group discussions,Severely insufficient,0.0,0.0,0.0
5100003,4.0,2,More real-world examples,Severely insufficient,0.0,0.0,0.0
5100003,4.0,3,Other (please specify),Severely insufficient,0.0,0.0,0.0
5100003,5.0,0,Very likely,Strongly agree,0.0,0.0,0.0
5100003,5.0,1,Somewhat likely,Somewhat disagree,0.1861648705529516,0.031027478425491934,0.005776226504666204
5100003,5.0,2,Not very likely,Strongly agree,0.0,0.0,0.0
5100003,5.0,3,Not at all likely,Strongly agree,0.0,0.0,0.0
5100003,6.0,0,The instructor's expertise,Very satisfied,0.0,0.0,0.0
5100003,6.0,1,The hands-on practice,Very satisfied,0.0,0.0,0.0
5100003,6.0,2,The group discussions,Very satisfied,0.0,0.0,0.0
5100003,6.0,3,The overall pace,Very satisfied,0.0,0.0,0.0
5100003,6.0,4,Other (please specify),Very satisfied,0.0,0.0,0.0
500100009,0.0,0,Very clear,Executive/Senior Management,0.0,0.0,0.0
500100009,0.0,1,Somewhat clear,Executive/Senior Management,0.0,0.0,0.0
500100009,0.0,2,Not very clear,Executive/Senior Management,0.0,0.0,0.0
500100009,0.0,3,Not at all clear,Executive/Senior Management,0.0,0.0,0.0
500100009,1.0,0,Strongly agree,Less than 1 year,0.0,0.0,0.0
500100009,1.0,1,Somewhat agree,Less than 1 year,0.0,0.0,0.0
500100009,1.0,2,Neither agree nor disagree,Less than 1 year,0.0,0.0,0.0
500100009,1.0,3,Somewhat disagree,Less than 1 year,0.0,0.0,0.0
500100009,1.0,4,Strongly disagree,Less than 1 year,0.0,0.0,0.0
500100009,2.0,0,Daily,1,0.0,0.0,0.0
500100009,2.0,1,Weekly,1,0.0,0.0,0.0
500100009,2.0,2,Monthly,1,0.0,0.0,0.0
500100009,2.0,3,Quarterly,1,0.0,0.0,0.0
500100009,2.0,4,Rarely,1,0.0,0.0,0.0
500100009,3.0,0,Financial security,1,0.0,0.0,0.0
500100009,3.0,1,Personal fulfillment,1,0.0,0.0,0.0
500100009,3.0,2,Sense of accomplishment,1,0.0,0.0,0.0
500100009,3.0,3,Other (please specify),1,0.0,0.0,0.0
500100009,4.0,0,Highly prioritize,"Yes, regularly",0.0,0.0,0.0
500100009,4.0,1,Somewhat prioritize,"Yes, regularly",0.0,0.0,0.0
500100009,4.0,2,Somewhat neglect,"Yes, regularly",0.0,0.0,0.0
500100009,4.0,3,Highly neglect,"Yes, regularly",0.0,0.0,0.0
500100009,5.0,0,Lack of resources,1,0.0,0.0,0.0
500100009,5.0,1,Lack of support,1,0.0,0.0,0.0
500100009,5.0,2,Lack of motivation,1,0.0,0.0,0.0
500100009,5.0,3,Other (please specify),1,0.0,0.0,0.0
500100012,0.0,0,Strongly Agree,Less than 1 year,0.0,0.0,0.0
500100012,0.0,1,Somewhat Agree,Less than 1 year,0.0,0.0,0.0
500100012,0.0,2,Neither Agree nor Disagree,Less than 1 year,0.0,0.0,0.0
500100012,0.0,3,Somewhat Disagree,Less than 1 year,0.0,0.0,0.0
500100012,0.0,4,Strongly Disagree,Less than 1 year,0.0,0.0,0.0
500100012,1.0,0,Strongly Agree,Very motivated,0.0,0.0,0.0
500100012,1.0,1,Somewhat Agree,Very motivated,0.0,0.0,0.0
500100012,1.0,2,Neither Agree nor Disagree,Very motivated,0.0,0.0,0.0
500100012,1.0,3,Somewhat Disagree,Very motivated,0.0,0.0,0.0
500100012,1.0,4,Strongly Disagree,Very motivated,0.0,0.0,0.0
500100012,2.0,0,Strongly Agree,Recognition for achievements,0.0,0.0,0.0
500100012,2.0,1,Somewhat Agree,Recognition for achievements,0.0,0.0,0.0
500100012,2.0,2,Neither Agree nor Disagree,Recognition for achievements,0.0,0.0,0.0
500100012,2.0,3,Somewhat Disagree,Recognition for achievements,0.0,0.0,0.0
500100012,2.0,4,Strongly Disagree,Recognition for achievements,0.0,0.0,0.0
500100012,3.0,0,Strongly Agree,Yes,0.0,0.0,0.0
500100012,3.0,1,Somewhat Agree,Yes,0.0,0.0,0.0
500100012,3.0,2,Neither Agree nor Disagree,Yes,0.0,0.0,0.0
500100012,3.0,3,Somewhat Disagree,Yes,0.0,0.0,0.0
500100012,3.0,4,Strongly Disagree,Yes,0.0,0.0,0.0
500100013,0.0,0,Very Satisfied,Executive/Senior Management,0.0,0.0,0.0
500100013,0.0,1,Satisfied,Executive/Senior Management,0.0,0.0,0.0
500100013,0.0,2,Neutral,Executive/Senior Management,0.0,0.0,0.0
500100013,0.0,3,Dissatisfied,Executive/Senior Management,0.0,0.0,0.0
500100013,0.0,4,Very Dissatisfied,Executive/Senior Management,0.0,0.0,0.0
500100013,1.0,0,Excellent communication skills,Less than 1 year,0.0,0.0,0.0
500100013,1.0,1,Strong problem-solving skills,Less than 1 year,0.0,0.0,0.0
500100013,1.0,2,Excellent teamwork skills,Less than 1 year,0.0,0.0,0.0
500100013,1.0,3,Strong attention to detail,Less than 1 year,0.0,0.0,0.0
500100013,1.0,4,Other (please specify),Less than 1 year,0.0,0.0,0.0
500100013,2.0,0,Time management,Very satisfied,0.0,0.0,0.0
500100013,2.0,1,Leadership skills,Very satisfied,0.0,0.0,0.0
500100013,2.0,2,Public speaking,Very satisfied,0.0,0.0,0.0
500100013,2.0,3,Delegation skills,Very satisfied,0.0,0.0,0.0
500100013,2.0,4,Other (please specify),Very satisfied,0.0,0.0,0.0
500100013,3.0,0,I prioritize tasks based on urgency and importance,Adaptability and Flexibility,0.0609367579321826,0.013057876699753414,0.0006732885682440595
500100013,3.0,1,I prioritize tasks based on my personal goals and objectives,Adaptability and Flexibility,0.0505809043128382,0.0108387652098939,0.000463890769650815
500100013,3.0,2,I prioritize tasks based on my manager's expectations,Communication Skills,0.0,0.0,0.0
500100013,3.0,3,I prioritize tasks based on my team's needs,Communication Skills,0.0,0.0,0.0
