QUESTIONNAIRE_ID,ASW_BLEU_SCORE_MEAN,ASW_BLEU_SCORE_VAR,QST_BLEU_SCORE_MEAN,QST_BLEU_SCORE_VAR
1146002,0.012838956589858732,0.002304799738315087,0.11816676893107932,0.005486407303853622
1146004,,,,
1173001,,,,
1173002,,,,
1173003,0.0,0.0,0.058318454507019224,0.001303096741966816
1173004,,,,
1173005,,,,
1213249,,,,
1433792,,,,
5100002,,,,
5100003,0.006205495685098387,0.0011552453009332406,0.19104550456660943,0.010084927386013774
500000002,,,,
500000003,,,,
500000005,,,,
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,,,,
500100008,,,,
500100009,0.0,0.0,0.11382735036215506,0.0012433015716456187
500100010,,,,
500100011,,,,
500100012,0.0,0.0,0.0620016497830567,0.00015890437190269272
500100013,0.031694336120879865,0.0226243729065322,0.17878540799464832,0.016467167706475695
500100014,,,,
500100015,,,,
500100016,0.0,0.0,0.11421457759857707,0.0012559461067444735
500100017,0.03488834134364603,0.01040881754079929,0.15376127451916582,0.0002674076961777556
500100018,,,,
500100019,,,,
500100020,0.321546516555173,0.21624436096197486,0.06504990343259139,0.0006313930695182416
500100021,,,,
500100022,,,,
500100023,,,,
500100024,,,,
500100025,,,,
500100026,,,,
500100027,,,,
500100028,0.01566435764661687,0.001737292684200676,0.2396989753863901,0.012955007863799625
500100029,,,,
500100030,,,,
500100031,0.004721375205247631,0.0004235362927458153,0.25204755537035733,0.018665623242828593
500100032,0.01640207258507594,0.001797929249741052,0.10991401551309624,0.0014709061758249608
500100033,0.0,0.0,0.2567072234593082,0.006308140675273369
500100034,,,,
500100035,,,,
500100036,,,,
500100037,,,,
500100038,,,,
500100039,0.26666666666666666,0.20952380952380958,0.1463023770692271,0.011883153080053976
500100040,,,,
500100041,,,,
500100042,,,,
500100043,0.08102032311553863,0.029776315475239932,0.3170118636048248,0.011290050628413068
500100044,0.0,0.0,0.10180591458575146,0.007177744755794747
500100045,,,,
500100046,,,,
500100047,,,,
500100048,,,,
500100049,,,,
500100050,,,,
500100051,,,,
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,0.0,0.0,0.06459635291218416,0.0007303783310117134
500100063,,,,
500100064,,,,
500100065,,,,
500100066,,,,
