QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1146002,0.0,0,Strongly disagree,Completely Disagree,0.5,0.1,0.044444444444444446
1146002,0.0,1,Somewhat disagree,Completely Disagree,0.5,0.05,0.025000000000000005
1146002,0.0,2,Neither agree nor disagree,Completely Disagree,0.3333333333333333,0.06666666666666667,0.019753086419753083
1146002,0.0,3,Somewhat agree,Strongly Agree,0.5,0.05,0.025
1146002,0.0,4,Strongly agree,Strongly Agree,1.0,0.1,0.1
1146002,1.0,0,I strongly agree,Strongly Agree,0.8,0.08,0.064
1146002,1.0,1,I somewhat agree,Strongly Agree,0.4,0.04,0.016
1146002,1.0,2,I somewhat disagree,Completely Disagree,0.4,0.04,0.016000000000000004
1146002,1.0,3,I strongly disagree,Completely Disagree,0.4,0.08,0.028444444444444453
1146002,2.0,0,I strongly agree,Strongly Agree,0.8,0.08,0.064
1146002,2.0,1,I somewhat agree,Strongly Agree,0.4,0.04,0.016
1146002,2.0,2,I somewhat disagree,Completely Disagree,0.4,0.04,0.016000000000000004
1146002,2.0,3,I strongly disagree,Completely Disagree,0.4,0.08,0.028444444444444453
1146002,3.0,0,I strongly agree,Strongly Agree,0.8,0.08,0.064
1146002,3.0,1,I somewhat agree,Strongly Agree,0.4,0.04,0.016
1146002,3.0,2,I somewhat disagree,Completely Disagree,0.4,0.04,0.016000000000000004
1146002,3.0,3,I strongly disagree,Completely Disagree,0.4,0.08,0.028444444444444453
1146002,4.0,0,I strongly agree,Strongly Agree,0.8,0.08,0.064
1146002,4.0,1,I somewhat agree,Strongly Agree,0.4,0.04,0.016
1146002,4.0,2,I somewhat disagree,Completely Disagree,0.4,0.04,0.016000000000000004
1146002,4.0,3,I strongly disagree,Completely Disagree,0.4,0.08,0.028444444444444453
1146002,5.0,0,I strongly agree,Strongly Agree,0.8,0.08,0.064
1146002,5.0,1,I somewhat agree,Strongly Agree,0.4,0.04,0.016
1146002,5.0,2,I somewhat disagree,Completely Disagree,0.4,0.04,0.016000000000000004
1146002,5.0,3,I strongly disagree,Completely Disagree,0.4,0.08,0.028444444444444453
1146002,6.0,0,I strongly agree,Strongly Agree,0.8,0.08,0.064
1146002,6.0,1,I somewhat agree,Strongly Agree,0.4,0.04,0.016
1146002,6.0,2,I somewhat disagree,Completely Disagree,0.4,0.04,0.016000000000000004
1146002,6.0,3,I strongly disagree,Completely Disagree,0.4,0.08,0.028444444444444453
1173003,0.0,0,1 - Very Poor,Yes,0.0,0.0,0.0
1173003,0.0,1,2 - Poor,Yes,0.0,0.0,0.0
1173003,0.0,2,3 - Fair,Yes,0.0,0.0,0.0
1173003,0.0,3,4 - Good,Yes,0.0,0.0,0.0
1173003,0.0,4,5 - Excellent,Yes,0.0,0.0,0.0
5100003,0.0,0,The instructor's expertise,Not at all likely,0.0,0.0,0.0
5100003,0.0,1,The hands-on practice,Not at all likely,0.0,0.0,0.0
5100003,0.0,2,The group discussions,Not at all likely,0.0,0.0,0.0
5100003,0.0,3,The overall pace,Not at all likely,0.0,0.0,0.0
5100003,0.0,4,Other (please specify),Not at all likely,0.0,0.0,0.0
5100003,1.0,0,Excellent,Yes,0.0,0.0,0.0
5100003,1.0,1,Good,Yes,0.0,0.0,0.0
5100003,1.0,2,Fair,Yes,0.0,0.0,0.0
5100003,1.0,3,Poor,Yes,0.0,0.0,0.0
5100003,2.0,0,The material was too complex,Strongly agree,0.0,0.0,0.0
5100003,2.0,1,The pace was too fast,Strongly agree,0.0,0.0,0.0
5100003,2.0,2,The group discussions were too loud,Strongly agree,0.0,0.0,0.0
5100003,2.0,3,Other (please specify),Strongly agree,0.0,0.0,0.0
5100003,3.0,0,Excellent,Strongly agree,0.0,0.0,0.0
5100003,3.0,1,Good,Strongly agree,0.0,0.0,0.0
5100003,3.0,2,Fair,Strongly agree,0.0,0.0,0.0
5100003,3.0,3,Poor,Strongly agree,0.0,0.0,0.0
5100003,4.0,0,More hands-on practice,Severely insufficient,0.0,0.0,0.0
5100003,4.0,1,More group discussions,Severely insufficient,0.0,0.0,0.0
5100003,4.0,2,More real-world examples,Severely insufficient,0.0,0.0,0.0
5100003,4.0,3,Other (please specify),Severely insufficient,0.0,0.0,0.0
5100003,5.0,0,Very likely,Strongly agree,0.0,0.0,0.0
