QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
500000005,0.0,0,Excellent,Excellent,1.0,0.25,0.25000000000000006
500000005,0.0,1,Good,Good,1.0,0.25,0.25000000000000006
500000005,0.0,2,Fair,Excellent,0.0,0.0,0.0
500000005,0.0,3,Poor,Excellent,0.0,0.0,0.0
500000005,1.0,0,Lectures,Laptop,0.0,0.0,0.0
500000005,1.0,1,Assignments,Laptop,0.0,0.0,0.0
500000005,1.0,2,Group discussions,Laptop,0.0,0.0,0.0
500000005,1.0,3,Other (please specify),Laptop,0.0,0.0,0.0
500000005,3.0,0,Significantly,Project,0.0,0.0,0.0
500000005,3.0,1,Somewhat,Project,0.0,0.0,0.0
500000005,3.0,2,Not very much,Project,0.0,0.0,0.0
500000005,3.0,3,Not at all,Project,0.0,0.0,0.0
500000005,4.0,0,Yes,Health insurance,0.0,0.0,0.0
500000005,4.0,1,No,Health insurance,0.0,0.0,0.0
500000005,4.0,2,Maybe,Health insurance,0.0,0.0,0.0
500100047,0.0,0,Very Satisfied,Very satisfied,0.1861648705529516,0.037232974110590324,0.006931471805599446
500100047,0.0,1,Somewhat Satisfied,Very satisfied,0.0,0.0,0.0
500100047,0.0,2,Neutral,Neutral,1.0,0.2,0.20000000000000004
500100047,0.0,3,Somewhat Dissatisfied,Very satisfied,0.0,0.0,0.0
500100047,0.0,4,Very Dissatisfied,Very satisfied,0.1861648705529516,0.037232974110590324,0.006931471805599446
500100047,1.0,0,More hands-on training,Completely agree,0.0,0.0,0.0
500100047,1.0,1,More online courses,Completely agree,0.0,0.0,0.0
500100047,1.0,2,More mentorship programs,Completely agree,0.0,0.0,0.0
500100047,1.0,3,More feedback and evaluation,Completely agree,0.0,0.0,0.0
500100047,1.0,4,Other (please specify),Completely agree,0.0,0.0,0.0
500100047,2.0,0,Yes,Yes,1.0,0.3333333333333333,0.33333333333333337
500100047,2.0,1,No,No,1.0,0.3333333333333333,0.33333333333333337
500100055,0.0,0,Strongly Disagree,Less than 1 year,0.0,0.0,0.0
500100055,0.0,1,Somewhat Disagree,Less than 1 year,0.0,0.0,0.0
500100055,0.0,2,Neutral,Less than 1 year,0.0,0.0,0.0
500100055,0.0,3,Somewhat Agree,Less than 1 year,0.0,0.0,0.0
500100055,0.0,4,Strongly Agree,Less than 1 year,0.0,0.0,0.0
500100055,1.0,0,Always,1,0.0,0.0,0.0
500100055,1.0,1,Most of the time,1,0.0,0.0,0.0
500100055,1.0,2,Sometimes,1,0.0,0.0,0.0
500100055,1.0,3,Rarely,1,0.0,0.0,0.0
500100055,1.0,4,Never,1,0.0,0.0,0.0
500100055,2.0,0,Prioritizing tasks,Yes,0.0,0.0,0.0
500100055,2.0,1,Staying organized,Yes,0.0,0.0,0.0
500100055,2.0,2,Meeting deadlines,Yes,0.0,0.0,0.0
500100055,2.0,3,Managing competing demands,Yes,0.0,0.0,0.0
500100055,2.0,4,Other (please specify),Yes,0.0,0.0,0.0
500100055,3.0,0,Very Effective,Very often,0.1861648705529516,0.037232974110590324,0.006931471805599446
500100055,3.0,1,Somewhat Effective,Very often,0.0,0.0,0.0
500100055,3.0,2,Neutral,Very often,0.0,0.0,0.0
500100055,3.0,3,Somewhat Ineffective,Very often,0.0,0.0,0.0
500100055,3.0,4,Very Ineffective,Very often,0.1861648705529516,0.037232974110590324,0.006931471805599446
500100055,4.0,0,More automation,Completely agree,0.0,0.0,0.0
500100055,4.0,1,Better prioritization tools,Completely agree,0.0,0.0,0.0
500100055,4.0,2,Increased flexibility,Completely agree,0.0,0.0,0.0
500100055,4.0,3,More support from management,Completely agree,0.0,0.0,0.0
500100055,4.0,4,Other (please specify),Completely agree,0.0,0.0,0.0
