ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Strongly Disagree,Full-time,0
0,0.0,Strongly Disagree,Part-time 50%,0
0,0.0,Strongly Disagree,Part-time 75%,0
0,0.0,Strongly Disagree,Occasional,0
1,0.0,Somewhat Disagree,Full-time,0
1,0.0,Somewhat Disagree,Part-time 50%,0
1,0.0,Somewhat Disagree,Part-time 75%,0
1,0.0,Somewhat Disagree,Occasional,0
2,0.0,Neither Agree nor Disagree,Full-time,0
2,0.0,Neither Agree nor Disagree,Part-time 50%,0
2,0.0,Neither Agree nor Disagree,Part-time 75%,0
2,0.0,Neither Agree nor Disagree,Occasional,0
3,0.0,Somewhat Agree,Full-time,0
3,0.0,Somewhat Agree,Part-time 50%,0
3,0.0,Somewhat Agree,Part-time 75%,0
3,0.0,Somewhat Agree,Occasional,0
4,0.0,Strongly Agree,Full-time,0
4,0.0,Strongly Agree,Part-time 50%,0
4,0.0,Strongly Agree,Part-time 75%,0
4,0.0,Strongly Agree,Occasional,0
0,1.0,I always do this,Less than 1 year,0
0,1.0,I always do this,1-3 years,0
0,1.0,I always do this,3-5 years,0
0,1.0,I always do this,5-10 years,0
0,1.0,I always do this,More than 10 years,0
1,1.0,I often do this,Less than 1 year,0
1,1.0,I often do this,1-3 years,0
1,1.0,I often do this,3-5 years,0
1,1.0,I often do this,5-10 years,0
1,1.0,I often do this,More than 10 years,0
2,1.0,I sometimes do this,Less than 1 year,0
2,1.0,I sometimes do this,1-3 years,0
2,1.0,I sometimes do this,3-5 years,0
2,1.0,I sometimes do this,5-10 years,0
2,1.0,I sometimes do this,More than 10 years,0
3,1.0,I rarely do this,Less than 1 year,0
3,1.0,I rarely do this,1-3 years,0
3,1.0,I rarely do this,3-5 years,0
3,1.0,I rarely do this,5-10 years,0
3,1.0,I rarely do this,More than 10 years,0
4,1.0,I never do this,Less than 1 year,0
4,1.0,I never do this,1-3 years,0
4,1.0,I never do this,3-5 years,0
4,1.0,I never do this,5-10 years,0
4,1.0,I never do this,More than 10 years,0
0,2.0,1 - Not at all,1,0.08970612889970507
0,2.0,1 - Not at all,2,0.0
0,2.0,1 - Not at all,3,0.0
0,2.0,1 - Not at all,4,0.0
0,2.0,1 - Not at all,5,0.0
1,2.0,2 - Not very,1,0
1,2.0,2 - Not very,2,0.10748233812739852
1,2.0,2 - Not very,3,0
1,2.0,2 - Not very,4,0
1,2.0,2 - Not very,5,0
2,2.0,3 - Neutral,1,0
2,2.0,3 - Neutral,2,0
2,2.0,3 - Neutral,3,0.13531520539516304
2,2.0,3 - Neutral,4,0
2,2.0,3 - Neutral,5,0
3,2.0,4 - Somewhat,1,0
3,2.0,4 - Somewhat,2,0
3,2.0,4 - Somewhat,3,0
3,2.0,4 - Somewhat,4,0.13531520539516304
3,2.0,4 - Somewhat,5,0
4,2.0,5 - Very,1,0
4,2.0,5 - Very,2,0
4,2.0,5 - Very,3,0
4,2.0,5 - Very,4,0
4,2.0,5 - Very,5,0.13531520539516304
0,3.0,I feel like I'm able to take breaks and recharge during the workday.,Very often,0
0,3.0,I feel like I'm able to take breaks and recharge during the workday.,Often,0
0,3.0,I feel like I'm able to take breaks and recharge during the workday.,Sometimes,0
0,3.0,I feel like I'm able to take breaks and recharge during the workday.,Rarely,0
0,3.0,I feel like I'm able to take breaks and recharge during the workday.,Never,0
0,4.0,I feel like I'm able to set and achieve personal goals outside of work.,Completely agree,0
0,4.0,I feel like I'm able to set and achieve personal goals outside of work.,Partially agree,0
0,4.0,I feel like I'm able to set and achieve personal goals outside of work.,Neutral,0
0,4.0,I feel like I'm able to set and achieve personal goals outside of work.,Partially disagree,0
0,4.0,I feel like I'm able to set and achieve personal goals outside of work.,Completely disagree,0
0,5.0,I feel like I'm able to prioritize my physical and mental health.,Yes,0
0,5.0,I feel like I'm able to prioritize my physical and mental health.,No,0
