ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,How would you rate your overall job satisfaction?,What is your role in the company?,0.06093675793218261
0,How would you rate your overall job satisfaction?,How long have you been with the company?,0.08617758951473893
0,How would you rate your overall job satisfaction?,"On a scale of 1 to 5, how would you rate your potential for growth and advancement within the company? (1 being low, 5 being high)",0.0487903602999074
0,How would you rate your overall job satisfaction?,What areas do you feel are your strengths and contribute to your potential for growth within the company?,0.024690292777821126
0,How would you rate your overall job satisfaction?,In what areas do you feel you have room for improvement to maximize your potential?,0.03592416401613952
0,How would you rate your overall job satisfaction?,Have you discussed your career goals and aspirations with your manager or supervisor?,0.04612753966998232
0,How would you rate your overall job satisfaction?,"On a scale of 1 to 10, how satisfied are you with the opportunities for career development and advancement within the company? (1 being very dissatisfied, 10 being very satisfied)",0.0038955566034753063
0,How would you rate your overall job satisfaction?,Do you feel supported by the company in your efforts to reach your full potential?,0.03592416401613952
0,How would you rate your overall job satisfaction?,Have you received constructive feedback and guidance to help you maximize your potential?,0.04612753966998232
0,How would you rate your overall job satisfaction?,How can the company better align your career goals with organizational needs and opportunities?,0.040707410882607445
1,What motivates you to perform at your best?,What is your role in the company?,0.08617758951473893
1,What motivates you to perform at your best?,How long have you been with the company?,0.06093675793218261
1,What motivates you to perform at your best?,"On a scale of 1 to 5, how would you rate your potential for growth and advancement within the company? (1 being low, 5 being high)",0.01112442026290388
1,What motivates you to perform at your best?,What areas do you feel are your strengths and contribute to your potential for growth within the company?,0.03491734690535711
1,What motivates you to perform at your best?,In what areas do you feel you have room for improvement to maximize your potential?,0.04399793563779715
1,What motivates you to perform at your best?,Have you discussed your career goals and aspirations with your manager or supervisor?,0.04612753966998232
1,What motivates you to perform at your best?,"On a scale of 1 to 10, how satisfied are you with the opportunities for career development and advancement within the company? (1 being very dissatisfied, 10 being very satisfied)",0.005509148981626848
1,What motivates you to perform at your best?,Do you feel supported by the company in your efforts to reach your full potential?,0.04399793563779715
1,What motivates you to perform at your best?,Have you received constructive feedback and guidance to help you maximize your potential?,0.05649446764072292
1,What motivates you to perform at your best?,How can the company better align your career goals with organizational needs and opportunities?,0.028784486279638782
2,How would you rate your ability to adapt to change?,What is your role in the company?,0.050580904312838224
2,How would you rate your ability to adapt to change?,How long have you been with the company?,0.0715322008763116
2,How would you rate your ability to adapt to change?,"On a scale of 1 to 5, how would you rate your potential for growth and advancement within the company? (1 being low, 5 being high)",0.08242390832192462
2,How would you rate your ability to adapt to change?,What areas do you feel are your strengths and contribute to your potential for growth within the company?,0.03936512469440844
2,How would you rate your ability to adapt to change?,In what areas do you feel you have room for improvement to maximize your potential?,0.053137360280074854
2,How would you rate your ability to adapt to change?,Have you discussed your career goals and aspirations with your manager or supervisor?,0.05299235777463638
2,How would you rate your ability to adapt to change?,"On a scale of 1 to 10, how satisfied are you with the opportunities for career development and advancement within the company? (1 being very dissatisfied, 10 being very satisfied)",0.009680830666133905
2,How would you rate your ability to adapt to change?,Do you feel supported by the company in your efforts to reach your full potential?,0.053137360280074854
2,How would you rate your ability to adapt to change?,Have you received constructive feedback and guidance to help you maximize your potential?,0.06490211840743408
2,How would you rate your ability to adapt to change?,How can the company better align your career goals with organizational needs and opportunities?,0.04794946818443979
3,What do you think is the most significant challenge you face in your role?,What is your role in the company?,0.08514785669024803
3,What do you think is the most significant challenge you face in your role?,How long have you been with the company?,0.053852233004558006
3,What do you think is the most significant challenge you face in your role?,"On a scale of 1 to 5, how would you rate your potential for growth and advancement within the company? (1 being low, 5 being high)",0.027989615510986894
3,What do you think is the most significant challenge you face in your role?,What areas do you feel are your strengths and contribute to your potential for growth within the company?,0.12455614846763804
3,What do you think is the most significant challenge you face in your role?,In what areas do you feel you have room for improvement to maximize your potential?,0.13802992984483847
3,What do you think is the most significant challenge you face in your role?,Have you discussed your career goals and aspirations with your manager or supervisor?,0.053852233004558006
3,What do you think is the most significant challenge you face in your role?,"On a scale of 1 to 10, how satisfied are you with the opportunities for career development and advancement within the company? (1 being very dissatisfied, 10 being very satisfied)",0.017173830231691892
3,What do you think is the most significant challenge you face in your role?,Do you feel supported by the company in your efforts to reach your full potential?,0.13802992984483847
3,What do you think is the most significant challenge you face in your role?,Have you received constructive feedback and guidance to help you maximize your potential?,0.06595524618531728
3,What do you think is the most significant challenge you face in your role?,How can the company better align your career goals with organizational needs and opportunities?,0.053852233004558006
4,How would you rate your ability to prioritize tasks?,What is your role in the company?,0.05524220127634179
4,How would you rate your ability to prioritize tasks?,How long have you been with the company?,0.07812427026034686
4,How would you rate your ability to prioritize tasks?,"On a scale of 1 to 5, how would you rate your potential for growth and advancement within the company? (1 being low, 5 being high)",0.06903118997845423
4,How would you rate your ability to prioritize tasks?,What areas do you feel are your strengths and contribute to your potential for growth within the company?,0.035199550808464625
4,How would you rate your ability to prioritize tasks?,In what areas do you feel you have room for improvement to maximize your potential?,0.04912493046574233
4,How would you rate your ability to prioritize tasks?,Have you discussed your career goals and aspirations with your manager or supervisor?,0.05009174995133595
4,How would you rate your ability to prioritize tasks?,"On a scale of 1 to 10, how satisfied are you with the opportunities for career development and advancement within the company? (1 being very dissatisfied, 10 being very satisfied)",0.007575864225116451
4,How would you rate your ability to prioritize tasks?,Do you feel supported by the company in your efforts to reach your full potential?,0.04912493046574233
4,How would you rate your ability to prioritize tasks?,Have you received constructive feedback and guidance to help you maximize your potential?,0.061349613851928594
4,How would you rate your ability to prioritize tasks?,How can the company better align your career goals with organizational needs and opportunities?,0.0448240673044897
5,What do you think is the most significant strength you bring to your role?,What is your role in the company?,0.07615855827912194
5,What do you think is the most significant strength you bring to your role?,How long have you been with the company?,0.053852233004558006
5,What do you think is the most significant strength you bring to your role?,"On a scale of 1 to 5, how would you rate your potential for growth and advancement within the company? (1 being low, 5 being high)",0.03231962409956481
5,What do you think is the most significant strength you bring to your role?,What areas do you feel are your strengths and contribute to your potential for growth within the company?,0.19296155547316018
5,What do you think is the most significant strength you bring to your role?,In what areas do you feel you have room for improvement to maximize your potential?,0.15432215303129293
5,What do you think is the most significant strength you bring to your role?,Have you discussed your career goals and aspirations with your manager or supervisor?,0.053852233004558006
