ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Very Effective,Sales & Marketing,0
0,0.0,Very Effective,R&D,0
0,0.0,Very Effective,Customer support,0
0,0.0,Very Effective,Human Resources,0
0,0.0,Very Effective,Finance,0
1,0.0,Somewhat Effective,Sales & Marketing,0
1,0.0,Somewhat Effective,R&D,0
1,0.0,Somewhat Effective,Customer support,0
1,0.0,Somewhat Effective,Human Resources,0
1,0.0,Somewhat Effective,Finance,0
2,0.0,Not Very Effective,Sales & Marketing,0
2,0.0,Not Very Effective,R&D,0
2,0.0,Not Very Effective,Customer support,0
2,0.0,Not Very Effective,Human Resources,0
2,0.0,Not Very Effective,Finance,0
3,0.0,Not at All Effective,Sales & Marketing,0
3,0.0,Not at All Effective,R&D,0
3,0.0,Not at All Effective,Customer support,0
3,0.0,Not at All Effective,Human Resources,0
3,0.0,Not at All Effective,Finance,0
0,1.0,The project goals and objectives,1,0
0,1.0,The project goals and objectives,2,0
0,1.0,The project goals and objectives,3,0
0,1.0,The project goals and objectives,4,0
0,1.0,The project goals and objectives,5,0
1,1.0,The team's roles and responsibilities,1,0
1,1.0,The team's roles and responsibilities,2,0
1,1.0,The team's roles and responsibilities,3,0
1,1.0,The team's roles and responsibilities,4,0
1,1.0,The team's roles and responsibilities,5,0
2,1.0,The project timeline and milestones,1,0
2,1.0,The project timeline and milestones,2,0
2,1.0,The project timeline and milestones,3,0
2,1.0,The project timeline and milestones,4,0
2,1.0,The project timeline and milestones,5,0
3,1.0,Other (please specify),1,0
3,1.0,Other (please specify),2,0
3,1.0,Other (please specify),3,0
3,1.0,Other (please specify),4,0
3,1.0,Other (please specify),5,0
0,2.0,More time for questions and answers,Yes,0
0,2.0,More time for questions and answers,No,0
0,2.0,More time for questions and answers,Partially,0
1,2.0,Clearer expectations for the project's scope and deliverables,Yes,0
1,2.0,Clearer expectations for the project's scope and deliverables,No,0
1,2.0,Clearer expectations for the project's scope and deliverables,Partially,0
2,2.0,More interactive and engaging activities,Yes,0
2,2.0,More interactive and engaging activities,No,0
2,2.0,More interactive and engaging activities,Partially,0
3,2.0,Other (please specify),Yes,0
3,2.0,Other (please specify),No,0
3,2.0,Other (please specify),Partially,0
