QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1173004,0,How would you rate the manager's overall performance?,What are the areas I would like you to improve,0.0821989653906776,0.04206563367615823,0.0016919678209776684
1173004,1,What are the manager's greatest strengths?,What are the areas I would like you to improve,0.2296071157937954,0.10979798565941869,0.013255024166060203
1173004,2,What areas does the manager need to improve?,What are the areas I would like you to improve,0.0949151895908329,0.0485732098531243,0.0022559570946368915
1173004,3,How would you rate the manager's ability to provide feedback?,What are the areas I would like you to improve,0.1011618086256764,0.0541731823830437,0.002597141266305532
500100014,0,How would you rate your overall job satisfaction?,How long have you been with the company?,0.0861775895147389,0.04293013753829763,0.0004676519712754352
500100014,1,What motivates you to perform at your best?,What is your role in the company?,0.0861775895147389,0.04180676284627473,0.0005616326544198731
500100014,2,What do you think are your greatest strengths?,What areas do you feel are your strengths and contribute to your potential for growth within the company?,0.1210703740332594,0.05362254603695506,0.0014267654908109554
500100014,3,What are some areas where you'd like to improve?,What is your role in the company?,0.0552422012763417,0.021571066868050708,0.0004272944336569746
500100033,0,How would you rate your overall onboarding experience?,Any additional comments or feedback regarding the onboarding experience?,0.1667762383588309,0.08534805789639645,0.003461457353238955
500100033,1,Were you provided with clear instructions on what to do on your first day?,Did you receive adequate training and resources to perform your job effectively during the onboarding process?,0.057175145290634,0.03444092957488553,0.0006553846418897425
500100033,2,Did you feel supported by your supervisor or HR during the onboarding process?,Did you receive adequate training and resources to perform your job effectively during the onboarding process?,0.3363526959247115,0.18252195570990257,0.013794627362192564
500100043,0,How clear was the roadmap's vision and goals?,What is your role in the company?,0.0609367579321826,0.039009112770005586,0.00020122935073213505
500100043,1,"Were the roadmap's objectives specific, measurable, achievable, relevant, and time-bound (SMART)?",How would you rate the clarity of the goals and objectives outlined in the roadmap?,0.0562152471524171,0.04067223412555138,0.00010977511793780693
500100043,2,How well did the roadmap's goals align with the organization's overall strategy and priorities?,How would you rate the clarity of the goals and objectives outlined in the roadmap?,0.0792780001358621,0.0513607043038557,0.00030412171382302404
500100043,3,What are the top three things you liked about the roadmap?,How would you rate the clarity of the goals and objectives outlined in the roadmap?,0.1325587459739095,0.07229522157901036,0.0012664689902293653
500100043,4,What are the top three things you would like to see improved in the roadmap?,How would you rate the clarity of the goals and objectives outlined in the roadmap?,0.2390457218668787,0.14229008496580392,0.005098593269840406
500100051,0,I often find myself working long hours,How long have you been with the company?,0.0590057965550402,0.0134521360029307,0.0005734237885587983
500100051,1,I feel overwhelmed by my workload,How often do you feel that work interferes with your personal life or vice versa?,0.0172439797410791,0.005306782242714434,6.828945239298756e-05
500100051,2,I prioritize my personal life,How often do you feel that work interferes with your personal life or vice versa?,0.04279677428117,0.008789416114619317,0.00029336779131540524
500100063,0,How would you rate the overall cleanliness of the workspace?,"On a scale of 1 to 10, how would you rate the overall workplace environment within the company? (1 being very poor, 10 being excellent)",0.1244560571402252,0.07699209898100169,0.0006471926484432026
500100063,1,How would you rate the noise level in the workspace?,How can the company better foster a sense of community and belonging in the workplace?,0.1278678903610966,0.08204572622538646,0.0007106193120421312
500100063,2,How would you rate the lighting in the workspace?,How can the company better foster a sense of community and belonging in the workplace?,0.1210135754817355,0.07669649271708667,0.0007486351860307672
500100063,3,How would you rate the temperature in the workspace?,How can the company better foster a sense of community and belonging in the workplace?,0.1210135754817355,0.07669649271708667,0.0007486351860307672
500100063,4,How would you rate the overall comfort of the workspace?,"On a scale of 1 to 10, how would you rate the overall workplace environment within the company? (1 being very poor, 10 being excellent)",0.1244560571402252,0.07699209898100169,0.0006471926484432026
