QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1173004,0.0,0,Excellent,Team working,0.0,0.0,0.0
1173004,0.0,1,Good,Team working,0.0,0.0,0.0
1173004,0.0,2,Fair,Team working,0.0,0.0,0.0
1173004,0.0,3,Poor,Team working,0.0,0.0,0.0
500100014,0.0,0,Very Satisfied,Executive/Senior Management,0.0,0.0,0.0
500100014,0.0,1,Satisfied,Executive/Senior Management,0.0,0.0,0.0
500100014,0.0,2,Neutral,Executive/Senior Management,0.0,0.0,0.0
500100014,0.0,3,Dissatisfied,Executive/Senior Management,0.0,0.0,0.0
500100014,0.0,4,Very Dissatisfied,Executive/Senior Management,0.0,0.0,0.0
500100014,1.0,0,Recognition,Less than 1 year,0.0,0.0,0.0
500100014,1.0,1,Responsibility,Less than 1 year,0.0,0.0,0.0
500100014,1.0,2,Autonomy,Less than 1 year,0.0,0.0,0.0
500100014,1.0,3,Sense of Accomplishment,Less than 1 year,0.0,0.0,0.0
500100014,1.0,4,Other (please specify),Less than 1 year,0.0,0.0,0.0
500100014,2.0,0,Communication,1,0.0,0.0,0.0
500100014,2.0,1,Problem-Solving,1,0.0,0.0,0.0
500100014,2.0,2,Leadership,1,0.0,0.0,0.0
500100014,2.0,3,Attention to Detail,1,0.0,0.0,0.0
500100014,2.0,4,Time Management,1,0.0,0.0,0.0
500100033,0.0,0,Excellent,1,0.0,0.0,0.0
500100033,0.0,1,Good,1,0.0,0.0,0.0
500100033,0.0,2,Fair,1,0.0,0.0,0.0
500100033,0.0,3,Poor,1,0.0,0.0,0.0
500100033,1.0,0,Yes,Yes,1.0,0.3333333333333333,0.33333333333333337
500100033,1.0,1,No,No,1.0,0.3333333333333333,0.33333333333333337
500100033,2.0,0,Yes,Yes,1.0,0.3333333333333333,0.33333333333333337
500100033,2.0,1,No,No,1.0,0.3333333333333333,0.33333333333333337
500100043,0.0,0,Very clear,Executive/Senior Management,0.0,0.0,0.0
500100043,0.0,1,Somewhat clear,Executive/Senior Management,0.0,0.0,0.0
500100043,0.0,2,Not very clear,Executive/Senior Management,0.0,0.0,0.0
500100043,0.0,3,Not clear at all,Executive/Senior Management,0.0,0.0,0.0
500100043,1.0,0,"Yes, very specific and measurable",Yes,0.3333333333333333,0.1111111111111111,0.037037037037037035
500100043,1.0,1,"Yes, somewhat specific and measurable",Yes,0.3333333333333333,0.1111111111111111,0.037037037037037035
500100043,1.0,2,"No, not specific and measurable",No,0.3333333333333333,0.20634920634920637,0.03250188964474678
