QUESTIONNAIRE_ID,ASW_ROUGE_SCORE_MEAN,ASW_ROUGE_SCORE_VAR,QST_ROUGE_SCORE_MEAN,QST_ROUGE_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,0.0,0.0,0.3332749766573296,0.007314050347807975
1173005,,,,
1213249,,,,
1433792,,,,
5100002,,,,
5100003,,,,
500000002,,,,
500000003,,,,
500000005,,,,
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,,,,
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,,,,
500100013,,,,
500100014,0.0,0.0,0.3558705488884517,0.005443512764507625
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,,,,
500100024,,,,
500100025,,,,
500100026,,,,
500100027,,,,
500100028,,,,
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,0.5,0.2857142857142857,0.40707338638373125,0.03293524427339486
500100034,,,,
500100035,,,,
500100036,,,,
500100037,,,,
500100038,,,,
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,0.2137037037037037,0.05580629041740152,0.2774355633243286,0.0028673167639218077
500100044,,,,
500100045,,,,
500100046,,,,
500100047,,,,
500100048,,,,
500100049,,,,
500100050,,,,
500100051,0.05714285714285714,0.01399416909620991,0.159018759018759,0.003133624432325733
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,0.016666666666666666,0.005555555555555556,0.3811764705882353,0.0006643598615916971
500100064,,,,
500100065,,,,
500100066,,,,
