QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
5100002,0.0,0,Excellent,Yes,0.0,0.0,0.0
5100002,0.0,1,Good,Yes,0.0,0.0,0.0
5100002,0.0,2,Fair,Yes,0.0,0.0,0.0
5100002,0.0,3,Poor,Yes,0.0,0.0,0.0
5100002,1.0,0,Best practices for using the software,Yes,0.0,0.0,0.0
5100002,1.0,1,Troubleshooting common issues,Yes,0.0,0.0,0.0
5100002,1.0,2,Advanced features and customization,Yes,0.0,0.0,0.0
5100002,1.0,3,Other (please specify),Yes,0.0,0.0,0.0
5100002,2.0,0,Monthly,Yes,0.0,0.0,0.0
5100002,2.0,1,Quarterly,Yes,0.0,0.0,0.0
5100002,2.0,2,Semiannually,Yes,0.0,0.0,0.0
5100002,2.0,3,Annually,Yes,0.0,0.0,0.0
5100002,3.0,0,In-person training,Yes,0.0,0.0,0.0
5100002,3.0,1,Online training,Yes,0.0,0.0,0.0
5100002,3.0,2,Blended learning (combination of in-person and online),Yes,0.0,0.0,0.0
5100002,4.0,0,Very important,Yes,0.0,0.0,0.0
5100002,4.0,1,Somewhat important,Yes,0.0,0.0,0.0
5100002,4.0,2,Not very important,Yes,0.0,0.0,0.0
5100002,4.0,3,Not at all important,Yes,0.0,0.0,0.0
500100007,0.0,0,Personal growth and self-improvement,Executive/Senior Management,0.0,0.0,0.0
500100007,0.0,1,Financial stability and security,Executive/Senior Management,0.0,0.0,0.0
500100007,0.0,2,Recognition and prestige,Executive/Senior Management,0.0,0.0,0.0
500100007,0.0,3,New challenges and opportunities,Executive/Senior Management,0.0,0.0,0.0
500100007,0.0,4,Other (please specify),Other,0.135315205395163,0.027063041079032603,0.0036620409622270303
500100007,1.0,0,Communication skills,Less than 1 year,0.0,0.0,0.0
500100007,1.0,1,Problem-solving abilities,Less than 1 year,0.0,0.0,0.0
500100007,1.0,2,Leadership skills,Less than 1 year,0.0,0.0,0.0
500100007,1.0,3,Attention to detail,Less than 1 year,0.0,0.0,0.0
500100007,1.0,4,Teamwork and collaboration,Less than 1 year,0.0,0.0,0.0
500100007,2.0,0,Lack of resources and support,Yes,0.0,0.0,0.0
500100007,2.0,1,Insufficient training and development,Yes,0.0,0.0,0.0
500100007,2.0,2,Poor communication and collaboration,Yes,0.0,0.0,0.0
500100007,2.0,3,High workload and stress,Yes,0.0,0.0,0.0
500100007,2.0,4,Other (please specify),Yes,0.0,0.0,0.0
500100007,3.0,0,Short-term goals take priority,Yes,0.0,0.0,0.0
500100007,3.0,1,Long-term goals take priority,Yes,0.0,0.0,0.0
500100007,3.0,2,Both short-term and long-term goals are equally important,Yes,0.0,0.0,0.0
500100007,4.0,0,Leadership and management,Yes,0.0,0.0,0.0
500100007,4.0,1,Communication and public speaking,Yes,0.0,0.0,0.0
500100007,4.0,2,Data analysis and interpretation,Yes,0.0,0.0,0.0
500100007,4.0,3,Time management and organization,Yes,0.0,0.0,0.0
500100007,4.0,4,Other (please specify),Yes,0.0,0.0,0.0
500100020,0.0,0,It is a set of rules that ensure everyone's well-being at work.,Yes,0.0,0.0,0.0
500100020,0.0,1,It is a program that aims to prevent workplace accidents.,Yes,0.0,0.0,0.0
500100020,0.0,2,It is a document that outlines the procedures for responding to emergencies.,Yes,0.0,0.0,0.0
500100020,1.0,0,"Yes, I have received training on our organization's health and safety procedures.","Yes, always",0.0433878443543601,0.02169392217718005,0.0006275016792393925
