QUESTIONNAIRE_ID,ASW_BLEU_SCORE_MEAN,ASW_BLEU_SCORE_VAR,QST_BLEU_SCORE_MEAN,QST_BLEU_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,,,,
1213249,,,,
1433792,,,,
5100002,0.0,0.0,0.16154737938114447,0.0062170519542645315
5100003,,,,
500000002,,,,
500000003,,,,
500000005,,,,
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,0.005883269799789696,0.0007960958613537017,0.130047329815474,0.0025717509577856657
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,,,,
500100013,,,,
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,0.011192487484061268,0.0005054319581400664,0.20299012032534708,0.005123799668644194
500100021,,,,
500100022,0.3333333333333333,0.24242424242424246,0.3302060003722288,0.029636440240986595
500100023,,,,
500100024,0.022982752502365138,0.00950772442652948,0.15831041726614786,0.01407906441738864
500100025,0.0,0.0,0.2492214782608999,0.002085456392788902
500100026,0.01933074362788043,0.0024145325025672734,0.31153115356072514,0.0031890864626484584
500100027,,,,
500100028,,,,
500100029,,,,
500100030,,,,
500100031,0.0,0.0,0.2588413637783608,0.015395822586589938
500100032,,,,
500100033,,,,
500100034,0.0,0.0,0.3808158372600408,0.021689298953300365
500100035,,,,
500100036,,,,
500100037,0.0,0.0,0.33589605455232097,0.026900752245920267
500100038,0.05840062735745182,0.02327759630999344,0.28492792210129964,0.0011776841614499556
500100039,,,,
500100040,,,,
500100041,0.0,0.0,0.1694229160469647,0.008183838207725547
500100042,,,,
500100043,0.0,0.0,0.3087489233961959,0.029816576910158748
500100044,,,,
500100045,,,,
500100046,,,,
500100047,,,,
500100048,,,,
500100049,,,,
500100050,0.14285714285714285,0.1318681318681319,0.1947079237265258,0.009819047673705774
500100051,,,,
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,0.009308243527647581,0.0017328679513998618,0.109255660565263,3.119133720905593e-05
500100064,,,,
500100065,,,,
500100066,,,,
