ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,How often do you feel overwhelmed by work-related tasks?,What is your role in the company?,0
0,How often do you feel overwhelmed by work-related tasks?,How long have you been with the company?,0.07812427026034686
0,How often do you feel overwhelmed by work-related tasks?,How often do you feel that work interferes with your personal life or vice versa?,0.2705945809774626
0,How often do you feel overwhelmed by work-related tasks?,Do you feel that you have enough time to fulfil your personal commitments outside of work?,0.07657097067265446
0,How often do you feel overwhelmed by work-related tasks?,What specific aspects of your job or work environment contribute to your work-life balance?,0
0,How often do you feel overwhelmed by work-related tasks?,"What challenges, if any, do you face in maintaining a healthy work-life balance?",0.10686339807165912
1,Do you feel like you have enough time for personal activities?,What is your role in the company?,0
1,Do you feel like you have enough time for personal activities?,How long have you been with the company?,0.06602885419955529
1,Do you feel like you have enough time for personal activities?,How often do you feel that work interferes with your personal life or vice versa?,0.11479924150721384
1,Do you feel like you have enough time for personal activities?,Do you feel that you have enough time to fulfil your personal commitments outside of work?,0.38276046225431815
1,Do you feel like you have enough time for personal activities?,What specific aspects of your job or work environment contribute to your work-life balance?,0
1,Do you feel like you have enough time for personal activities?,"What challenges, if any, do you face in maintaining a healthy work-life balance?",0.038927465646462385
2,How would you rate your overall satisfaction with your current work-life balance?,What is your role in the company?,0.04338784435436014
2,How would you rate your overall satisfaction with your current work-life balance?,How long have you been with the company?,0.07514995085264224
2,How would you rate your overall satisfaction with your current work-life balance?,How often do you feel that work interferes with your personal life or vice versa?,0.13557181477353206
2,How would you rate your overall satisfaction with your current work-life balance?,Do you feel that you have enough time to fulfil your personal commitments outside of work?,0.04396613044218492
2,How would you rate your overall satisfaction with your current work-life balance?,What specific aspects of your job or work environment contribute to your work-life balance?,0.14735355447829393
2,How would you rate your overall satisfaction with your current work-life balance?,"What challenges, if any, do you face in maintaining a healthy work-life balance?",0.13870191426307435
