QUESTIONNAIRE_ID,ASW_BLEU_SCORE_MEAN,ASW_BLEU_SCORE_VAR,QST_BLEU_SCORE_MEAN,QST_BLEU_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,0.05133731888951202,0.006705278102661739,0.07997311161807143,0.0001539821838809411
1213249,,,,
1433792,,,,
5100002,,,,
5100003,,,,
500000002,,,,
500000003,,,,
500000005,0.16666666666666666,0.1515151515151515,0.10946957572120092,0.004595442598902999
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,,,,
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,,,,
500100013,,,,
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,,,,
500100024,0.0,0.0,0.10511136959336508,0.0005297095053101988
500100025,0.0,0.0,0.22880013034543767,0.003915617896889077
500100026,0.0,0.0,0.23303188624029722,0.004029638016236009
500100027,,,,
500100028,0.0,0.0,0.25643064885298045,0.022860317572885213
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,,,,
500100034,,,,
500100035,,,,
500100036,,,,
500100037,,,,
500100038,,,,
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,,,,
500100044,,,,
500100045,,,,
500100046,,,,
500100047,,,,
500100048,0.0,0.0,0.24361152886747786,0.018695672840634708
500100049,0.0,0.0,0.18673475531400702,0.0021256267971560675
500100050,0.0,0.0,0.14726503113487582,0.008084836381508495
500100051,,,,
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,,,,
500100064,,,,
500100065,,,,
500100066,,,,
