QUESTIONNAIRE_ID,ASW_ROUGE_SCORE_MEAN,ASW_ROUGE_SCORE_VAR,QST_ROUGE_SCORE_MEAN,QST_ROUGE_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,0.17592592592592593,0.04938271604938271,0.2731443994601889,0.0021167004503889228
1213249,,,,
1433792,,,,
5100002,,,,
5100003,,,,
500000002,,,,
500000003,,,,
500000005,0.16666666666666666,0.1515151515151515,0.3557422969187675,0.024884463589357322
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,,,,
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,,,,
500100013,,,,
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,,,,
500100024,0.0,0.0,0.25979797979797975,0.00030315273951637706
500100025,0.0,0.0,0.3940117853161331,0.008975230230345622
500100026,0.0,0.0,0.484920634920635,0.025682161753590328
500100027,,,,
500100028,0.0,0.0,0.4652777777777777,0.03602966392318243
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,,,,
500100034,,,,
500100035,,,,
500100036,,,,
500100037,,,,
500100038,,,,
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,,,,
500100044,,,,
500100045,,,,
500100046,,,,
500100047,,,,
500100048,0.020833333333333332,0.006944444444444444,0.37888291517323774,0.007027234290983473
500100049,0.0,0.0,0.3570208728652751,0.015080156075406843
500100050,0.0,0.0,0.30743464052287583,0.009109984407706438
500100051,,,,
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,,,,
500100064,,,,
500100065,,,,
500100066,,,,
