ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,Have you participated in any training or development programs in the past 6 months?,How satisfied are you with the quality of training and development programs offered by the company?,0.14368361277122518
0,Have you participated in any training or development programs in the past 6 months?,Training programs were effective in enhancing my skills and knowledge,0.053852233004558006
0,Have you participated in any training or development programs in the past 6 months?,Did the training programs you attended align with your career goals and development needs?,0.08514785669024803
0,Have you participated in any training or development programs in the past 6 months?,How can the company better tailor training programs to meet the individual needs of employees?,0.06140847484936466
0,Have you participated in any training or development programs in the past 6 months?,Any additional comments or feedback regarding training and development programs?,0.06595524618531728
1,How would you rate the relevance of the training or development programs you have participated in to your current role or future career goals?,How satisfied are you with the quality of training and development programs offered by the company?,0.12038585308576918
1,How would you rate the relevance of the training or development programs you have participated in to your current role or future career goals?,Training programs were effective in enhancing my skills and knowledge,0.03393329897182964
1,How would you rate the relevance of the training or development programs you have participated in to your current role or future career goals?,Did the training programs you attended align with your career goals and development needs?,0.15925551431765153
1,How would you rate the relevance of the training or development programs you have participated in to your current role or future career goals?,How can the company better tailor training programs to meet the individual needs of employees?,0.06348338937777748
1,How would you rate the relevance of the training or development programs you have participated in to your current role or future career goals?,Any additional comments or feedback regarding training and development programs?,0.041559633885145816
2,What type of training or development programs would you like to see offered by the company to support your growth and development?,How satisfied are you with the quality of training and development programs offered by the company?,0.2791452631195413
2,What type of training or development programs would you like to see offered by the company to support your growth and development?,Training programs were effective in enhancing my skills and knowledge,0.03658023532144689
2,What type of training or development programs would you like to see offered by the company to support your growth and development?,Did the training programs you attended align with your career goals and development needs?,0.0684353538502104
2,What type of training or development programs would you like to see offered by the company to support your growth and development?,How can the company better tailor training programs to meet the individual needs of employees?,0.11396057645963793
2,What type of training or development programs would you like to see offered by the company to support your growth and development?,Any additional comments or feedback regarding training and development programs?,0.05173226490638953
3,How would you rate the support and resources provided by the company to help you apply the skills and knowledge you have gained through training and development programs?,How satisfied are you with the quality of training and development programs offered by the company?,0.17817416127494956
3,How would you rate the support and resources provided by the company to help you apply the skills and knowledge you have gained through training and development programs?,Training programs were effective in enhancing my skills and knowledge,0.0890870806374748
3,How would you rate the support and resources provided by the company to help you apply the skills and knowledge you have gained through training and development programs?,Did the training programs you attended align with your career goals and development needs?,0.08132500607904442
3,How would you rate the support and resources provided by the company to help you apply the skills and knowledge you have gained through training and development programs?,How can the company better tailor training programs to meet the individual needs of employees?,0.0890870806374748
3,How would you rate the support and resources provided by the company to help you apply the skills and knowledge you have gained through training and development programs?,Any additional comments or feedback regarding training and development programs?,0.12598815766974236
4,Do you feel that the company provides adequate opportunities for you to share your knowledge and expertise with others through training and development programs or other means?,How satisfied are you with the quality of training and development programs offered by the company?,0.17295817388759027
4,Do you feel that the company provides adequate opportunities for you to share your knowledge and expertise with others through training and development programs or other means?,Training programs were effective in enhancing my skills and knowledge,0.037529685492477045
4,Do you feel that the company provides adequate opportunities for you to share your knowledge and expertise with others through training and development programs or other means?,Did the training programs you attended align with your career goals and development needs?,0.10675210253672474
4,Do you feel that the company provides adequate opportunities for you to share your knowledge and expertise with others through training and development programs or other means?,How can the company better tailor training programs to meet the individual needs of employees?,0.0843949472569722
4,Do you feel that the company provides adequate opportunities for you to share your knowledge and expertise with others through training and development programs or other means?,Any additional comments or feedback regarding training and development programs?,0.10675210253672474
