QUESTIONNAIRE_ID,ASW_ROUGE_SCORE_MEAN,ASW_ROUGE_SCORE_VAR,QST_ROUGE_SCORE_MEAN,QST_ROUGE_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,,,,
1213249,,,,
1433792,0.5555555555555556,0.26143790849673204,0.3926846715450834,0.013890413915117885
5100002,,,,
5100003,0.05,0.02327586206896552,0.3816913793693979,0.011046967300488833
500000002,,,,
500000003,,,,
500000005,,,,
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,,,,
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,,,,
500100013,,,,
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,0.0,0.0,0.43946969551354853,0.025199685241991374
500100024,,,,
500100025,,,,
500100026,,,,
500100027,,,,
500100028,0.0,0.0,0.4603634818535433,0.02588221073607781
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,,,,
500100034,,,,
500100035,,,,
500100036,,,,
500100037,,,,
500100038,,,,
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,,,,
500100044,,,,
500100045,,,,
500100046,,,,
500100047,0.0,0.0,0.3440117206335076,0.002882446637059416
500100048,0.17391304347826086,0.15019762845849804,0.46843336465429486,0.034670502249225764
500100049,,,,
500100050,,,,
500100051,,,,
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,,,,
500100064,0.20833333333333334,0.09659090909090905,0.3131675250745459,0.0023895295248539472
500100065,,,,
500100066,,,,
