ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Leadership,Executive/Senior Management,0
0,0.0,Leadership,Manager,0
0,0.0,Leadership,Staff/Employee,0
1,0.0,Communication,Executive/Senior Management,0
1,0.0,Communication,Manager,0
1,0.0,Communication,Staff/Employee,0
2,0.0,Problem-solving,Executive/Senior Management,0
2,0.0,Problem-solving,Manager,0
2,0.0,Problem-solving,Staff/Employee,0
3,0.0,Time management,Executive/Senior Management,0
3,0.0,Time management,Manager,0
3,0.0,Time management,Staff/Employee,0
4,0.0,Other (please specify): __________________,Executive/Senior Management,0
4,0.0,Other (please specify): __________________,Manager,0
4,0.0,Other (please specify): __________________,Staff/Employee,0
0,1.0,Senior Management,Less than 1 year,0
0,1.0,Senior Management,1-3 years,0
0,1.0,Senior Management,3-5 years,0
0,1.0,Senior Management,5-10 years,0
0,1.0,Senior Management,More than 10 years,0
1,1.0,Specialist,Less than 1 year,0
1,1.0,Specialist,1-3 years,0
1,1.0,Specialist,3-5 years,0
1,1.0,Specialist,5-10 years,0
1,1.0,Specialist,More than 10 years,0
2,1.0,Consultant,Less than 1 year,0
2,1.0,Consultant,1-3 years,0
2,1.0,Consultant,3-5 years,0
2,1.0,Consultant,5-10 years,0
2,1.0,Consultant,More than 10 years,0
3,1.0,Entrepreneur,Less than 1 year,0
3,1.0,Entrepreneur,1-3 years,0
3,1.0,Entrepreneur,3-5 years,0
3,1.0,Entrepreneur,5-10 years,0
3,1.0,Entrepreneur,More than 10 years,0
4,1.0,Other (please specify): __________________,Less than 1 year,0
4,1.0,Other (please specify): __________________,1-3 years,0
4,1.0,Other (please specify): __________________,3-5 years,0
4,1.0,Other (please specify): __________________,5-10 years,0
4,1.0,Other (please specify): __________________,More than 10 years,0
0,2.0,Strongly align,1,0
0,2.0,Strongly align,2,0
0,2.0,Strongly align,3,0
0,2.0,Strongly align,4,0
0,2.0,Strongly align,5,0
1,2.0,Somewhat align,1,0
1,2.0,Somewhat align,2,0
1,2.0,Somewhat align,3,0
1,2.0,Somewhat align,4,0
1,2.0,Somewhat align,5,0
2,2.0,Don't align,1,0
2,2.0,Don't align,2,0
2,2.0,Don't align,3,0
2,2.0,Don't align,4,0
2,2.0,Don't align,5,0
3,2.0,Not sure,1,0
3,2.0,Not sure,2,0
3,2.0,Not sure,3,0
3,2.0,Not sure,4,0
3,2.0,Not sure,5,0
0,6.0,Prioritize tasks based on urgency and importance,1,0
0,6.0,Prioritize tasks based on urgency and importance,2,0
0,6.0,Prioritize tasks based on urgency and importance,3,0
0,6.0,Prioritize tasks based on urgency and importance,4,0
0,6.0,Prioritize tasks based on urgency and importance,5,0
0,6.0,Prioritize tasks based on urgency and importance,6,0
0,6.0,Prioritize tasks based on urgency and importance,7,0
0,6.0,Prioritize tasks based on urgency and importance,8,0
0,6.0,Prioritize tasks based on urgency and importance,9,0
0,6.0,Prioritize tasks based on urgency and importance,10,0
1,6.0,Prioritize tasks based on personal preference,1,0
1,6.0,Prioritize tasks based on personal preference,2,0
1,6.0,Prioritize tasks based on personal preference,3,0
1,6.0,Prioritize tasks based on personal preference,4,0
1,6.0,Prioritize tasks based on personal preference,5,0
1,6.0,Prioritize tasks based on personal preference,6,0
1,6.0,Prioritize tasks based on personal preference,7,0
1,6.0,Prioritize tasks based on personal preference,8,0
1,6.0,Prioritize tasks based on personal preference,9,0
1,6.0,Prioritize tasks based on personal preference,10,0
2,6.0,Don't prioritize tasks,1,0
2,6.0,Don't prioritize tasks,2,0
2,6.0,Don't prioritize tasks,3,0
2,6.0,Don't prioritize tasks,4,0
2,6.0,Don't prioritize tasks,5,0
2,6.0,Don't prioritize tasks,6,0
2,6.0,Don't prioritize tasks,7,0
2,6.0,Don't prioritize tasks,8,0
2,6.0,Don't prioritize tasks,9,0
2,6.0,Don't prioritize tasks,10,0
3,6.0,Not sure,1,0
3,6.0,Not sure,2,0
3,6.0,Not sure,3,0
3,6.0,Not sure,4,0
3,6.0,Not sure,5,0
3,6.0,Not sure,6,0
3,6.0,Not sure,7,0
3,6.0,Not sure,8,0
3,6.0,Not sure,9,0
3,6.0,Not sure,10,0
0,7.0,Lack of resources,Yes,0
0,7.0,Lack of resources,No,0
0,7.0,Lack of resources,Somewhat,0
1,7.0,High workload,Yes,0
1,7.0,High workload,No,0
1,7.0,High workload,Somewhat,0
2,7.0,Limited autonomy,Yes,0
2,7.0,Limited autonomy,No,0
2,7.0,Limited autonomy,Somewhat,0
3,7.0,Other (please specify): __________________,Yes,0
3,7.0,Other (please specify): __________________,No,0
3,7.0,Other (please specify): __________________,Somewhat,0
0,8.0,Easily transferable,Yes,0
0,8.0,Easily transferable,No,0
0,8.0,Easily transferable,Not applicable,0
1,8.0,Somewhat transferable,Yes,0
1,8.0,Somewhat transferable,No,0
1,8.0,Somewhat transferable,Not applicable,0
2,8.0,Not transferable,Yes,0
2,8.0,Not transferable,No,0
2,8.0,Not transferable,Not applicable,0.18616487055295167
3,8.0,Not sure,Yes,0
3,8.0,Not sure,No,0
3,8.0,Not sure,Not applicable,0.18616487055295167
