QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146002,0,How often do you feel stressed at work?,I often work overtime and I don't have time for myself,0.0418811804110698,0.021893465426340814,0.0004397399496294369
1146002,1,What are the main sources of stress at work for you?,The place where I use to work for most of my time is not really comfortable.,0.1048232696488973,0.0310773677724194,0.001794502121101521
1146002,2,Do you feel that you have control over your workload and tasks?,I often work overtime and I don't have time for myself,0.061359677928069,0.0287380454920288,0.0004999842890010929
1146002,3,Do you feel that your workload is reasonable?,I don't feel 100% comfortable working with some of my colleagues.,0.0418811804110698,0.013297578163657028,0.0003078899623894372
1146002,4,"Have you experienced any physical symptoms of stress at work (e.g., headaches, fatigue)?",The place where I use to work for most of my time is not really comfortable.,0.0455271319916555,0.018089223204777384,0.0005117627310750001
1146002,5,Do you feel that your manager/team is supportive when you are feeling stressed?,I don't feel 100% comfortable working with some of my colleagues.,0.0405487152208931,0.01575539872338084,0.00039211202145434716
1146002,6,What changes or improvements would you suggest to reduce stress at work?,I'm not comfortable with my working Time schedule and I would like to shift or reduce it,0.0572060597104142,0.029387853398218387,0.0004707150531449993
1173001,0,How would you rate your overall experience with remote working?,What would you recommend to improve for the near future?,0.1490711984999859,0.06460720459296085,0.0014425306325531275
1173001,1,Have you experienced any difficulties while working remotely?,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,0.1262452715234542,0.04998171973568827,0.0009133049147638937
1173001,2,How often do you check your work emails outside of work hours?,How often do you exceed your regular scheduled time when working from home?,0.3101469089015819,0.08449234700748323,0.0072118095030795715
1173001,3,Do you feel that remote working has improved your work-life balance?,Do you have a dedicated room or workspace where you can work at your home?,0.1147992415072138,0.06490864646231963,0.0004520145376393256
1173001,4,How would you rate the technical infrastructure provided by your organization for remote working?,What would you recommend to improve for the near future?,0.1482498633322202,0.06490505055603804,0.0010555080884319112
1173001,5,Have you experienced any distractions or interruptions while working remotely?,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,0.1223831366538736,0.05579622297661476,0.0007034549959016707
1173001,6,Do you feel that remote working has increased your productivity?,Do you have a dedicated room or workspace where you can work at your home?,0.110736841381033,0.06387271695651606,0.00045937715203728805
1173001,7,Have you received sufficient training and support for remote working?,What would you recommend to improve for the near future?,0.0715322008763116,0.036981665406351324,0.0003756628246818842
1173001,8,Do you feel that remote working has improved your overall job satisfaction?,Do you have a dedicated room or workspace where you can work at your home?,0.1174086356310372,0.06493513721392265,0.0004579930361747292
1173001,9,What do you think is the biggest challenge you face while working remotely?,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,0.2344393091820821,0.08501312833890264,0.00347756697428888
1173002,0,What was the primary reason for the end of this working relationship?,What would you recommend to improve ourselves for the near future?,0.1507556722888818,0.044680908635737024,0.002086107976150761
