QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1146002,0.0,0,Almost always,Completely Disagree,0.0,0.0,0.0
1146002,0.0,1,Frequently,Completely Disagree,0.0,0.0,0.0
1146002,0.0,2,Occasionally,Completely Disagree,0.0,0.0,0.0
1146002,0.0,3,Rarely,Completely Disagree,0.0,0.0,0.0
1146002,0.0,4,Never,Completely Disagree,0.0,0.0,0.0
1146002,2.0,0,"Yes, completely",Completely Disagree,0.5,0.05,0.025000000000000005
1146002,2.0,1,"Yes, to some extent",Completely Disagree,0.0,0.0,0.0
1146002,2.0,2,"No, not really",Completely Disagree,0.0,0.0,0.0
1146002,2.0,3,"No, not at all",Completely Disagree,0.0,0.0,0.0
1146002,3.0,0,"Yes, always",Completely Disagree,0.0,0.0,0.0
1146002,3.0,1,"Yes, most of the time",Completely Disagree,0.0,0.0,0.0
1146002,3.0,2,Sometimes,Completely Disagree,0.0,0.0,0.0
1146002,3.0,3,Rarely,Completely Disagree,0.0,0.0,0.0
1146002,3.0,4,"No, never",Completely Disagree,0.0,0.0,0.0
1146002,4.0,0,"Yes, frequently",Completely Disagree,0.0,0.0,0.0
1146002,4.0,1,"Yes, occasionally",Completely Disagree,0.0,0.0,0.0
1146002,4.0,2,"No, never",Completely Disagree,0.0,0.0,0.0
1146002,5.0,0,"Yes, completely",Completely Disagree,0.5,0.05,0.025000000000000005
1146002,5.0,1,"Yes, to some extent",Completely Disagree,0.0,0.0,0.0
1146002,5.0,2,"No, not really",Completely Disagree,0.0,0.0,0.0
1146002,5.0,3,"No, not at all",Completely Disagree,0.0,0.0,0.0
1173001,0.0,0,Excellent,Very satisfied,0.0,0.0,0.0
1173001,0.0,1,Good,Very satisfied,0.0,0.0,0.0
1173001,0.0,2,Fair,Very satisfied,0.0,0.0,0.0
1173001,0.0,3,Poor,Very satisfied,0.0,0.0,0.0
1173001,0.0,4,Very Poor,Very satisfied,0.5,0.2,0.07500000000000001
1173001,1.0,0,Yes,Very satisfied,0.0,0.0,0.0
1173001,1.0,1,No,Very satisfied,0.0,0.0,0.0
1173001,2.0,0,Always,Too many distractions at home,0.0,0.0,0.0
1173001,2.0,1,Often,Too many distractions at home,0.0,0.0,0.0
1173001,2.0,2,Sometimes,Too many distractions at home,0.0,0.0,0.0
1173001,2.0,3,Rarely,Too many distractions at home,0.0,0.0,0.0
1173001,2.0,4,Never,Too many distractions at home,0.0,0.0,0.0
1173001,3.0,0,Yes,Yes,1.0,0.5,0.5
1173001,3.0,1,No,No,1.0,0.5,0.5
1173001,3.0,2,Partially,No,0.0,0.0,0.0
1173001,4.0,0,Excellent,Yes,0.0,0.0,0.0
1173001,4.0,1,Good,Yes,0.0,0.0,0.0
1173001,4.0,2,Fair,Yes,0.0,0.0,0.0
1173001,4.0,3,Poor,Yes,0.0,0.0,0.0
