QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1146002,0,How often do you feel stressed at work?,I often work overtime and I don't have time for myself,0.2,0.11630992196209587,0.005801894211971283
1146002,1,What are the main sources of stress at work for you?,The place where I use to work for most of my time is not really comfortable.,0.2222222222222222,0.07886532924014181,0.008067993481583536
1146002,2,Do you feel that you have control over your workload and tasks?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.1481481481481481,0.07455365287877601,0.0018719600691288814
1146002,3,Do you feel that your workload is reasonable?,I don't feel 100% comfortable working with some of my colleagues.,0.1,0.03861283643892339,0.0023448705253998254
1146002,4,"Have you experienced any physical symptoms of stress at work (e.g., headaches, fatigue)?",I often work overtime and I don't have time for myself,0.0769230769230769,0.04043040293040291,0.0014571152672114198
1146002,5,Do you feel that your manager/team is supportive when you are feeling stressed?,I don't feel 100% comfortable working with some of my colleagues.,0.0769230769230769,0.03988884678539849,0.001404075089248416
1146002,6,What changes or improvements would you suggest to reduce stress at work?,I'm not comfortable with my working Time schedule and I would like to shift or reduce it,0.2,0.11363150624234364,0.0024272653269128337
1173001,0,How would you rate your overall experience with remote working?,How satisfied are you with your experience working from home?,0.5,0.27053369419186507,0.011415706984659324
1173001,1,Have you experienced any difficulties while working remotely?,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,0.3636363636363636,0.1966115992660615,0.005698647955082962
1173001,2,How often do you check your work emails outside of work hours?,How often do you exceed your regular scheduled time when working from home?,0.48,0.23902974834110874,0.01219827309334568
1173001,3,Do you feel that remote working has improved your work-life balance?,How often do you exceed your regular scheduled time when working from home?,0.32,0.23854021532983666,0.0037432456542678266
1173001,4,How would you rate the technical infrastructure provided by your organization for remote working?,How satisfied are you with your experience working from home?,0.3333333333333333,0.23741586255379357,0.0027217640398144775
1173001,5,Have you experienced any distractions or interruptions while working remotely?,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,0.3333333333333333,0.17961467318288907,0.004815712507403041
1173001,6,Do you feel that remote working has increased your productivity?,Do you have a dedicated room or workspace where you can work at your home?,0.32,0.19673456778104453,0.005722998141526287
1173001,7,Have you received sufficient training and support for remote working?,Do you have a dedicated room or workspace where you can work at your home?,0.24,0.17294800651622239,0.0015013619866557197
1173001,8,Do you feel that remote working has improved your overall job satisfaction?,Do you have a dedicated room or workspace where you can work at your home?,0.2962962962962963,0.19019898158046825,0.0039014207925112585
1173001,9,What do you think is the biggest challenge you face while working remotely?,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,0.3703703703703704,0.22808581072711503,0.00420393793022222
1173002,0,What was the primary reason for the end of this working relationship?,What would you recommend to improve ourselves for the near future?,0.2608695652173913,0.11302755819060165,0.006863942658180445
1173002,1,How would you rate your overall satisfaction with this working relationship?,Ã¯Â¿Â½Our company effectively used your skills hereÃ¯Â¿Â½. How much would you agree with this sentence?,0.3846153846153846,0.2188836433613875,0.011548087730932435
1173002,2,What do you think was the most significant factor contributing to the end of this working relationship?,What strengths did you admire the most from your supervisor?,0.2962962962962963,0.14346831437348675,0.008476485399331693
1173002,3,How would you rate the support you received from your manager during this working relationship?,How satisfied are you with your experience working with us?,0.32,0.21252145599971684,0.0062109200508905695
1173002,4,What do you think the organization could have done differently to prevent the end of this working relationship?,What would you recommend to improve ourselves for the near future?,0.2758620689655172,0.1384376301254704,0.006639873322380382
1173002,5,How would you rate the overall quality of the working relationship?,How satisfied are you with your experience working with us?,0.2857142857142856,0.16102186733322774,0.00858073999569719
1173003,0,How would you rate the overall effectiveness of the onboarding process?,Would you like to add any additional comment for us to improve our onboarding program?,0.2307692307692307,0.12409808973276461,0.006807609657522253
1173003,1,Were you provided with a clear understanding of your role and responsibilities during the onboarding process?,Were you introduced to colleagues from your team or other departments?,0.2222222222222222,0.1370272618659715,0.002718647013834056
1173003,2,Did the onboarding process provide you with the necessary training and support to perform your job effectively?,Did you receive an adeguate Training?,0.2608695652173913,0.19792497007433893,0.00265603038621979
1173003,3,How would you rate the communication and feedback provided during the onboarding process?,Would you like to add any additional comment for us to improve our onboarding program?,0.2142857142857142,0.12566875944068923,0.0033604872158731766
1173003,4,What was the most helpful or valuable aspect of the onboarding process?,Were you introduced to colleagues from your team or other departments?,0.0869565217391304,0.026838432635534065,0.001745319264981332
1173003,5,"What, if anything, could be improved about the onboarding process?",Would you like to add any additional comment for us to improve our onboarding program?,0.16,0.02666666666666667,0.004266666666666667
1173005,0,What do you think are the biggest challenges you face in your role?,What are the expectations for the next months?,0.2857142857142857,0.23253968253968255,0.0013664231124548573
1173005,1,How satisfied are you with the support you receive from your manager?,Did you get support from your teammates?,0.4210526315789474,0.19372469635627532,0.030278975233162326
1173005,2,What do you think is the most important factor in determining your job satisfaction?,What worked the most for you (put at the top what worked the best),0.2142857142857142,0.19927660059239,0.0002446910633945195
1173005,3,Any additional comments or suggestions?,Did you get support from your teammates?,0.0,0.0,0.0
1213249,0,To what extent do you agree that the training you received has improved your job performance?,How would you judge the effectiveness of the Training on the employee?,0.2142857142857142,0.1071428571428571,0.022959183673469368
1213249,1,What factors do you think contributed most to the effectiveness of the training you received?,How would you judge the effectiveness of the Training on the employee?,0.4444444444444445,0.22222222222222224,0.09876543209876544
5100002,0,How would you rate the overall quality of the training provided by your organization?,Did the training provided correspond to your expectations?,0.3636363636363636,0.16153040933838034,0.011320758185518398
5100002,1,Do you feel that the training provided has improved your skills and knowledge?,Did the training provided correspond to your expectations?,0.380952380952381,0.21275438813870737,0.0142392329452113
5100002,2,How often do you receive training or professional development opportunities?,Do you know the terms of access to training?,0.3157894736842105,0.13591265935604163,0.007772508410568357
5100002,3,What specific training topics would you like to see offered in the future?,"Would you like to follow a training course, carry out a skills assessment?",0.3076923076923077,0.17869012710266177,0.00700611282202623
5100002,4,How would you rate the relevance of the training provided to your current job responsibilities?,Did the training provided correspond to your expectations?,0.4347826086956521,0.1891397233451206,0.011728824023015783
5100002,5,Do you feel that the training provided has improved your job performance?,Did the training provided correspond to your expectations?,0.4,0.1959193946150468,0.013062996565126678
5100002,6,What do you think is the most effective way to receive training or professional development opportunities?,Do you know the terms of access to training?,0.3999999999999999,0.1996584697767929,0.013997373037358951
5100002,7,How would you rate the overall value of the training provided by your organization?,Did the training provided correspond to your expectations?,0.3636363636363636,0.16153040933838034,0.011320758185518398
5100002,8,Do you feel that the training provided has improved your ability to work effectively with others?,Did the training provided correspond to your expectations?,0.3333333333333333,0.18699137739705687,0.007787412678159225
5100002,9,How would you rate the level of support provided by trainers or instructors?,Do you know the terms of access to training?,0.2727272727272727,0.11968178676439818,0.005972241938028161
5100002,10,What specific training formats or methods do you prefer?,What do you think it takes to reach them?,0.3333333333333333,0.16057620067805375,0.008319707992892488
5100002,11,Any additional comments or suggestions about training and professional development?,Do you have any career aspiration within the company? If so on which position and within what timeframe?,0.1428571428571428,0.04255867188619825,0.003074823239390355
5100003,0,"Overall, how would you rate the course session?","Overall, how much you were satisfied from the information received?",0.4444444444444445,0.2005911517925248,0.021214924233572987
5100003,1,What did you find most useful about the course session?,Did the session achieved the target goals? ,0.3529411764705882,0.1492908072319837,0.013773022143551958
5100003,2,What did you find least useful about the course session?,Did the session achieved the target goals? ,0.3529411764705882,0.1492908072319837,0.013773022143551958
5100003,3,What did you learn that you can apply to your work or personal life?,How likely is it that you would recommend this session to a friend or colleague?,0.2758620689655172,0.07832433371226473,0.008289209265584732
5100003,4,How would you rate the instructor's teaching style?,"Overall, how much you were satisfied from the information received?",0.3157894736842105,0.12539943609022552,0.010669590348835748
5100003,5,How would you rate the course materials and resources?,"Overall, how much you were satisfied from the information received?",0.3157894736842105,0.1808192355889724,0.009703306823157965
5100003,6,What suggestions do you have for improving the course session?,Any additional comments or suggestions for improving?,0.3529411764705882,0.17870257193786604,0.010657080579760666
5100003,7,Any additional comments or feedback?,Any additional comments or suggestions for improving?,0.6666666666666666,0.09583333333333333,0.054424603174603174
500000002,0,How would you rate your overall job satisfaction?,Ã¯Â¿Â½I am satisfied with my overall compensation.,0.1333333333333333,0.02272478070175438,0.002414697310710987
500000002,1,What motivates you to come to work every day?,Ã¯Â¿Â½I get excited about going to work.,0.25,0.07592933006535947,0.009240700580795135
500000002,2,How would you rate the communication style of your supervisor/manager?,Management within my organization recognizes strong job performance.,0.1052631578947368,0.03364042755490123,0.0020418980793504974
500000002,3,Do you feel valued and recognized for your contributions?,Ã¯Â¿Â½I feel completely involved in my work.,0.125,0.034041703802733206,0.0027689713804934443
500000002,4,How would you rate the work-life balance in your current role?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.16,0.05599663409732058,0.00292683762495155
500000002,5,What do you think are the most important values and principles that the company embodies?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.1428571428571428,0.031684981684981676,0.0026582940868655138
500000002,6,How would you rate the company's commitment to employee well-being?,Ã¯Â¿Â½I get excited about going to work.,0.1052631578947368,0.05662006768128048,0.0021046121469882823
500000002,7,What do you think the company could do better to support employee well-being?,Ã¯Â¿Â½I get excited about going to work.,0.0952380952380952,0.05187852141750191,0.0017600121920163026
500000002,8,How would you rate the company's approach to professional development and growth opportunities?,My organization is dedicated to my professional development.,0.2727272727272727,0.0787413526281592,0.005538761555554297
500000002,9,What do you think the company could do better to support employee growth and development?,My organization is dedicated to my professional development.,0.1739130434782609,0.06490303175085782,0.0027662411861341467
500000002,10,How would you rate the company's culture and values?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.1739130434782608,0.03372670807453415,0.0030437851763263565
500000002,11,What do you think the company's culture and values are?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.1666666666666666,0.03226981351981351,0.0027884581424791194
500000002,12,"How would you rate the company's approach to diversity, equity, and inclusion?",Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.1538461538461538,0.05895250582750581,0.002524088621584875
500000002,13,"What do you think the company could do better to support diversity, equity, and inclusion?",Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.1428571428571428,0.05425991580882883,0.0021438069599073865
500000002,14,How would you rate the company's approach to employee recognition and rewards?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.1538461538461538,0.05895250582750581,0.002524088621584875
500000002,15,Any additional comments or suggestions regarding employee experience?,Final Comments,0.2,0.01907894736842105,0.0030170821791320403
500000003,0,What motivates you to achieve your goals?,Is attentive to details,0.1818181818181818,0.05725108225108223,0.006431757275913118
500000003,1,What are your greatest strengths?,Has always a positive attitude with collagues,0.0,0.0,0.0
500000003,2,What are your greatest weaknesses?,Has always a positive attitude with collagues,0.0,0.0,0.0
500000003,3,How do you prioritize your tasks and responsibilities?,Has always a positive attitude with collagues,0.0,0.0,0.0
500000003,4,What are your long-term career goals?,Has always a positive attitude with collagues,0.0,0.0,0.0
500000003,5,What do you think is the most significant barrier to your career advancement?,Is attentive to details,0.2352941176470588,0.06572128851540616,0.009584314117803984
500000003,6,How do you handle change and uncertainty in the workplace?,Also suitable to work in this area,0.1176470588235294,0.02859477124183006,0.002806460274741705
500000003,7,What do you think the company could do to better support your career growth?,Takes the risk to decide for the Team,0.1818181818181818,0.04852092352092351,0.005091369268858443
500000005,0,What did you learn from this course that you can apply to your current or future work?,How do you rate this course?,0.2608695652173913,0.14156785243741762,0.010226448190445441
500000005,1,How would you rate the overall quality of the course materials?,How do you rate this course?,0.4705882352941177,0.18578431372549017,0.04390258554402152
500000005,2,Were the course objectives and expectations clear from the beginning?,How do you rate this course?,0.125,0.048529411764705876,0.00442257785467128
500000005,3,How would you rate the instructor's teaching style and effectiveness?,How do you rate this course?,0.3529411764705882,0.18725490196078426,0.02290164840445981
500000005,4,What suggestions do you have for improving the course?,How do you rate this course?,0.4,0.24071428571428571,0.028237244897959184
500100002,0,Do you have access to the technology and tools you need to perform your job effectively?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.8125,0.33479054320817575,0.04411092805464287
500100002,1,How often do you use technology and tools to perform your job?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.5,0.29090729961382356,0.01462506653723677
500100002,2,Do you have the necessary training or support to effectively use technology and tools?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.4666666666666667,0.28586732147639865,0.015258508549670839
500100002,3,How would you rate the overall quality of the technology and tools provided by the company?,How would you rate the reliability and performance of the technology and tools provided by the company?,0.8484848484848485,0.34946969669830014,0.046363738653163726
500100002,4,Do you feel that the company is investing enough in technology and tools to support employee productivity and efficiency?,How can the company better support employees in utilizing technology and tools effectively?,0.3749999999999999,0.23364397040867624,0.005716428983061426
500100002,5,What do you think is the biggest obstacle to accessing technology and tools?,What improvements would you suggest to enhance access to technology and tools within the company?,0.5,0.2983490753605696,0.008366716731212698
500100002,6,How important is it for you to have access to the latest technology and tools?,What improvements would you suggest to enhance access to technology and tools within the company?,0.4666666666666667,0.3390563668882728,0.007758134650347525
500100002,7,Do you think the company should provide more training or support for employees to effectively use technology and tools?,How can the company better support employees in utilizing technology and tools effectively?,0.4375,0.26193917738035377,0.008301316455311934
500100002,8,Any additional comments or feedback regarding access to technology and tools?,Any additional comments or feedback regarding access to technology and tools?,1.0,0.26630052405246196,0.09019620546844312
500100004,0,What is your primary role in the company?,What is your role in the company?,0.9333333333333332,0.21640480024537992,0.07784443186599632
500100004,1,How would you rate your access to technology and tools to perform your job?,Do you have access to the necessary software and applications required to perform your job effectively?,0.5333333333333333,0.34748967402678493,0.01975964653056535
500100004,2,Which technology and tools do you use most frequently in your job?,Are the technology and tools provided by the company user-friendly and easy to use?,0.2962962962962963,0.20766782723134913,0.004003546768919318
