QUESTIONNAIRE_ID,ASW_BLEU_SCORE_MEAN,ASW_BLEU_SCORE_VAR,QST_BLEU_SCORE_MEAN,QST_BLEU_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,,,,
1213249,,,,
1433792,,,,
5100002,,,,
5100003,,,,
500000002,,,,
500000003,,,,
500000005,,,,
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,,,,
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,0.0,0.0,0.2111787193727661,0.018241822275398535
500100013,,,,
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,0.0,0.0,0.19734801294946486,0.027301488046023503
500100024,,,,
500100025,,,,
500100026,,,,
500100027,,,,
500100028,0.0161865029015041,0.001788456184673211,0.29448140346514723,0.018441471840190845
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,,,,
500100034,1.0,0.0,0.3362246692115399,0.01684646153068171
500100035,,,,
500100036,,,,
500100037,,,,
500100038,,,,
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,,,,
500100044,,,,
500100045,,,,
500100046,,,,
500100047,,,,
500100048,,,,
500100049,,,,
500100050,,,,
500100051,,,,
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,0.05,0.04999999999999999,0.14350913052018155,0.013995750043859015
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,,,,
500100064,,,,
500100065,,,,
500100066,,,,
