QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
500100012,0,What motivates you to come to work every day?,What factors motivate you to perform well in your job? (Select all that apply),0.1171169265819252,0.060028670666098335,0.00112447433805051
500100012,1,How often do you feel recognized and rewarded for your work?,How motivated do you feel to perform well in your job on a daily basis?,0.2095937805266146,0.11240826010782397,0.004858775455426588
500100012,2,Do you feel that your contributions to the company are valued and appreciated?,Do you feel that your efforts and contributions are adequately recognized by the company?,0.4448173140550834,0.1787156292749074,0.02449862266264545
500100012,3,What would make you feel more motivated to take on new challenges and responsibilities at work?,How motivated do you feel to perform well in your job on a daily basis?,0.1443375672974064,0.08157417361924738,0.0020370803578876086
500100012,4,Any additional comments or suggestions on what would motivate you to be more engaged and motivated at work?,What factors motivate you to perform well in your job? (Select all that apply),0.140028008402801,0.06383153437151692,0.001934153160430277
500100023,0,Have you ever considered moving to a different role within the company?,Have you ever explored or applied for an internal job opportunity within the company?,0.3609410202572233,0.12279052068431494,0.0135972557891851
500100023,1,What motivates you to consider internal mobility opportunities?,What is your role in the company?,0.0609367579321826,0.04424480458824846,0.0002977893401496968
500100023,2,How important is internal mobility to you when considering a new role?,How would you rate the transparency of the internal job posting and application process?,0.0636130600231894,0.05051058105146293,8.929588403585935e-05
500100023,3,What do you think is the biggest obstacle to internal mobility within the company?,Have you ever explored or applied for an internal job opportunity within the company?,0.2344036154692477,0.11342162454110263,0.004947102579127669
500100023,4,Have you ever applied for an internal job opening?,Have you ever explored or applied for an internal job opportunity within the company?,0.4684677063277009,0.10407765549005007,0.027345965089261196
500100023,5,What would you like to see the company do to improve internal mobility opportunities?,How would you rate the transparency of the internal job posting and application process?,0.1482498633322202,0.08509835074461611,0.001300290886258669
500100023,6,Any other suggestions or comments regarding internal mobility opportunities?,Have you ever explored or applied for an internal job opportunity within the company?,0.0448240673044897,0.0171024002123865,0.0003172264682373043
500100028,0,How would you rate the overall effectiveness of the kick-off meeting?,"How would you rate the overall effectiveness of the kick-off meeting? (1 being very ineffective, 5 being highly effective)",0.4832250811898254,0.1938343947750703,0.02427858354828177
500100028,1,What did you find most valuable or useful about the kick-off meeting?,How satisfied are you with the level of participation and engagement during the kick-off meeting?,0.1917274991282621,0.10445270955362021,0.002867431230176635
500100028,2,What did you find least valuable or useful about the kick-off meeting?,How satisfied are you with the level of participation and engagement during the kick-off meeting?,0.1917274991282621,0.10445270955362021,0.002867431230176635
500100028,3,How would you rate the communication and collaboration among the team members during the kick-off meeting?,"How would you rate the overall effectiveness of the kick-off meeting? (1 being very ineffective, 5 being highly effective)",0.3707530927156164,0.19651258487799478,0.013657995708673876
500100028,4,What suggestions do you have for improving the kick-off meeting?,How satisfied are you with the level of participation and engagement during the kick-off meeting?,0.1808325047406988,0.10929324155706195,0.0022580471736311043
500100028,5,How would you rate the overall organization and structure of the kick-off meeting?,"How would you rate the overall effectiveness of the kick-off meeting? (1 being very ineffective, 5 being highly effective)",0.4513766482251036,0.20350412016343228,0.022075469081970483
500100028,6,Do you have any additional comments or feedback about the kick-off meeting?,How satisfied are you with the level of participation and engagement during the kick-off meeting?,0.1917274991282621,0.10110739185182109,0.0027649944664699375
500100034,0,How would you rate the overall onboarding experience?,How would you rate the clarity of information provided during the onboarding process?,0.3504108589683525,0.11610935008835578,0.013539246578930828
500100034,1,What was the most helpful part of the onboarding process?,How would you rate the clarity of information provided during the onboarding process?,0.2469394068939059,0.17110411566015396,0.006546127295151633
500100034,2,"What, if anything, was unclear or confusing during the onboarding process?",How would you rate the clarity of information provided during the onboarding process?,0.2753795255607423,0.1512439966600221,0.006987623651039494
500100034,3,How would you rate the communication and support you received during the onboarding process?,How would you rate the clarity of information provided during the onboarding process?,0.5883484054145521,0.23176119936922956,0.03954005367637504
500100034,4,"What, if anything, did you find missing or lacking during the onboarding process?",How would you rate the clarity of information provided during the onboarding process?,0.3100868364730211,0.1939647537959143,0.012260955397692699
500100034,5,What suggestions or recommendations do you have for improving the onboarding process?,Which aspects of the onboarding process do you believe could be improved?,0.2461829819586654,0.1657595915350469,0.00511085706487864
500100056,0,How would you rate your current workload?,What is your role in the company?,0.0680670214017967,0.040644329555238515,0.000382123356292064
500100056,1,What are the main factors contributing to your workload?,What is your role in the company?,0.0956822993325702,0.04739509552215996,0.0009142056508158468
500100056,2,How do you prioritize your tasks when you have multiple responsibilities?,Do you feel comfortable discussing workload concerns with your supervisor or manager?,0.060290994064911,0.04405946664605826,0.0002193233252144742
500100056,3,What strategies do you use to manage your workload effectively?,Are you provided with the necessary resources and support to manage your workload effectively?,0.3461517833233359,0.1092999205159515,0.018001458555362438
500100056,4,What would you like to see changed to improve your workload management?,Are you provided with the necessary resources and support to manage your workload effectively?,0.1473535544782939,0.07853562966502924,0.0016994439650892552
