ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,1,Executive/Senior Management,0
0,0.0,1,Manager,0
0,0.0,1,Staff/Employee,0
1,0.0,2,Executive/Senior Management,0
1,0.0,2,Manager,0
1,0.0,2,Staff/Employee,0
2,0.0,3,Executive/Senior Management,0
2,0.0,3,Manager,0
2,0.0,3,Staff/Employee,0
3,0.0,4,Executive/Senior Management,0
3,0.0,4,Manager,0
3,0.0,4,Staff/Employee,0
4,0.0,5,Executive/Senior Management,0
4,0.0,5,Manager,0
4,0.0,5,Staff/Employee,0
5,0.0,6,Executive/Senior Management,0
5,0.0,6,Manager,0
5,0.0,6,Staff/Employee,0
6,0.0,7,Executive/Senior Management,0
6,0.0,7,Manager,0
6,0.0,7,Staff/Employee,0
7,0.0,8,Executive/Senior Management,0
7,0.0,8,Manager,0
7,0.0,8,Staff/Employee,0
8,0.0,9,Executive/Senior Management,0
8,0.0,9,Manager,0
8,0.0,9,Staff/Employee,0
9,0.0,10,Executive/Senior Management,0
9,0.0,10,Manager,0
9,0.0,10,Staff/Employee,0
0,1.0,Clear goals and expectations,Less than 1 year,0
0,1.0,Clear goals and expectations,1-3 years,0
0,1.0,Clear goals and expectations,3-5 years,0
0,1.0,Clear goals and expectations,5-10 years,0
0,1.0,Clear goals and expectations,More than 10 years,0
1,1.0,Effective communication,Less than 1 year,0
1,1.0,Effective communication,1-3 years,0
1,1.0,Effective communication,3-5 years,0
1,1.0,Effective communication,5-10 years,0
1,1.0,Effective communication,More than 10 years,0
2,1.0,Autonomy and independence,Less than 1 year,0
2,1.0,Autonomy and independence,1-3 years,0
2,1.0,Autonomy and independence,3-5 years,0
2,1.0,Autonomy and independence,5-10 years,0
2,1.0,Autonomy and independence,More than 10 years,0
3,1.0,Recognition and rewards,Less than 1 year,0
3,1.0,Recognition and rewards,1-3 years,0
3,1.0,Recognition and rewards,3-5 years,0
3,1.0,Recognition and rewards,5-10 years,0
3,1.0,Recognition and rewards,More than 10 years,0
4,1.0,Other (please specify): __________________,Less than 1 year,0
4,1.0,Other (please specify): __________________,1-3 years,0
4,1.0,Other (please specify): __________________,3-5 years,0
4,1.0,Other (please specify): __________________,5-10 years,0
4,1.0,Other (please specify): __________________,More than 10 years,0
0,2.0,Daily,Very satisfied,0
0,2.0,Daily,Satisfied,0
0,2.0,Daily,Neutral,0
0,2.0,Daily,Dissatisfied,0
0,2.0,Daily,Very dissatisfied,0
1,2.0,Weekly,Very satisfied,0
1,2.0,Weekly,Satisfied,0
1,2.0,Weekly,Neutral,0
1,2.0,Weekly,Dissatisfied,0
1,2.0,Weekly,Very dissatisfied,0
2,2.0,Monthly,Very satisfied,0
2,2.0,Monthly,Satisfied,0
2,2.0,Monthly,Neutral,0
2,2.0,Monthly,Dissatisfied,0
2,2.0,Monthly,Very dissatisfied,0
