QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1146002,0.0,0,Almost always,Completely Disagree,0.0,0.0,0.0
1146002,0.0,1,Frequently,Completely Disagree,0.0,0.0,0.0
1146002,0.0,2,Occasionally,Completely Disagree,0.0,0.0,0.0
1146002,0.0,3,Rarely,Completely Disagree,0.0,0.0,0.0
1146002,0.0,4,Never,Completely Disagree,0.0,0.0,0.0
1146002,2.0,0,1,Completely Disagree,0.0,0.0,0.0
1146002,2.0,1,2,2,1.0,0.1,0.10000000000000002
1146002,2.0,2,3,3,1.0,0.1,0.10000000000000002
1146002,2.0,3,4,4,1.0,0.1,0.10000000000000002
1146002,2.0,4,5,5,1.0,0.1,0.10000000000000002
1146002,2.0,5,6,6,1.0,0.1,0.1
1146002,2.0,6,7,7,1.0,0.1,0.1
1146002,2.0,7,8,8,1.0,0.1,0.09999999999999999
1146002,2.0,8,9,9,1.0,0.1,0.09999999999999999
1146002,2.0,9,10,Completely Disagree,0.0,0.0,0.0
1146002,3.0,0,Yes,Completely Disagree,0.0,0.0,0.0
1146002,3.0,1,No,Completely Disagree,0.0,0.0,0.0
1146002,3.0,2,Partially,Completely Disagree,0.0,0.0,0.0
1146002,4.0,0,Almost always,Completely Disagree,0.0,0.0,0.0
1146002,4.0,1,Frequently,Completely Disagree,0.0,0.0,0.0
1146002,4.0,2,Occasionally,Completely Disagree,0.0,0.0,0.0
1146002,4.0,3,Rarely,Completely Disagree,0.0,0.0,0.0
1146002,4.0,4,Never,Completely Disagree,0.0,0.0,0.0
1146002,5.0,0,Yes,Completely Disagree,0.0,0.0,0.0
1146002,5.0,1,No,Completely Disagree,0.0,0.0,0.0
1146002,5.0,2,Partially,Completely Disagree,0.0,0.0,0.0
1146004,0.0,0,Completely agree,Happy,0.0,0.0,0.0
1146004,0.0,1,Partially agree,Happy,0.0,0.0,0.0
1146004,0.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,0.0,3,Partially disagree,Happy,0.0,0.0,0.0
1146004,0.0,4,Completely disagree,Happy,0.0,0.0,0.0
1146004,1.0,0,Completely agree,Happy,0.0,0.0,0.0
1146004,1.0,1,Partially agree,Happy,0.0,0.0,0.0
1146004,1.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,1.0,3,Partially disagree,Happy,0.0,0.0,0.0
1146004,1.0,4,Completely disagree,Happy,0.0,0.0,0.0
1146004,2.0,0,Completely agree,Happy,0.0,0.0,0.0
1146004,2.0,1,Partially agree,Happy,0.0,0.0,0.0
1146004,2.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,2.0,3,Partially disagree,Happy,0.0,0.0,0.0
1146004,2.0,4,Completely disagree,Happy,0.0,0.0,0.0
1146004,3.0,0,Completely agree,Happy,0.0,0.0,0.0
