ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,What is your role in the company?,"On a scale of 1 to 10, how satisfied are you with the health and safety measures implemented by the company? (1 being very dissatisfied, 10 being very satisfied)",0.009418133411076909
0,What is your role in the company?,"On a scale of 1 to 10, how well do you believe the company responds to health and safety concerns raised by employees? (1 being very poorly, 10 being very well)",0.0022076341021156744
0,What is your role in the company?,Are training and resources provided by the company adequate to ensure your health and safety at work?,0.023069121468574393
0,What is your role in the company?,Have you encountered any health or safety hazards in the workplace?,0.12323159716256497
0,What is your role in the company?,What improvements would you suggest to enhance health and safety measures within the company?,0.09831991632152833
0,What is your role in the company?,How can the company better involve employees in identifying and addressing health and safety concerns?,0.030698361322626464
0,What is your role in the company?,Any additional comments or feedback regarding health and safety measures?,0.0
1,Have you received training on health and safety measures in the past 12 months?,"On a scale of 1 to 10, how satisfied are you with the health and safety measures implemented by the company? (1 being very dissatisfied, 10 being very satisfied)",0.10771719662561749
1,Have you received training on health and safety measures in the past 12 months?,"On a scale of 1 to 10, how well do you believe the company responds to health and safety concerns raised by employees? (1 being very poorly, 10 being very well)",0.06959959634307185
1,Have you received training on health and safety measures in the past 12 months?,Are training and resources provided by the company adequate to ensure your health and safety at work?,0.1891913180074569
1,Have you received training on health and safety measures in the past 12 months?,Have you encountered any health or safety hazards in the workplace?,0.25677629550654774
1,Have you received training on health and safety measures in the past 12 months?,What improvements would you suggest to enhance health and safety measures within the company?,0.3144854510165755
1,Have you received training on health and safety measures in the past 12 months?,How can the company better involve employees in identifying and addressing health and safety concerns?,0.2182444817914707
1,Have you received training on health and safety measures in the past 12 months?,Any additional comments or feedback regarding health and safety measures?,0.1815682598006407
2,"Please rate the effectiveness of health and safety measures in your workplace? (1 being very ineffective, 10 being very effective)","On a scale of 1 to 10, how satisfied are you with the health and safety measures implemented by the company? (1 being very dissatisfied, 10 being very satisfied)",0.2997887476304216
2,"Please rate the effectiveness of health and safety measures in your workplace? (1 being very ineffective, 10 being very effective)","On a scale of 1 to 10, how well do you believe the company responds to health and safety concerns raised by employees? (1 being very poorly, 10 being very well)",0.24044635863148378
2,"Please rate the effectiveness of health and safety measures in your workplace? (1 being very ineffective, 10 being very effective)",Are training and resources provided by the company adequate to ensure your health and safety at work?,0.16222142113076254
2,"Please rate the effectiveness of health and safety measures in your workplace? (1 being very ineffective, 10 being very effective)",Have you encountered any health or safety hazards in the workplace?,0.06278338149158905
2,"Please rate the effectiveness of health and safety measures in your workplace? (1 being very ineffective, 10 being very effective)",What improvements would you suggest to enhance health and safety measures within the company?,0.19867985355975656
