ID,GENERATED,GROUND_TRUTH,R1_PRECISION,R1_RECALL,R1_F1_SCORE,R2_PRECISION,R2_RECALL,R2_F1_SCORE,RL_PRECISION,RL_RECALL,RL_F1_SCORE
0,How many hours do you typically work per week?,What is your role in the company?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,How many hours do you typically work per week?,How long have you been with the company?,0.2222222222222222,0.25,0.23529411764705882,0.0,0.0,0.0,0.2222222222222222,0.25,0.23529411764705882
0,How many hours do you typically work per week?,How often do you feel that work interferes with your personal life or vice versa?,0.4444444444444444,0.26666666666666666,0.33333333333333337,0.125,0.07142857142857142,0.09090909090909091,0.4444444444444444,0.26666666666666666,0.33333333333333337
0,How many hours do you typically work per week?,Do you feel that you have enough time to fulfil your personal commitments outside of work?,0.3333333333333333,0.1875,0.24000000000000005,0.125,0.06666666666666667,0.08695652173913045,0.3333333333333333,0.1875,0.24000000000000005
0,How many hours do you typically work per week?,What specific aspects of your job or work environment contribute to your work-life balance?,0.1111111111111111,0.06666666666666667,0.08333333333333334,0.0,0.0,0.0,0.1111111111111111,0.06666666666666667,0.08333333333333334
0,How many hours do you typically work per week?,"What challenges, if any, do you face in maintaining a healthy work-life balance?",0.3333333333333333,0.21428571428571427,0.2608695652173913,0.125,0.07692307692307693,0.09523809523809525,0.3333333333333333,0.21428571428571427,0.2608695652173913
1,Do you feel that your work schedule is flexible and allows for a good balance between work and personal life?,What is your role in the company?,0.1,0.2857142857142857,0.14814814814814817,0.0,0.0,0.0,0.05,0.14285714285714285,0.07407407407407408
1,Do you feel that your work schedule is flexible and allows for a good balance between work and personal life?,How long have you been with the company?,0.05,0.125,0.07142857142857144,0.0,0.0,0.0,0.05,0.125,0.07142857142857144
1,Do you feel that your work schedule is flexible and allows for a good balance between work and personal life?,How often do you feel that work interferes with your personal life or vice versa?,0.4,0.5333333333333333,0.4571428571428572,0.21052631578947367,0.2857142857142857,0.24242424242424243,0.35,0.4666666666666667,0.4
1,Do you feel that your work schedule is flexible and allows for a good balance between work and personal life?,Do you feel that you have enough time to fulfil your personal commitments outside of work?,0.35,0.4375,0.38888888888888884,0.15789473684210525,0.2,0.17647058823529413,0.3,0.375,0.33333333333333326
1,Do you feel that your work schedule is flexible and allows for a good balance between work and personal life?,What specific aspects of your job or work environment contribute to your work-life balance?,0.25,0.3333333333333333,0.28571428571428575,0.05263157894736842,0.07142857142857142,0.06060606060606061,0.2,0.26666666666666666,0.2285714285714286
1,Do you feel that your work schedule is flexible and allows for a good balance between work and personal life?,"What challenges, if any, do you face in maintaining a healthy work-life balance?",0.3,0.42857142857142855,0.3529411764705882,0.05263157894736842,0.07692307692307693,0.0625,0.25,0.35714285714285715,0.2941176470588235
2,How often do you check work emails or take work calls outside of work hours?,What is your role in the company?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,How often do you check work emails or take work calls outside of work hours?,How long have you been with the company?,0.13333333333333333,0.25,0.1739130434782609,0.0,0.0,0.0,0.13333333333333333,0.25,0.1739130434782609
2,How often do you check work emails or take work calls outside of work hours?,How often do you feel that work interferes with your personal life or vice versa?,0.4,0.4,0.4000000000000001,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.4,0.4,0.4000000000000001
2,How often do you check work emails or take work calls outside of work hours?,Do you feel that you have enough time to fulfil your personal commitments outside of work?,0.3333333333333333,0.3125,0.3225806451612903,0.21428571428571427,0.2,0.20689655172413796,0.3333333333333333,0.3125,0.3225806451612903
2,How often do you check work emails or take work calls outside of work hours?,What specific aspects of your job or work environment contribute to your work-life balance?,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.2,0.2,0.20000000000000004
2,How often do you check work emails or take work calls outside of work hours?,"What challenges, if any, do you face in maintaining a healthy work-life balance?",0.2,0.21428571428571427,0.20689655172413796,0.07142857142857142,0.07692307692307693,0.07407407407407408,0.2,0.21428571428571427,0.20689655172413796
3,Do you feel that your employer supports your work-life balance?,What is your role in the company?,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.0,0.0,0.0,0.09090909090909091,0.14285714285714285,0.1111111111111111
3,Do you feel that your employer supports your work-life balance?,How long have you been with the company?,0.09090909090909091,0.125,0.10526315789473685,0.0,0.0,0.0,0.09090909090909091,0.125,0.10526315789473685
3,Do you feel that your employer supports your work-life balance?,How often do you feel that work interferes with your personal life or vice versa?,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.3,0.21428571428571427,0.25,0.5454545454545454,0.4,0.4615384615384615
3,Do you feel that your employer supports your work-life balance?,Do you feel that you have enough time to fulfil your personal commitments outside of work?,0.5454545454545454,0.375,0.4444444444444444,0.3,0.2,0.24,0.5454545454545454,0.375,0.4444444444444444
3,Do you feel that your employer supports your work-life balance?,What specific aspects of your job or work environment contribute to your work-life balance?,0.45454545454545453,0.3333333333333333,0.3846153846153846,0.3,0.21428571428571427,0.25,0.45454545454545453,0.3333333333333333,0.3846153846153846
3,Do you feel that your employer supports your work-life balance?,"What challenges, if any, do you face in maintaining a healthy work-life balance?",0.45454545454545453,0.35714285714285715,0.4,0.3,0.23076923076923078,0.2608695652173913,0.45454545454545453,0.35714285714285715,0.4
4,What steps would you suggest to improve work-life balance within the company?,What is your role in the company?,0.23076923076923078,0.42857142857142855,0.3,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.23076923076923078,0.42857142857142855,0.3
4,What steps would you suggest to improve work-life balance within the company?,How long have you been with the company?,0.23076923076923078,0.375,0.2857142857142857,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.23076923076923078,0.375,0.2857142857142857
4,What steps would you suggest to improve work-life balance within the company?,How often do you feel that work interferes with your personal life or vice versa?,0.23076923076923078,0.2,0.21428571428571427,0.0,0.0,0.0,0.23076923076923078,0.2,0.21428571428571427
4,What steps would you suggest to improve work-life balance within the company?,Do you feel that you have enough time to fulfil your personal commitments outside of work?,0.23076923076923078,0.1875,0.20689655172413793,0.0,0.0,0.0,0.23076923076923078,0.1875,0.20689655172413793
4,What steps would you suggest to improve work-life balance within the company?,What specific aspects of your job or work environment contribute to your work-life balance?,0.38461538461538464,0.3333333333333333,0.3571428571428571,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.38461538461538464,0.3333333333333333,0.3571428571428571
4,What steps would you suggest to improve work-life balance within the company?,"What challenges, if any, do you face in maintaining a healthy work-life balance?",0.38461538461538464,0.35714285714285715,0.3703703703703704,0.16666666666666666,0.15384615384615385,0.16,0.38461538461538464,0.35714285714285715,0.3703703703703704
5,"On a scale of 1 to 10, how would you rate your overall satisfaction with your work-life balance? (1 being very low, 10 being very high)",What is your role in the company?,0.037037037037037035,0.14285714285714285,0.058823529411764705,0.0,0.0,0.0,0.037037037037037035,0.14285714285714285,0.058823529411764705
5,"On a scale of 1 to 10, how would you rate your overall satisfaction with your work-life balance? (1 being very low, 10 being very high)",How long have you been with the company?,0.1111111111111111,0.375,0.17142857142857143,0.0,0.0,0.0,0.1111111111111111,0.375,0.17142857142857143
5,"On a scale of 1 to 10, how would you rate your overall satisfaction with your work-life balance? (1 being very low, 10 being very high)",How often do you feel that work interferes with your personal life or vice versa?,0.2222222222222222,0.4,0.2857142857142857,0.038461538461538464,0.07142857142857142,0.05,0.18518518518518517,0.3333333333333333,0.23809523809523808
5,"On a scale of 1 to 10, how would you rate your overall satisfaction with your work-life balance? (1 being very low, 10 being very high)",Do you feel that you have enough time to fulfil your personal commitments outside of work?,0.18518518518518517,0.3125,0.2325581395348837,0.0,0.0,0.0,0.1111111111111111,0.1875,0.13953488372093023
5,"On a scale of 1 to 10, how would you rate your overall satisfaction with your work-life balance? (1 being very low, 10 being very high)",What specific aspects of your job or work environment contribute to your work-life balance?,0.25925925925925924,0.4666666666666667,0.33333333333333337,0.11538461538461539,0.21428571428571427,0.15,0.2222222222222222,0.4,0.2857142857142857
5,"On a scale of 1 to 10, how would you rate your overall satisfaction with your work-life balance? (1 being very low, 10 being very high)","What challenges, if any, do you face in maintaining a healthy work-life balance?",0.18518518518518517,0.35714285714285715,0.24390243902439024,0.07692307692307693,0.15384615384615385,0.10256410256410257,0.14814814814814814,0.2857142857142857,0.1951219512195122
