QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
500100034,0.0,0,Excellent,1,0.0,0.0,0.0
500100034,0.0,1,Good,1,0.0,0.0,0.0
500100034,0.0,2,Fair,1,0.0,0.0,0.0
500100034,0.0,3,Poor,1,0.0,0.0,0.0
500100034,0.0,4,Very Poor,1,0.0,0.0,0.0
500100034,1.0,0,Training sessions,Excellent,0.0,0.0,0.0
500100034,1.0,1,Meetings with supervisor,Excellent,0.0,0.0,0.0
500100034,1.0,2,Documentation,Excellent,0.0,0.0,0.0
500100034,1.0,3,IT setup,Excellent,0.0,0.0,0.0
500100034,1.0,4,Other (please specify): __________________,Excellent,0.0,0.0,0.0
500100034,2.0,0,Lack of clear instructions,"Yes, completely",0.0,0.0,0.0
500100034,2.0,1,Too much information,"Yes, completely",0.0,0.0,0.0
500100034,2.0,2,Difficulty understanding company policies,"Yes, completely",0.0,0.0,0.0
500100034,2.0,3,Difficulty understanding job responsibilities,"Yes, completely",0.0,0.0,0.0
500100034,2.0,4,Other (please specify): __________________,"Yes, completely",0.0,0.0,0.0
500100066,0.0,0,Excellent,Executive/Senior Management,0.0,0.0,0.0
500100066,0.0,1,Good,Executive/Senior Management,0.0,0.0,0.0
500100066,0.0,2,Fair,Executive/Senior Management,0.0,0.0,0.0
500100066,0.0,3,Poor,Executive/Senior Management,0.0,0.0,0.0
500100066,0.0,4,Very poor,Executive/Senior Management,0.0,0.0,0.0
500100066,1.0,0,Excellent,Less than 1 year,0.0,0.0,0.0
500100066,1.0,1,Good,Less than 1 year,0.0,0.0,0.0
500100066,1.0,2,Fair,Less than 1 year,0.0,0.0,0.0
500100066,1.0,3,Poor,Less than 1 year,0.0,0.0,0.0
500100066,1.0,4,Very poor,Less than 1 year,0.0,0.0,0.0
500100066,2.0,0,Very quiet,Completely agree,0.0,0.0,0.0
500100066,2.0,1,Quiet,Completely agree,0.0,0.0,0.0
500100066,2.0,2,Moderate,Completely agree,0.0,0.0,0.0
500100066,2.0,3,Loud,Completely agree,0.0,0.0,0.0
500100066,2.0,4,Very loud,Completely agree,0.0,0.0,0.0
500100066,4.0,0,Very positive,1,0.0,0.0,0.0
500100066,4.0,1,Positive,1,0.0,0.0,0.0
500100066,4.0,2,Neutral,1,0.0,0.0,0.0
500100066,4.0,3,Negative,1,0.0,0.0,0.0
500100066,4.0,4,Very negative,1,0.0,0.0,0.0
500100066,5.0,0,Yes,Yes,1.0,0.3333333333333333,0.33333333333333337
500100066,5.0,1,No,No,1.0,0.3333333333333333,0.33333333333333337
500100066,5.0,2,Somewhat,Yes,0.0,0.0,0.0
