ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Excellent,Executive/Senior Management,0
0,0.0,Excellent,Manager,0
0,0.0,Excellent,Staff/Employee,0
0,0.0,Excellent,Intern,0
0,0.0,Excellent,Other (please specify): __________________,0
1,0.0,Good,Executive/Senior Management,0
1,0.0,Good,Manager,0
1,0.0,Good,Staff/Employee,0
1,0.0,Good,Intern,0
1,0.0,Good,Other (please specify): __________________,0
2,0.0,Fair,Executive/Senior Management,0
2,0.0,Fair,Manager,0
2,0.0,Fair,Staff/Employee,0
2,0.0,Fair,Intern,0
2,0.0,Fair,Other (please specify): __________________,0
3,0.0,Poor,Executive/Senior Management,0
3,0.0,Poor,Manager,0
3,0.0,Poor,Staff/Employee,0
3,0.0,Poor,Intern,0
3,0.0,Poor,Other (please specify): __________________,0
0,1.0,"Yes, always",Less than 1 year,0
0,1.0,"Yes, always",1-3 years,0
0,1.0,"Yes, always",3-5 years,0
0,1.0,"Yes, always",5-10 years,0
0,1.0,"Yes, always",More than 10 years,0
1,1.0,"Yes, sometimes",Less than 1 year,0
1,1.0,"Yes, sometimes",1-3 years,0
1,1.0,"Yes, sometimes",3-5 years,0
1,1.0,"Yes, sometimes",5-10 years,0
1,1.0,"Yes, sometimes",More than 10 years,0
2,1.0,"No, not often",Less than 1 year,0
2,1.0,"No, not often",1-3 years,0
2,1.0,"No, not often",3-5 years,0
2,1.0,"No, not often",5-10 years,0
2,1.0,"No, not often",More than 10 years,0
3,1.0,"No, never",Less than 1 year,0
3,1.0,"No, never",1-3 years,0
3,1.0,"No, never",3-5 years,0
3,1.0,"No, never",5-10 years,0
3,1.0,"No, never",More than 10 years,0
0,2.0,Quiet,Completely agree,0
0,2.0,Quiet,Partially agree,0
0,2.0,Quiet,Neutral,0
0,2.0,Quiet,Partially disagree,0
0,2.0,Quiet,Completely disagree,0
1,2.0,Moderate,Completely agree,0
1,2.0,Moderate,Partially agree,0
1,2.0,Moderate,Neutral,0
1,2.0,Moderate,Partially disagree,0
1,2.0,Moderate,Completely disagree,0
2,2.0,Loud,Completely agree,0
2,2.0,Loud,Partially agree,0
2,2.0,Loud,Neutral,0
2,2.0,Loud,Partially disagree,0
2,2.0,Loud,Completely disagree,0
3,2.0,Extremely Loud,Completely agree,0
3,2.0,Extremely Loud,Partially agree,0
3,2.0,Extremely Loud,Neutral,0
3,2.0,Extremely Loud,Partially disagree,0
3,2.0,Extremely Loud,Completely disagree,0
