QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146002,0,"On a scale of 1-5, how would you rate your overall stress level at work?",I don't feel 100% comfortable working with some of my colleagues.,0.0359102731096628,0.019218086953107182,0.000324843382927845
1146002,1,What are the most common sources of stress at work for you?,The place where I use to work for most of my time is not really comfortable.,0.1247320909635493,0.03278280189228263,0.0022804374883221875
1146002,2,Do you feel that your workload is manageable?,I don't feel 100% comfortable working with some of my colleagues.,0.0418811804110698,0.013297578163657028,0.0003078899623894372
1146002,3,How often do you feel overwhelmed by your work?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.1912511402458109,0.0444879336800041,0.004606790809896388
1146002,4,Do you feel supported by your manager and colleagues when dealing with stress?,I would like more occasions to talk with my manager and explain my view and expectations.,0.1100972635198182,0.043320812697420975,0.0014189658068527228
1146002,5,What strategies do you use to manage your stress at work?,The place where I use to work for most of my time is not really comfortable.,0.0855878412699897,0.030481845834505812,0.0008264409220715697
1146004,0,How would you rate the overall comfort and cleanliness of your workspace?,Working Environment,0.0,0.0,0.0
1146004,1,Do you feel that your workspace is well-organized and easy to navigate?,Working Environment,0.0,0.0,0.0
1146004,2,How would you rate the noise level in your workspace?,Working Environment,0.0,0.0,0.0
1146004,3,Do you feel that your workspace is well-lit and visually appealing?,Working Environment,0.0,0.0,0.0
1146004,4,How would you rate the overall satisfaction with your workspace?,Working Environment,0.0,0.0,0.0
1173001,0,What is your current role?,How satisfied are you with your experience working from home?,0.0330010405692768,0.0153524566796858,0.00016688931822857677
1173001,1,How often do you work remotely?,How often do you exceed your regular scheduled time when working from home?,0.1969486916579088,0.043868349743517956,0.0031349190490359657
1173001,2,What is your preferred remote work setup?,How satisfied are you with your experience working from home?,0.0443415162709326,0.02462900268218712,0.00032195018940514336
1173001,3,What are the top three benefits you've experienced while working remotely?,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,0.1451742875787343,0.05366087474962581,0.0016742466816981833
1173001,4,What are the top three challenges you've faced while working remotely?,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,0.1451742875787343,0.05366087474962581,0.0016742466816981833
1173001,5,How do you currently handle communication with your team and manager while working remotely?,How satisfied are you with your experience working from home?,0.165748386032949,0.08414222833894644,0.0024549180904695177
1173001,6,Do you feel that remote work has improved your overall job satisfaction?,Do you have a dedicated room or workspace where you can work at your home?,0.135571814773532,0.05785511321502984,0.0008647359456967116
1173001,7,What do you think is the most important factor in making remote work successful?,How often do you exceed your regular scheduled time when working from home?,0.1048284836721918,0.05698292134445369,0.00040261763290741265
1173001,8,Any additional comments or feedback?,Do you have a dedicated room or workspace where you can work at your home?,0.0121404043627016,0.00121404043627016,1.4738941808990403e-05
1173002,0,What was the primary reason for the end of your working relationship with the company?,What would you recommend to improve ourselves for the near future?,0.1195228609334393,0.05388619780502287,0.0010385713012583747
1173002,1,How would you rate the overall experience of leaving the company?,What would you recommend to improve ourselves for the near future?,0.1651445647689541,0.07284688038635251,0.00196701337867849
1173002,2,Were you satisfied with the severance package and support provided by the company during the transition?,How satisfied are you with your experience working with us?,0.0588705011257737,0.04827079466452512,8.344884731099832e-05
1173002,3,What did you find most helpful or supportive during the transition process?,What strengths did you admire the most from your supervisor?,0.1946247360403807,0.05676396687429079,0.0026847841374630695
1173002,4,What did you find most challenging or difficult during the transition process?,What strengths did you admire the most from your supervisor?,0.1946247360403807,0.05676396687429079,0.0026847841374630695
1173002,5,Any additional comments or feedback regarding the end of your working relationship with the company?,How satisfied are you with your experience working with us?,0.0621984175396105,0.03797082695133562,0.0002645430365811477
1173003,0,How would you rate the overall onboarding experience?,Did you receive all your equipments on time?,0.0609367579321826,0.04224256007004548,0.0005312928891834799
1173003,1,Were you provided with clear instructions on your job responsibilities?,Were you introduced to colleagues from your team or other departments?,0.1651999549110089,0.07035343074908952,0.0025461642419111834
1173003,2,Did you feel supported by your supervisor or HR during the onboarding process?,Did you receive all your equipments on time?,0.1386750490563073,0.0754000089615541,0.0017157484454813788
1173003,3,How would you rate the quality of the training provided?,Did you receive all your equipments on time?,0.0505809043128382,0.03803151284343238,0.0004065528866646095
1173003,4,Were you introduced to the right people and teams during the onboarding process?,Were you introduced to colleagues from your team or other departments?,0.2773500981126146,0.08889236325535756,0.00860066168401077
1173003,5,How would you rate the overall effectiveness of the onboarding process?,Were you introduced to colleagues from your team or other departments?,0.0466894505584833,0.03877622655498147,0.000360962808071523
1173004,0,How would you rate your overall satisfaction with your manager's leadership?,What are the areas I would like you to improve,0.0660288541995552,0.03730947043183693,0.0011452945883993317
1173004,1,What are your manager's greatest strengths?,What are the areas I would like you to improve,0.1325637301114013,0.06339189657694404,0.004418341388686731
1173004,2,What are your manager's greatest areas for improvement?,What are the areas I would like you to improve,0.1802573546715273,0.09224738794468773,0.008136645282227297
1173004,3,How would you rate your manager's communication style?,What are the areas I would like you to improve,0.0671151741972847,0.0343464460711414,0.0011279785473184444
1173004,4,Do you feel supported by your manager in your role?,What are the areas I would like you to improve,0.0505809043128382,0.031322459100348,0.0007487622935909429
1173004,5,What changes would you like to see in your manager's leadership style?,What are the areas I would like you to improve,0.0970181693735297,0.059929207024346294,0.002744388879763704
1173005,0,What is the most important thing to you in your role?,What worked the most for you (put at the top what worked the best),0.1451742875787343,0.08098036163408201,0.0019146072865705134
1173005,1,What do you like most about your job?,Did you get support from your teammates?,0.0861775895147389,0.07078703241694101,0.00033628881799566834
1173005,2,What do you like least about your job?,Did you get support from your teammates?,0.0861775895147389,0.06849983696106696,0.0004848749941404996
1173005,3,What would make your job more fulfilling?,Did you get support from your teammates?,0.0680670214017967,0.05504507428853277,0.0004183688483359391
1173005,4,How satisfied are you with your current role?,Did you get support from your teammates?,0.0861775895147389,0.04397470843164005,0.0014111040418826489
1173005,5,What would you like to see changed or improved in your role?,Did you get support from your teammates?,0.061359677928069,0.0500188031620184,7.341502516856054e-05
1213249,0,How would you rate the overall quality of the training program?,How would you judge the effectiveness of the Training on the employee?,0.3693674263995535,0.18468371319977675,0.06821614784251478
1213249,1,To what extent did the training program meet your learning objectives?,How would you judge the effectiveness of the Training on the employee?,0.0426321707477764,0.0213160853738882,0.0009087509913337809
1213249,2,How would you rate the relevance of the training program to your job responsibilities?,How would you judge the effectiveness of the Training on the employee?,0.3144854510165755,0.15724272550828775,0.04945054945054945
1213249,3,Have you applied the skills and knowledge learned during the training program in your work?,How would you judge the effectiveness of the Training on the employee?,0.0621984175396105,0.03109920876980525,0.0019343215722158636
1213249,4,What do you think is the most effective way to measure the success of training programs?,How would you judge the effectiveness of the Training on the employee?,0.0679777993445872,0.0339888996722936,0.00231049060186648
1213249,5,Any additional comments or suggestions regarding training effectiveness?,Additional comments,0.0609367579321826,0.0304683789660913,0.0018566442336427097
1433792,0,Current Job Satisfaction,I am satisfied with the investment my organization makes in training and education.,0.0,0.0,0.0
1433792,1,Career Goals,I am satisfied with the investment my organization makes in training and education.,0.0,0.0,0.0
1433792,2,Career Development,I am satisfied with the investment my organization makes in training and education.,0.0,0.0,0.0
1433792,3,Job Security,I am satisfied with the investment my organization makes in training and education.,0.0,0.0,0.0
1433792,4,Work-Life Balance,I am satisfied with the investment my organization makes in training and education.,0.0,0.0,0.0
5100002,0,How would you rate the overall quality of the training you received?,Did the training provided correspond to your expectations?,0.1230914909793327,0.05176603981426755,0.0010976729462309105
5100002,1,What topics or areas of training would you like to see more emphasis on in the future?,"Would you like to follow a training course, carry out a skills assessment?",0.1714985851425088,0.06106773249780988,0.0017957540208897941
5100002,2,How important is it for you to have access to training and development opportunities?,Do you know the terms of access to training?,0.1283881477532738,0.0566260965340474,0.0006102510732210383
5100002,3,What do you think is the most effective way to deliver training to professional users?,What do you think it takes to reach them?,0.2672612419124243,0.08244259612177288,0.005797174976094482
5100002,4,How would you rate the relevance of the training to your current job responsibilities?,Did the training provided correspond to your expectations?,0.2096569673443836,0.06346211672635786,0.002449893143769748
5100002,5,What do you think is the biggest barrier to accessing training and development opportunities?,What do you think it takes to reach them?,0.2870846258816073,0.08819558112763659,0.006715722274417519
5100003,0,What was the most valuable aspect of the course session?,The duration of the course was appropriate given the target goals...,0.3016124726786531,0.08096398819778419,0.011607475295413052
5100003,1,How would you rate the overall quality of the course session?,The duration of the course was appropriate given the target goals...,0.2696799449852968,0.0917668443166322,0.010514396102135757
5100003,2,What did you find most challenging or confusing during the course session?,The duration of the course was appropriate given the target goals...,0.1230914909793327,0.05072368894302892,0.001163856923255728
5100003,3,How would you rate the instructor's teaching style?,"Overall, how much you were satisfied from the information received?",0.0671151741972847,0.03729358187038829,0.0006284803554374316
5100003,4,What suggestions do you have for improving the course session?,The duration of the course was appropriate given the target goals...,0.1348851983542533,0.05901921455464611,0.0015561469891197
500000002,0,What is your overall satisfaction with your job?,Ã¯Â¿Â½I am satisfied with my overall compensation.,0.0861775895147389,0.026604041076590902,0.0008829887077715052
500000002,1,How would you rate the quality of your work-life balance?,I am satisfied with the job-related training my organization offers.,0.0505809043128382,0.010281157748026681,0.0003538096135397078
500000002,2,What are the most important factors that contribute to your job satisfaction?,I am often so involved in my work that the day goes by very quickly.,0.0477869652193893,0.027175528994706592,0.00047473269598621826
500000002,3,What are the biggest challenges you face in your role?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.0529923577746363,0.018067226819326456,0.0005849309330406197
500000002,4,How would you rate the level of support and resources provided by your manager?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.053852233004558,0.014625177127670643,0.0005194571083130973
500000002,5,What are the most significant opportunities for improvement in your role?,I am satisfied with my opportunities for professional growth.,0.1348399724926484,0.026409317605536064,0.0013919779305538043
500000002,6,How would you rate the overall culture and values of the organization?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.056453628961174,0.016487218346098145,0.0005006383663685022
500000002,7,What are the most important things you look for in a workplace culture?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.0573445430021913,0.020378211425031142,0.0005951119459068281
