QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1146002,0.0,0,1 - Low,Completely Disagree,0.0,0.0,0.0
1146002,0.0,1,2 - Medium Low,2,0.5,0.05,0.025000000000000005
1146002,0.0,2,3 - Medium,3,0.6666666666666666,0.06666666666666667,0.04444444444444444
1146002,0.0,3,4 - Medium High,4,0.5,0.05,0.025000000000000005
1146002,0.0,4,5 - High,5,0.6666666666666666,0.06666666666666667,0.04444444444444444
1146002,1.0,0,Workload,Completely Disagree,0.0,0.0,0.0
1146002,1.0,1,Deadlines,Completely Disagree,0.0,0.0,0.0
1146002,1.0,2,Colleagues,Completely Disagree,0.0,0.0,0.0
1146002,1.0,3,Manager,Completely Disagree,0.0,0.0,0.0
1146002,1.0,4,Other (please specify): __________________,Completely Disagree,0.0,0.0,0.0
1146002,2.0,0,Yes,Completely Disagree,0.0,0.0,0.0
1146002,2.0,1,No,Completely Disagree,0.0,0.0,0.0
1146002,3.0,0,Frequently,Completely Disagree,0.0,0.0,0.0
1146002,3.0,1,Occasionally,Completely Disagree,0.0,0.0,0.0
1146002,3.0,2,Rarely,Completely Disagree,0.0,0.0,0.0
1146002,3.0,3,Never,Completely Disagree,0.0,0.0,0.0
1146002,4.0,0,Yes,Completely Disagree,0.0,0.0,0.0
1146002,4.0,1,No,Completely Disagree,0.0,0.0,0.0
1146004,0.0,0,Excellent,Happy,0.0,0.0,0.0
1146004,0.0,1,Good,Happy,0.0,0.0,0.0
1146004,0.0,2,Fair,Happy,0.0,0.0,0.0
1146004,0.0,3,Poor,Happy,0.0,0.0,0.0
1146004,1.0,0,Yes,Happy,0.0,0.0,0.0
1146004,1.0,1,No,Happy,0.0,0.0,0.0
1146004,1.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,2.0,0,Very quiet,Happy,0.0,0.0,0.0
1146004,2.0,1,Somewhat quiet,Happy,0.0,0.0,0.0
1146004,2.0,2,Average,Happy,0.0,0.0,0.0
1146004,2.0,3,Somewhat loud,Happy,0.0,0.0,0.0
1146004,2.0,4,Very loud,Happy,0.0,0.0,0.0
1146004,3.0,0,Yes,Happy,0.0,0.0,0.0
1146004,3.0,1,No,Happy,0.0,0.0,0.0
1146004,3.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,4.0,0,Very satisfied,Happy,0.0,0.0,0.0
1146004,4.0,1,Somewhat satisfied,Happy,0.0,0.0,0.0
1146004,4.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,4.0,3,Somewhat dissatisfied,Happy,0.0,0.0,0.0
1146004,4.0,4,Very dissatisfied,Happy,0.0,0.0,0.0
1173001,0.0,0,Executive/Senior Management,Very satisfied,0.0,0.0,0.0
1173001,0.0,1,Manager,Very satisfied,0.0,0.0,0.0
1173001,0.0,2,Staff/Employee,Very satisfied,0.0,0.0,0.0
1173001,1.0,0,Daily,Very satisfied,0.0,0.0,0.0
1173001,1.0,1,Weekly,Very satisfied,0.0,0.0,0.0
1173001,1.0,2,Monthly,Very satisfied,0.0,0.0,0.0
1173001,1.0,3,Quarterly,Very satisfied,0.0,0.0,0.0
1173001,1.0,4,Rarely,Very satisfied,0.0,0.0,0.0
1173001,1.0,5,Never,Very satisfied,0.0,0.0,0.0
1173001,2.0,0,Home Office,Too many distractions at home,0.2857142857142857,0.04107142857142857,0.008932114512471653
1173001,2.0,1,Coffee Shop,Too many distractions at home,0.0,0.0,0.0
1173001,2.0,2,Co-Working Space,Stay at work is taking much longer than when IÃ¯Â¿Â½m in the office,0.1176470588235294,0.01176470588235294,0.0013840830449826985
1173001,2.0,3,Other (please specify),Other (please specify),1.0,0.1,0.1
1173001,2.0,4,I prefer to work in the office,Stay at work is taking much longer than when IÃ¯Â¿Â½m in the office,0.3809523809523809,0.05476190476190475,0.01587931468883849
1173001,3.0,0,Increased productivity,No,0.0,0.0,0.0
1173001,3.0,1,Improved work-life balance,No,0.0,0.0,0.0
1173001,3.0,2,Reduced commuting time,No,0.0,0.0,0.0
1173001,3.0,3,Other (please specify),No,0.0,0.0,0.0
1173001,3.0,4,No benefits,No,0.6666666666666666,0.3333333333333333,0.2222222222222222
1173001,4.0,0,Difficulty staying focused,Yes,0.0,0.0,0.0
1173001,4.0,1,Lack of social interaction,Yes,0.0,0.0,0.0
1173001,4.0,2,Difficulty separating work and personal life,Yes,0.0,0.0,0.0
1173001,4.0,3,Other (please specify),Yes,0.0,0.0,0.0
1173001,4.0,4,No challenges,No,0.6666666666666666,0.3333333333333333,0.2222222222222222
1173001,5.0,0,Email,Every day,0.0,0.0,0.0
1173001,5.0,1,Video Conferencing,Every day,0.0,0.0,0.0
1173001,5.0,2,Instant Messaging,Every day,0.0,0.0,0.0
1173001,5.0,3,Phone Calls,Every day,0.0,0.0,0.0
1173001,5.0,4,Other (please specify),Every day,0.0,0.0,0.0
1173001,5.0,5,In-person meetings,Every day,0.0,0.0,0.0
1173001,6.0,0,Yes,Strongly agree,0.0,0.0,0.0
1173001,6.0,1,No,Strongly agree,0.0,0.0,0.0
1173001,6.0,2,Neutral,Strongly agree,0.0,0.0,0.0
1173001,7.0,0,Clear communication,Keeping enough free time for family,0.0,0.0,0.0
1173001,7.0,1,Defined goals and objectives,Keeping enough free time for family,0.0,0.0,0.0
1173001,7.0,2,Flexibility and autonomy,Keeping enough free time for family,0.0,0.0,0.0
1173001,7.0,3,Other (please specify),Keeping enough free time for family,0.0,0.0,0.0
1173001,7.0,4,Not sure,Not spending more than 2 hours per day to reach the workplace,0.1428571428571428,0.0357142857142857,0.005102040816326526
1173002,0.0,0,Job elimination,Very satisfied,0.0,0.0,0.0
1173002,0.0,1,Company restructuring,Very satisfied,0.0,0.0,0.0
1173002,0.0,2,Voluntary departure,Very satisfied,0.0,0.0,0.0
1173002,0.0,3,Involuntary departure,Very satisfied,0.0,0.0,0.0
1173002,0.0,4,Other (please specify),Very satisfied,0.0,0.0,0.0
1173002,0.0,5,Don't know,Very satisfied,0.0,0.0,0.0
1173002,1.0,0,1,Very satisfied,0.0,0.0,0.0
1173002,1.0,1,2,Very satisfied,0.0,0.0,0.0
1173002,1.0,2,3,Very satisfied,0.0,0.0,0.0
1173002,1.0,3,4,Very satisfied,0.0,0.0,0.0
1173002,1.0,4,5,Very satisfied,0.0,0.0,0.0
1173002,1.0,5,6,Very satisfied,0.0,0.0,0.0
1173002,1.0,6,7,Very satisfied,0.0,0.0,0.0
1173002,1.0,7,8,Very satisfied,0.0,0.0,0.0
1173002,1.0,8,9,Very satisfied,0.0,0.0,0.0
1173002,1.0,9,10,Very satisfied,0.0,0.0,0.0
1173002,2.0,0,Completely satisfied,Strongly agree,0.0,0.0,0.0
1173002,2.0,1,Partially satisfied,Strongly agree,0.0,0.0,0.0
1173002,2.0,2,Neutral,Strongly agree,0.0,0.0,0.0
1173002,2.0,3,Partially dissatisfied,Strongly agree,0.0,0.0,0.0
1173002,2.0,4,Completely dissatisfied,Strongly agree,0.0,0.0,0.0
1173003,0.0,0,Excellent,Yes,0.0,0.0,0.0
1173003,0.0,1,Good,Yes,0.0,0.0,0.0
1173003,0.0,2,Fair,Yes,0.0,0.0,0.0
1173003,0.0,3,Poor,Yes,0.0,0.0,0.0
1173003,1.0,0,Yes,Yes,1.0,0.5,0.5
1173003,1.0,1,No,No,1.0,0.5,0.5
1173003,1.0,2,Partially,Yes,0.0,0.0,0.0
1173003,2.0,0,Yes,Strongly agree,0.0,0.0,0.0
1173003,2.0,1,No,Strongly agree,0.0,0.0,0.0
1173003,2.0,2,Partially,Strongly agree,0.0,0.0,0.0
1173003,3.0,0,Excellent,Strongly agree,0.0,0.0,0.0
1173003,3.0,1,Good,Strongly agree,0.0,0.0,0.0
1173003,3.0,2,Fair,Strongly agree,0.0,0.0,0.0
