ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Enter budget amount,Yes,0
0,0.0,Enter budget amount,No,0
0,1.0,Enter objective,Very relevant and beneficial,0
0,1.0,Enter objective,Relevant and beneficial,0
0,1.0,Enter objective,Neutral,0
0,1.0,Enter objective,Not very relevant and beneficial,0
0,1.0,Enter objective,Not relevant and beneficial at all,0
0,2.0,Enter audience,"Yes, completely",0
0,2.0,Enter audience,"Yes, to some extent",0
0,2.0,Enter audience,"No, not really",0
0,2.0,Enter audience,"No, not at all",0
