QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146004,0.0,0,1,Happy,0.0,0.0,0.0
1146004,0.0,1,2,Happy,0.0,0.0,0.0
1146004,0.0,2,3,Happy,0.0,0.0,0.0
1146004,0.0,3,4,Happy,0.0,0.0,0.0
1146004,0.0,4,5,Happy,0.0,0.0,0.0
1146004,0.0,5,6,Happy,0.0,0.0,0.0
1146004,0.0,6,7,Happy,0.0,0.0,0.0
1146004,0.0,7,8,Happy,0.0,0.0,0.0
1146004,0.0,8,9,Happy,0.0,0.0,0.0
1146004,0.0,9,10,Happy,0.0,0.0,0.0
1146004,1.0,0,"Yes, it is very comfortable",Happy,0.0,0.0,0.0
1146004,1.0,1,"No, it is too cold",Happy,0.0,0.0,0.0
1146004,1.0,2,"No, it is too hot",Happy,0.0,0.0,0.0
1146004,2.0,0,1,Happy,0.0,0.0,0.0
1146004,2.0,1,2,Happy,0.0,0.0,0.0
1146004,2.0,2,3,Happy,0.0,0.0,0.0
1146004,2.0,3,4,Happy,0.0,0.0,0.0
1146004,2.0,4,5,Happy,0.0,0.0,0.0
1146004,2.0,5,6,Happy,0.0,0.0,0.0
1146004,2.0,6,7,Happy,0.0,0.0,0.0
1146004,2.0,7,8,Happy,0.0,0.0,0.0
1146004,2.0,8,9,Happy,0.0,0.0,0.0
1146004,2.0,9,10,Happy,0.0,0.0,0.0
1146004,3.0,0,"Yes, it is very organized",Happy,0.0,0.0,0.0
1146004,3.0,1,"No, it is difficult to navigate",Happy,0.0,0.0,0.0
1146004,3.0,2,Sometimes it is difficult to navigate,Happy,0.0,0.0,0.0
1146004,4.0,0,1,Happy,0.0,0.0,0.0
1146004,4.0,1,2,Happy,0.0,0.0,0.0
1146004,4.0,2,3,Happy,0.0,0.0,0.0
1146004,4.0,3,4,Happy,0.0,0.0,0.0
1146004,4.0,4,5,Happy,0.0,0.0,0.0
1146004,4.0,5,6,Happy,0.0,0.0,0.0
1146004,4.0,6,7,Happy,0.0,0.0,0.0
1146004,4.0,7,8,Happy,0.0,0.0,0.0
1146004,4.0,8,9,Happy,0.0,0.0,0.0
1146004,4.0,9,10,Happy,0.0,0.0,0.0
1146004,5.0,0,"Yes, it is a very productive environment",Happy,0.0,0.0,0.0
1146004,5.0,1,"No, it is not a productive environment",Happy,0.0,0.0,0.0
1146004,6.0,0,"Yes, it is a good reflection",Happy,0.0,0.0,0.0
1146004,6.0,1,"No, it is not a good reflection",Happy,0.0,0.0,0.0
1173003,0.0,0,Yes,Yes,1.0,0.5,0.5
1173003,0.0,1,No,No,1.0,0.5,0.5
1173003,1.0,0,1 - Terrible,Yes,0.0,0.0,0.0
1173003,1.0,1,2 - Bad,Yes,0.0,0.0,0.0
1173003,1.0,2,3 - Average,Yes,0.0,0.0,0.0
1173003,1.0,3,4 - Good,Yes,0.0,0.0,0.0
1173003,1.0,4,5 - Excellent,Yes,0.0,0.0,0.0
1173003,2.0,0,"Yes, definitely",Strongly agree,0.0,0.0,0.0
1173003,2.0,1,"No, not really",Strongly agree,0.0,0.0,0.0
1173003,3.0,0,1 - Terrible,Strongly agree,0.0,0.0,0.0
1173003,3.0,1,2 - Bad,Strongly agree,0.0,0.0,0.0
1173003,3.0,2,3 - Average,Strongly agree,0.0,0.0,0.0
1173003,3.0,3,4 - Good,Strongly agree,0.0,0.0,0.0
1173003,3.0,4,5 - Excellent,Strongly agree,0.0,0.0,0.0
1173003,4.0,0,"Yes, definitely",Not at all likely,0.0,0.0,0.0
1173003,4.0,1,"No, not really",Not at all likely,0.0,0.0,0.0
1173005,0.0,0,1,Always,0.0,0.0,0.0
1173005,0.0,1,2,Always,0.0,0.0,0.0
1173005,0.0,2,3,Always,0.0,0.0,0.0
1173005,0.0,3,4,Always,0.0,0.0,0.0
1173005,0.0,4,5,Always,0.0,0.0,0.0
1173005,0.0,5,6,Always,0.0,0.0,0.0
1173005,0.0,6,7,Always,0.0,0.0,0.0
1173005,0.0,7,8,Always,0.0,0.0,0.0
1173005,0.0,8,9,Always,0.0,0.0,0.0
1173005,0.0,9,10,Always,0.0,0.0,0.0
1173005,1.0,0,Yes,Working with Teammates,0.0,0.0,0.0
1173005,1.0,1,No,Working with Teammates,0.0,0.0,0.0
1213249,0.0,0,Not effective at all,0: Ineffective - The training had no positive impact on the employee's skills or performance. ,0.0,0.0,0.0
1213249,0.0,1,Somewhat effective,1: Somewhat Effective - The training had minimal impact on the employee's skills or performance.,0.0002798875627449,6.9971890686225e-05,1.958426194482008e-08
1213249,0.0,2,Effective,1: Somewhat Effective - The training had minimal impact on the employee's skills or performance.,8.315287191035679e-07,2.079531937504707e-07,1.728206551224541e-13
1213249,0.0,3,Very effective,0: Ineffective - The training had no positive impact on the employee's skills or performance. ,0.0,0.0,0.0
1213249,0.0,4,I don't know,0: Ineffective - The training had no positive impact on the employee's skills or performance. ,0.0,0.0,0.0
500000005,0.0,0,1 - Strongly disagree,Excellent,0.0,0.0,0.0
500000005,0.0,1,2 - Disagree,Excellent,0.0,0.0,0.0
500000005,0.0,2,3 - Neither agree nor disagree,Excellent,0.0,0.0,0.0
500000005,0.0,3,4 - Agree,Excellent,0.0,0.0,0.0
500000005,0.0,4,5 - Strongly agree,Excellent,0.0,0.0,0.0
500000005,1.0,0,1 - Strongly disagree,Laptop,0.0,0.0,0.0
500000005,1.0,1,2 - Disagree,Laptop,0.0,0.0,0.0
500000005,1.0,2,3 - Neither agree nor disagree,Laptop,0.0,0.0,0.0
500000005,1.0,3,4 - Agree,Laptop,0.0,0.0,0.0
500000005,1.0,4,5 - Strongly agree,Laptop,0.0,0.0,0.0
500000005,3.0,0,1 - Strongly disagree,Project,0.0,0.0,0.0
500000005,3.0,1,2 - Disagree,Project,0.0,0.0,0.0
500000005,3.0,2,3 - Neither agree nor disagree,Project,0.0,0.0,0.0
500000005,3.0,3,4 - Agree,Project,0.0,0.0,0.0
500000005,3.0,4,5 - Strongly agree,Project,0.0,0.0,0.0
500000005,4.0,0,1 - Strongly disagree,Health insurance,0.0,0.0,0.0
500000005,4.0,1,2 - Disagree,Health insurance,0.0,0.0,0.0
500000005,4.0,2,3 - Neither agree nor disagree,Health insurance,0.0,0.0,0.0
500000005,4.0,3,4 - Agree,Health insurance,0.0,0.0,0.0
500000005,4.0,4,5 - Strongly agree,Health insurance,0.0,0.0,0.0
500100002,0.0,0,Yes,Executive/Senior Management,0.0,0.0,0.0
500100002,0.0,1,No,Executive/Senior Management,0.0,0.0,0.0
500100002,1.0,0,Always,Less than 1 year,0.0,0.0,0.0
500100002,1.0,1,Most of the time,Less than 1 year,0.0,0.0,0.0
500100002,1.0,2,Occasionally,Less than 1 year,0.0,0.0,0.0
500100002,1.0,3,Rarely,Less than 1 year,0.0,0.0,0.0
500100002,1.0,4,Never,Less than 1 year,0.0,0.0,0.0
500100002,2.0,0,Yes,1,0.0,0.0,0.0
500100002,2.0,1,No,1,0.0,0.0,0.0
500100002,3.0,0,Yes,Yes,1.0,0.3333333333333333,0.33333333333333337
500100002,3.0,1,No,No,1.0,0.3333333333333333,0.33333333333333337
500100002,4.0,0,Yes,Excellent,0.0,0.0,0.0
500100002,4.0,1,No,Excellent,0.0,0.0,0.0
500100002,5.0,0,Yes,1,0.0,0.0,0.0
500100002,5.0,1,No,1,0.0,0.0,0.0
500100004,0.0,0,Yes,Executive/Senior Management,0.0,0.0,0.0
500100004,0.0,1,No,Executive/Senior Management,0.0,0.0,0.0
500100004,1.0,0,Very satisfied,Less than 1 year,0.0,0.0,0.0
500100004,1.0,1,Somewhat satisfied,Less than 1 year,0.0,0.0,0.0
500100004,1.0,2,Neutral,Less than 1 year,0.0,0.0,0.0
500100004,1.0,3,Somewhat unsatisfied,Less than 1 year,0.0,0.0,0.0
