QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146004,0,"On a scale of 1 to 10, how would you rate the overall cleanliness of your workplace?",Working Environment,0.0,0.0,0.0
1146004,1,Do you feel like the temperature at your workplace is comfortable?,Working Environment,0.0,0.0,0.0
1146004,2,How would you rate the amount of natural light in your workplace?,Working Environment,0.0,0.0,0.0
1146004,3,Do you feel like the layout of your workplace is organized and easy to navigate?,Working Environment,0.0,0.0,0.0
1146004,4,How noisy is your workplace?,Working Environment,0.0,0.0,0.0
1146004,5,Do you feel like your workplace promotes productivity?,Working Environment,0.0,0.0,0.0
1146004,6,Do you feel like your workplace is a good reflection of the company culture?,Working Environment,0.0,0.0,0.0
1173003,0,Have you ever experienced onboarding in a company before?,Would you recommend joining our company to other colleagues?,0.0781242702603468,0.045492251226341075,0.000671012715719099
1173003,1,How would you rate the onboarding process in terms of organization and structure?,Would you like to add any additional comment for us to improve our onboarding program?,0.0491674359125433,0.04198516866950147,1.2380391060113206e-05
1173003,2,Did you feel comfortable with the onboarding process?,Did you receive all your equipments on time?,0.1889822365046135,0.09036056894420509,0.005887748533205307
1173003,3,How would you rate the level of support provided during the onboarding process?,Would you like to add any additional comment for us to improve our onboarding program?,0.0491674359125433,0.03522704946601928,0.00030971197879723744
1173003,4,Did the onboarding process meet your expectations?,Did you receive all your equipments on time?,0.0834467977467655,0.04009088577947085,0.0009471857518272553
1173003,5,Do you feel like you have been able to integrate well with the team and company culture?,Were you introduced to colleagues from your team or other departments?,0.0559005157300496,0.04631541379416615,0.0001340775717909826
1173005,0,"On a scale of 1 to 10, how satisfied are you with your current manager?",Did you get support from your teammates?,0.050784795260207,0.03065133536988315,0.0004667244731380289
1173005,1,Do you feel like your skills and talents are being fully utilized in your current role?,Did you get support from your teammates?,0.0480675628866961,0.029011340557820824,0.000418116559961842
1173005,2,How would you rate the communication skills of your team leader?,Did you get support from your teammates?,0.0660288541995552,0.04074652424832785,0.000808482787763153
1173005,3,Do you feel like your work environment is conducive to productivity?,Did you get support from your teammates?,0.0660288541995552,0.025393387741098276,0.0010146461637104518
1213249,0,How effective is this training program in improving the skills of participants?,How would you judge the effectiveness of the Training on the employee?,0.0751499508526422,0.0375749754263211,0.002823757556577269
1213249,1,How would you rate the overall quality of the training materials?,How would you judge the effectiveness of the Training on the employee?,0.3693674263995535,0.18468371319977675,0.06821614784251478
500000005,0,How would you rate the course overall?,How do you rate this course?,0.2672612419124243,0.0906447605404022,0.012219671492871922
500000005,1,How well did the course content align with your learning objectives?,How do you split the welfare amount?,0.0660288541995552,0.031881551063304356,0.0009093631707004536
500000005,2,How effective was the course in helping you achieve your goals?,How do you split the welfare amount?,0.0808685005447683,0.04805525117225802,0.0009281994320068485
500000005,3,How would you rate the quality of the course materials?,How do you rate this course?,0.1825741858350553,0.0641527572621018,0.005747290884025126
500000005,4,How would you rate the course instructor?,How do you rate this course?,0.2672612419124243,0.0906447605404022,0.012219671492871922
500100002,0,Do you feel that you have access to the technology and tools you need to perform your job effectively?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.5619514869490163,0.1854043759325402,0.026496423019480787
500100002,1,How often do you have to use outdated technology or tools to complete a task?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.1291122301789045,0.060177960529240654,0.0012307019084710758
500100002,2,Do you feel that the technology and tools you use at work are user-friendly and easy to use?,How would you rate the reliability and performance of the technology and tools provided by the company?,0.2425356250363329,0.11687673211781305,0.005687723245722976
500100002,3,Have you ever received training on how to use the technology and tools available to you?,What improvements would you suggest to enhance access to technology and tools within the company?,0.241522945769824,0.11923386982875396,0.00686618745378959
500100002,4,"If you had access to better technology and tools, do you think it would make you more productive?",What improvements would you suggest to enhance access to technology and tools within the company?,0.1980295085953348,0.08913706158024509,0.004312372941172377
