QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1146004,0,"On a scale of 1 to 10, how would you rate the overall cleanliness of your workplace?",Working Environment,0.0,0.0,0.0
1146004,1,Do you feel like the temperature at your workplace is comfortable?,Working Environment,0.0,0.0,0.0
1146004,2,How would you rate the amount of natural light in your workplace?,Working Environment,0.0,0.0,0.0
1146004,3,Do you feel like the layout of your workplace is organized and easy to navigate?,Working Environment,0.0,0.0,0.0
1146004,4,How noisy is your workplace?,Working Environment,0.0,0.0,0.0
1146004,5,Do you feel like your workplace promotes productivity?,Working Environment,0.0,0.0,0.0
1146004,6,Do you feel like your workplace is a good reflection of the company culture?,Working Environment,0.0,0.0,0.0
1173003,0,Have you ever experienced onboarding in a company before?,Would you recommend joining our company to other colleagues?,0.2222222222222222,0.12331154684095857,0.005508935309781137
1173003,1,How would you rate the onboarding process in terms of organization and structure?,Would you like to add any additional comment for us to improve our onboarding program?,0.2142857142857142,0.12566875944068923,0.0033604872158731766
1173003,2,Did you feel comfortable with the onboarding process?,Did you receive an adeguate Training?,0.2857142857142857,0.17057443946998396,0.006598037803963452
1173003,3,How would you rate the level of support provided during the onboarding process?,Would you like to add any additional comment for us to improve our onboarding program?,0.2142857142857142,0.11332308042834355,0.00580371337579849
1173003,4,Did the onboarding process meet your expectations?,Did you receive all your equipments on time?,0.2666666666666666,0.1196285196285196,0.007718858104028482
1173003,5,Do you feel like you have been able to integrate well with the team and company culture?,Were you introduced to colleagues from your team or other departments?,0.2142857142857142,0.14193677465591906,0.002895545739207598
1173005,0,"On a scale of 1 to 10, how satisfied are you with your current manager?",Did you get support from your teammates?,0.1818181818181818,0.08443505519967287,0.005619472098240347
1173005,1,Do you feel like your skills and talents are being fully utilized in your current role?,Did you get support from your teammates?,0.1739130434782608,0.10478778467908897,0.0022610036978454474
1173005,2,How would you rate the communication skills of your team leader?,Did you get support from your teammates?,0.2222222222222222,0.12187134502923976,0.008884183167470335
1173005,3,Do you feel like your work environment is conducive to productivity?,Did you get support from your teammates?,0.2222222222222222,0.12680555555555556,0.008763040123456791
1213249,0,How effective is this training program in improving the skills of participants?,How would you judge the effectiveness of the Training on the employee?,0.3333333333333333,0.16666666666666666,0.05555555555555555
1213249,1,How would you rate the overall quality of the training materials?,How would you judge the effectiveness of the Training on the employee?,0.6086956521739131,0.30434782608695654,0.18525519848771269
500000005,0,How would you rate the course overall?,How do you rate this course?,0.6153846153846153,0.24212454212454207,0.07425700063062698
500000005,1,How well did the course content align with your learning objectives?,How do you rate this course?,0.2352941176470588,0.1165032679738562,0.013126495151437479
500000005,2,How effective was the course in helping you achieve your goals?,How do you rate this course?,0.2352941176470588,0.1415032679738562,0.008970040903071465
500000005,3,How would you rate the quality of the course materials?,How do you rate this course?,0.5,0.1972549019607843,0.04944944252210688
500000005,4,How would you rate the course instructor?,How do you rate this course?,0.6153846153846153,0.24212454212454207,0.07425700063062698
500100002,0,Do you feel that you have access to the technology and tools you need to perform your job effectively?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.742857142857143,0.30603161967541054,0.03705904024017135
500100002,1,How often do you have to use outdated technology or tools to complete a task?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.3225806451612903,0.2140333785271268,0.008156571500067279
500100002,2,Do you feel that the technology and tools you use at work are user-friendly and easy to use?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.2857142857142857,0.20733491877282723,0.004700103495864831
500100002,3,Have you ever received training on how to use the technology and tools available to you?,How can the company better support employees in utilizing technology and tools effectively?,0.3448275862068966,0.2684657058259907,0.006263573581106548
500100002,4,"If you had access to better technology and tools, do you think it would make you more productive?",What improvements would you suggest to enhance access to technology and tools within the company?,0.3636363636363636,0.20303523212376184,0.013931299227840047
