QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146002,0,Do you feel that you have enough information to understand the causes of work-related stress?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.050784795260207,0.0408459559532384,7.199597734633866e-05
1146002,1,Do you feel that you have enough support from your organization to help you cope with work-related stress?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.043464144624115,0.03800827895757336,4.630339804431892e-05
1146002,2,Do you feel that you have enough control over your work to reduce work-related stress?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.050784795260207,0.042705639513191195,5.533671717460011e-05
1146002,3,Do you feel that you have enough support from your colleagues to help you cope with work-related stress?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.043464144624115,0.03800827895757336,4.630339804431892e-05
1146002,4,"Do you feel that you have enough resources (time, money, etc.) to help you cope with work-related stress?",I often feel overwhelmed by tasks which I'm not sure to complete in time,0.043464144624115,0.03800827895757336,4.630339804431892e-05
1146002,5,Do you feel that you have enough control over your work environment to reduce work-related stress?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.0480675628866961,0.04161781202147708,5.198542763535683e-05
1146002,6,Do you feel that you have enough opportunities to participate in decision making to reduce work-related stress?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.0559005157300496,0.037559140674092384,9.023369873076169e-05
1173003,0,"On a scale of 1-10, how would you rate your onboarding experience?",Were you introduced to colleagues from your team or other departments?,0.061359677928069,0.04953345894088048,9.014981094875779e-05
1173003,1,Did you feel welcome and part of the team during onboarding?,Did you receive all your equipments on time?,0.1348399724926484,0.07563026724430115,0.0022304918111576005
1173003,2,Do you think the onboarding process was effective in making you feel prepared for your role?,Would you like to add any additional comment for us to improve our onboarding program?,0.0588705011257737,0.04282872098600778,0.00010933139230971804
1173003,3,Were you provided with all necessary resources and materials during onboarding?,Were you introduced to colleagues from your team or other departments?,0.1348399724926484,0.06093851358860697,0.001437830995551268
1173003,4,Do you feel like you have a good understanding of the company culture and values?,Would you recommend joining our company to other colleagues?,0.050784795260207,0.0408684471598442,5.90003757885414e-05
1173003,5,Do you feel like you have a good support system in place to help you in your new role?,Were you introduced to colleagues from your team or other departments?,0.0508216608327111,0.042578726358130516,6.292485588576621e-05
5100003,0,The course content was engaging and useful,Teachers were engaging and prepared,0.2182178902359924,0.04760320676710391,0.005566541962159207
5100003,1,The course materials were well-organized,Teachers were engaging and prepared,0.089706128899705,0.027005007294801563,0.0009057946860569932
5100003,2,The course instructor was knowledgeable,The duration of the course was appropriate given the target goals...,0.0467982232615309,0.011683592800878363,0.00046802290455032967
5100003,3,The course materials were easy to understand,Teachers were engaging and prepared,0.0680670214017967,0.0332674024128097,0.0006068985577038853
5100003,4,The course provided an opportunity to ask questions and get answers,The duration of the course was appropriate given the target goals...,0.0660288541995552,0.02931197676753844,0.0006738528530166474
5100003,5,The course helped to improve knowledge and skills,Teachers were engaging and prepared,0.0609367579321826,0.030661857034777175,0.0007613914649096396
5100003,6,The course was interactive and encouraged participation,The duration of the course was appropriate given the target goals...,0.1509272666182457,0.039378038040589605,0.002864256024162875
5100003,7,"Overall, the course was a good experience",The duration of the course was appropriate given the target goals...,0.2134433873834232,0.05774447727987231,0.004708858370165235
500000003,0,What is the employee's current performance level?,Takes the risk to decide for the Team,0.0590057965550402,0.007375724569380025,0.0004352105033868493
500000003,1,How well does the employee adapt to new situations?,Takes the risk to decide for the Team,0.0781242702603468,0.023576084101628772,0.00110859275355526
500000003,2,Is the employee a good problem solver?,Has always a positive attitude with collagues,0.0680670214017967,0.0243924799198292,0.0011411397455722754
500000003,3,Does the employee have the ability to learn quickly?,Takes the risk to decide for the Team,0.0956822993325702,0.0257708377356567,0.001420773626928412
500000003,4,Is the employee able to work well under pressure?,Also suitable to work in this area,0.1666666666666666,0.04036440089842003,0.0038500431580134574
500000003,5,How well does the employee communicate with others?,Has always a positive attitude with collagues,0.0609367579321826,0.01523418948304565,0.0007957046715611613
500000003,6,How is the employee's decision-making skills?,Takes the risk to decide for the Team,0.0553750841892643,0.006921885523658037,0.00038329999362101346
500000003,7,Is the employee a team player?,Is attentive to details,0.0772821555347255,0.024759396505536126,0.0012020308085111463
500000005,0,How would you rate the overall quality of the course?,How do you rate this course?,0.2108185106778919,0.06980162223066913,0.007579205909674296
500000005,1,How would you rate the course materials and resources?,How do you rate this course?,0.2041241452319315,0.07100972916816868,0.0071653904228516875
500000005,2,How would you rate the course instructor?,How do you rate this course?,0.2672612419124243,0.0906447605404022,0.012219671492871922
500000005,3,How well did the course meet your learning objectives?,How do you split the welfare amount?,0.0781242702603468,0.03772173456260604,0.0012730392288412171
500000005,4,Would you recommend this course to others?,How do you rate this course?,0.0962613048167606,0.0464790695240708,0.0019327395227333902
500100009,0,Do you feel that your current role aligns with your career goals?,Have you had discussions with your manager or HR about your career goals and development opportunities within the company?,0.1535941187899571,0.0601815450708269,0.0024066808601222404
500100009,1,Do you have a clear understanding of the steps needed to progress in your career?,"Rate, from 1 to 5, if there are enough opportunity for vertical career advancement in your company?",0.1046032189046267,0.06689463844798339,0.0006878443743536165
500100009,2,Do you feel that your skills and abilities are being fully utilized in your current role?,"Rate, from 1 to 5, if there are enough opportunity for vertical career advancement in your company?",0.1050295733701106,0.058922168957292784,0.0010760510982920307
500100009,3,Do you feel that you have the necessary resources and support to progress in your career?,How can the company better communicate and support employees in exploring and pursuing their career goals?,0.1290994448735805,0.07920075222426529,0.0010785117232601459
500100009,4,Do you feel that you have a clear career path and end goal?,How long have you been with the company?,0.0573445430021913,0.0351133330501323,0.0003318479060514055
500100009,5,Do you feel that you have a clear understanding of the skills and qualifications needed to progress in your career?,"Rate, from 1 to 5, if there are enough opportunity for vertical career advancement in your company?",0.0888523316638638,0.0599232740545955,0.00041319020746843313
500100009,6,Do you feel that you have the opportunity to progress and move up in your career?,"Rate, from 1 to 5, if there are enough opportunity for vertical career advancement in your company?",0.1212777049162098,0.07495853534046655,0.0010169710505137312
500100015,0,"On a scale of 1-10, how would you rate the effectiveness of the current feedback mechanism?","On a scale of 1 to 10, how satisfied are you with the existing feedback mechanisms in the company? (1 being very dissatisfied, 10 being very satisfied)",0.1686548384364764,0.0694199776889516,0.0024474706048584773
500100015,1,How often do you feel the need for a more efficient feedback mechanism?,How often do you receive feedback from your manager/supervisor regarding your performance?,0.3100868364730211,0.10789763252490296,0.011299864096693873
500100015,2,Do you think the current feedback mechanism encourages open communication?,Do you think that the feedback processes is transparent?,0.3333333333333333,0.1156993436344569,0.014638900596310105
500100015,3,How would you rate the ease of use of the current feedback mechanism?,How often do you receive feedback from your manager/supervisor regarding your performance?,0.0702324349442283,0.053068578400057624,0.0002543033282129285
500100015,4,Do you feel like you have enough options to provide feedback?,Do you feel comfortable providing feedback to your manager/supervisor?,0.2696799449852968,0.07709504224804449,0.011460487895291001
500100015,5,Do you feel like the current feedback mechanism is inclusive and not exclusive?,Do you feel comfortable providing feedback to your manager/supervisor?,0.2264554068289191,0.10071914942034638,0.006648512571355252
500100016,0,"On a scale of 1-10, how would you rate the effectiveness of the current feedback mechanism?",How long have you been with the company?,0.0480675628866961,0.0452518302438156,3.964175158091402e-05
500100016,1,Do you think the current feedback mechanism encourages open and honest communication?,Do you feel comfortable providing feedback to your manager or supervisor?,0.1507556722888818,0.07187657731877593,0.0019847678031173124
500100016,2,How often do you provide feedback through the current feedback mechanism?,How frequently do you receive feedback on your performance from your manager or supervisor?,0.1451742875787343,0.0778057770233628,0.0016032896949684304
500100016,3,How would you rate the ease of use of the current feedback mechanism?,How long have you been with the company?,0.0702324349442283,0.057251401855301275,0.0001313212804725903
500100016,4,Do you feel that the current feedback mechanism is an effective way to communicate feedback?,Do you feel comfortable providing feedback to your manager or supervisor?,0.2182178902359923,0.08655413871124476,0.005441720603028937
500100019,0,Do you have access to personal protective equipment (PPE) such as masks and gloves?,What improvements would you suggest to enhance health and safety measures within the company?,0.0659552461853172,0.03760108251979906,0.00023222461829878406
500100019,1,How often do you clean high-touch items such as doorknobs and elevator buttons?,What improvements would you suggest to enhance health and safety measures within the company?,0.0530988148925598,0.03780689126562529,0.00014914121877809155
