QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1146002,0.0,0,"Yes, I feel that I have enough information to understand the causes of work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,0.0,1,"No, I feel that I need more information to understand the causes of work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,0.0,2,I don't want to answer this question.,Completely Disagree,0.0,0.0,0.0
1146002,1.0,0,"Yes, I feel that I have enough support from my organization to cope with work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,1.0,1,"No, I feel that I don't have enough support from my organization to cope with work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,1.0,2,I don't want to answer this question.,Completely Disagree,0.0,0.0,0.0
1146002,2.0,0,"Yes, I feel that I have enough control over my work to reduce work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,2.0,1,"No, I feel that I don't have enough control over my work to reduce work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,2.0,2,I don't want to answer this question.,Completely Disagree,0.0,0.0,0.0
1146002,3.0,0,"Yes, I feel that I have enough support from my colleagues to cope with work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,3.0,1,"No, I feel that I don't have enough support from my colleagues to cope with work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,3.0,2,I don't want to answer this question.,Completely Disagree,0.0,0.0,0.0
1146002,4.0,0,"Yes, I feel that I have enough resources to cope with work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,4.0,1,"No, I feel that I don't have enough resources to cope with work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,4.0,2,I don't want to answer this question.,Completely Disagree,0.0,0.0,0.0
1146002,5.0,0,"Yes, I feel that I have enough control over my work environment to reduce work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,5.0,1,"No, I feel that I don't have enough control over my work environment to reduce work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,5.0,2,I don't want to answer this question.,Completely Disagree,0.0,0.0,0.0
1146002,6.0,0,"Yes, I feel that I have enough opportunities to participate in decision making to reduce work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,6.0,1,"No, I feel that I don't have enough opportunities to participate in decision making to reduce work-related stress.",Completely Disagree,0.0,0.0,0.0
1146002,6.0,2,I don't want to answer this question.,Completely Disagree,0.0,0.0,0.0
1173003,0.0,0,1,Yes,0.0,0.0,0.0
1173003,0.0,1,2,Yes,0.0,0.0,0.0
1173003,0.0,2,3,Yes,0.0,0.0,0.0
1173003,0.0,3,4,Yes,0.0,0.0,0.0
1173003,0.0,4,5,Yes,0.0,0.0,0.0
1173003,0.0,5,6,Yes,0.0,0.0,0.0
1173003,0.0,6,7,Yes,0.0,0.0,0.0
1173003,0.0,7,8,Yes,0.0,0.0,0.0
1173003,0.0,8,9,Yes,0.0,0.0,0.0
1173003,0.0,9,10,Yes,0.0,0.0,0.0
1173003,1.0,0,Strongly agree,Yes,0.0,0.0,0.0
1173003,1.0,1,Agree,Yes,0.0,0.0,0.0
1173003,1.0,2,Neutral,Yes,0.0,0.0,0.0
1173003,1.0,3,Disagree,Yes,0.0,0.0,0.0
1173003,1.0,4,Strongly disagree,Yes,0.0,0.0,0.0
1173003,2.0,0,Strongly agree,Strongly agree,1.0,0.4166666666666667,0.15277777777777776
1173003,2.0,1,Agree,Agree,1.0,0.3444444444444444,0.17851851851851847
1173003,2.0,2,Neutral,Strongly agree,0.0,0.0,0.0
1173003,2.0,3,Disagree,Disagree,1.0,0.45555555555555555,0.16074074074074077
1173003,2.0,4,Strongly disagree,Strongly disagree,1.0,0.5,0.11111111111111112
1173003,3.0,0,Strongly agree,Strongly agree,1.0,0.4166666666666667,0.15277777777777776
1173003,3.0,1,Agree,Agree,1.0,0.3444444444444444,0.17851851851851847
1173003,3.0,2,Neutral,Strongly agree,0.0,0.0,0.0
1173003,3.0,3,Disagree,Disagree,1.0,0.45555555555555555,0.16074074074074077
1173003,3.0,4,Strongly disagree,Strongly disagree,1.0,0.5,0.11111111111111112
1173003,4.0,0,Strongly agree,Not at all likely,0.0,0.0,0.0
1173003,4.0,1,Agree,Not at all likely,0.0,0.0,0.0
1173003,4.0,2,Neutral,Not at all likely,0.0,0.0,0.0
1173003,4.0,3,Disagree,Not at all likely,0.0,0.0,0.0
1173003,4.0,4,Strongly disagree,Not at all likely,0.0,0.0,0.0
5100003,0.0,0,Strongly agree,Not at all likely,0.0,0.0,0.0
5100003,0.0,1,Agree,Not at all likely,0.0,0.0,0.0
5100003,0.0,2,Neutral,Not at all likely,0.0,0.0,0.0
5100003,0.0,3,Disagree,Not at all likely,0.0,0.0,0.0
5100003,0.0,4,Strongly disagree,Not at all likely,0.0,0.0,0.0
5100003,1.0,0,Strongly agree,Yes,0.0,0.0,0.0
5100003,1.0,1,Agree,Yes,0.0,0.0,0.0
5100003,1.0,2,Neutral,Yes,0.0,0.0,0.0
5100003,1.0,3,Disagree,Yes,0.0,0.0,0.0
5100003,1.0,4,Strongly disagree,Yes,0.0,0.0,0.0
5100003,2.0,0,Strongly agree,Strongly agree,1.0,0.4166666666666667,0.15277777777777776
5100003,2.0,1,Agree,Agree,1.0,0.3444444444444444,0.17851851851851847
5100003,2.0,2,Neutral,Strongly agree,0.0,0.0,0.0
5100003,2.0,3,Disagree,Disagree,1.0,0.45555555555555555,0.16074074074074077
5100003,2.0,4,Strongly disagree,Strongly disagree,1.0,0.5,0.11111111111111112
5100003,3.0,0,Strongly agree,Strongly agree,1.0,0.4166666666666667,0.15277777777777776
5100003,3.0,1,Agree,Agree,1.0,0.3444444444444444,0.17851851851851847
5100003,3.0,2,Neutral,Strongly agree,0.0,0.0,0.0
