ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,I have a clear understanding of the career options available in my current job field,What department your role in the company falls in?,0.05078479526020709
0,I have a clear understanding of the career options available in my current job field,How long have you been in your current role with the company?,0.07182054621932575
0,I have a clear understanding of the career options available in my current job field,"On a scale of 1 to 10, how clear is the career path within the company? (1 being very unclear, 10 being very clear)",0.08468347394748475
0,I have a clear understanding of the career options available in my current job field,Do you understand the potential career progression opportunities available to you within the company?,0.06219841753961052
0,I have a clear understanding of the career options available in my current job field,How often you have discussions with your manager or HR about your career development goals and aspirations?,0.04444549782479199
0,I have a clear understanding of the career options available in my current job field,"How would you rate, from 1 to 5, the overall company availability to listen to your career aspirations?",0.04157907366830048
0,I have a clear understanding of the career options available in my current job field,What improvements or changes would you suggest to enhance career path clarity within the company?,0.05078479526020709
0,I have a clear understanding of the career options available in my current job field,Tell us if you agree with this statement: my company offers a clear structured framework to map career paths for all employees?,0.08654651607728733
0,I have a clear understanding of the career options available in my current job field,"If you disagree, would you motivate why?",0.0
0,I have a clear understanding of the career options available in my current job field,Any additional comments or suggestions regarding career path clarity?,0.03591027310966287
1,I have a clear sense of where my current job is taking me in terms of career progression,What department your role in the company falls in?,0.03073379140218457
1,I have a clear sense of where my current job is taking me in terms of career progression,How long have you been in your current role with the company?,0.05323248821780723
1,I have a clear sense of where my current job is taking me in terms of career progression,"On a scale of 1 to 10, how clear is the career path within the company? (1 being very unclear, 10 being very clear)",0.04924207147076961
1,I have a clear sense of where my current job is taking me in terms of career progression,Do you understand the potential career progression opportunities available to you within the company?,0.08084520834544433
1,I have a clear sense of where my current job is taking me in terms of career progression,How often you have discussions with your manager or HR about your career development goals and aspirations?,0.04346414462411504
1,I have a clear sense of where my current job is taking me in terms of career progression,"How would you rate, from 1 to 5, the overall company availability to listen to your career aspirations?",0.03073379140218457
1,I have a clear sense of where my current job is taking me in terms of career progression,What improvements or changes would you suggest to enhance career path clarity within the company?,0.03073379140218457
1,I have a clear sense of where my current job is taking me in terms of career progression,Tell us if you agree with this statement: my company offers a clear structured framework to map career paths for all employees?,0.09155022111394641
1,I have a clear sense of where my current job is taking me in terms of career progression,"If you disagree, would you motivate why?",0.0
1,I have a clear sense of where my current job is taking me in terms of career progression,Any additional comments or suggestions regarding career path clarity?,0.03073379140218457
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal",What department your role in the company falls in?,0
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal",How long have you been in your current role with the company?,0.02692371249839168
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal","On a scale of 1 to 10, how clear is the career path within the company? (1 being very unclear, 10 being very clear)",0.04042532339483126
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal",Do you understand the potential career progression opportunities available to you within the company?,0.038075879364659525
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal",How often you have discussions with your manager or HR about your career development goals and aspirations?,0.046633237975591595
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal","How would you rate, from 1 to 5, the overall company availability to listen to your career aspirations?",0.038075879364659525
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal",What improvements or changes would you suggest to enhance career path clarity within the company?,0.038075879364659525
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal",Tell us if you agree with this statement: my company offers a clear structured framework to map career paths for all employees?,0.05740361683622138
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal","If you disagree, would you motivate why?",0
2,"I feel like I am on a ladder with rungs, and that each step brings me closer to my career goal",Any additional comments or suggestions regarding career path clarity?,0.02692371249839168
3,I have a clear understanding of the skills I will need to progress in my current job,What department your role in the company falls in?,0.045642579965682134
3,I have a clear understanding of the skills I will need to progress in my current job,How long have you been in your current role with the company?,0.06454835560916619
3,I have a clear understanding of the skills I will need to progress in my current job,"On a scale of 1 to 10, how clear is the career path within the company? (1 being very unclear, 10 being very clear)",0.04780937318733608
3,I have a clear understanding of the skills I will need to progress in my current job,Do you understand the potential career progression opportunities available to you within the company?,0.045642579965682134
3,I have a clear understanding of the skills I will need to progress in my current job,How often you have discussions with your manager or HR about your career development goals and aspirations?,0.032274177804583096
3,I have a clear understanding of the skills I will need to progress in my current job,"How would you rate, from 1 to 5, the overall company availability to listen to your career aspirations?",0.04303516286589024
3,I have a clear understanding of the skills I will need to progress in my current job,What improvements or changes would you suggest to enhance career path clarity within the company?,0.045642579965682134
3,I have a clear understanding of the skills I will need to progress in my current job,Tell us if you agree with this statement: my company offers a clear structured framework to map career paths for all employees?,0.09036741775222505
3,I have a clear understanding of the skills I will need to progress in my current job,"If you disagree, would you motivate why?",0.0
3,I have a clear understanding of the skills I will need to progress in my current job,Any additional comments or suggestions regarding career path clarity?,0.0
4,I feel that my current job is giving me the skills and experience I need to progress in my career,What department your role in the company falls in?,0.03970769694413621
4,I feel that my current job is giving me the skills and experience I need to progress in my career,How long have you been in your current role with the company?,0.04863179818710228
4,I feel that my current job is giving me the skills and experience I need to progress in my career,"On a scale of 1 to 10, how clear is the career path within the company? (1 being very unclear, 10 being very clear)",0.04597595934168846
4,I feel that my current job is giving me the skills and experience I need to progress in my career,Do you understand the potential career progression opportunities available to you within the company?,0.04863179818710228
4,I feel that my current job is giving me the skills and experience I need to progress in my career,How often you have discussions with your manager or HR about your career development goals and aspirations?,0.03970769694413621
4,I feel that my current job is giving me the skills and experience I need to progress in my career,"How would you rate, from 1 to 5, the overall company availability to listen to your career aspirations?",0.04863179818710228
4,I feel that my current job is giving me the skills and experience I need to progress in my career,What improvements or changes would you suggest to enhance career path clarity within the company?,0.04863179818710228
4,I feel that my current job is giving me the skills and experience I need to progress in my career,Tell us if you agree with this statement: my company offers a clear structured framework to map career paths for all employees?,0.044003870706063486
4,I feel that my current job is giving me the skills and experience I need to progress in my career,"If you disagree, would you motivate why?",0.0
4,I feel that my current job is giving me the skills and experience I need to progress in my career,Any additional comments or suggestions regarding career path clarity?,0.028077581774499063
5,I feel that my current job is taking me on a path that will lead to a satisfying career,What department your role in the company falls in?,0
5,I feel that my current job is taking me on a path that will lead to a satisfying career,How long have you been in your current role with the company?,0.029341899562429608
5,I feel that my current job is taking me on a path that will lead to a satisfying career,"On a scale of 1 to 10, how clear is the career path within the company? (1 being very unclear, 10 being very clear)",0.05042956323302852
5,I feel that my current job is taking me on a path that will lead to a satisfying career,Do you understand the potential career progression opportunities available to you within the company?,0.041495712306977135
5,I feel that my current job is taking me on a path that will lead to a satisfying career,How often you have discussions with your manager or HR about your career development goals and aspirations?,0.029341899562429608
5,I feel that my current job is taking me on a path that will lead to a satisfying career,"How would you rate, from 1 to 5, the overall company availability to listen to your career aspirations?",0.041495712306977135
5,I feel that my current job is taking me on a path that will lead to a satisfying career,What improvements or changes would you suggest to enhance career path clarity within the company?,0.0508216608327111
5,I feel that my current job is taking me on a path that will lead to a satisfying career,Tell us if you agree with this statement: my company offers a clear structured framework to map career paths for all employees?,0.05011242380220098
5,I feel that my current job is taking me on a path that will lead to a satisfying career,"If you disagree, would you motivate why?",0
5,I feel that my current job is taking me on a path that will lead to a satisfying career,Any additional comments or suggestions regarding career path clarity?,0.041495712306977135
6,I feel that my current job is giving me the skills and experience I need to progress in my career,What department your role in the company falls in?,0.03970769694413621
6,I feel that my current job is giving me the skills and experience I need to progress in my career,How long have you been in your current role with the company?,0.04863179818710228
6,I feel that my current job is giving me the skills and experience I need to progress in my career,"On a scale of 1 to 10, how clear is the career path within the company? (1 being very unclear, 10 being very clear)",0.04597595934168846
6,I feel that my current job is giving me the skills and experience I need to progress in my career,Do you understand the potential career progression opportunities available to you within the company?,0.04863179818710228
6,I feel that my current job is giving me the skills and experience I need to progress in my career,How often you have discussions with your manager or HR about your career development goals and aspirations?,0.03970769694413621
6,I feel that my current job is giving me the skills and experience I need to progress in my career,"How would you rate, from 1 to 5, the overall company availability to listen to your career aspirations?",0.04863179818710228
6,I feel that my current job is giving me the skills and experience I need to progress in my career,What improvements or changes would you suggest to enhance career path clarity within the company?,0.04863179818710228
6,I feel that my current job is giving me the skills and experience I need to progress in my career,Tell us if you agree with this statement: my company offers a clear structured framework to map career paths for all employees?,0.044003870706063486
6,I feel that my current job is giving me the skills and experience I need to progress in my career,"If you disagree, would you motivate why?",0.0
6,I feel that my current job is giving me the skills and experience I need to progress in my career,Any additional comments or suggestions regarding career path clarity?,0.028077581774499063
7,I feel that my current job is taking me on a path that will lead to a satisfying career,What department your role in the company falls in?,0
7,I feel that my current job is taking me on a path that will lead to a satisfying career,How long have you been in your current role with the company?,0.029341899562429608
7,I feel that my current job is taking me on a path that will lead to a satisfying career,"On a scale of 1 to 10, how clear is the career path within the company? (1 being very unclear, 10 being very clear)",0.05042956323302852
7,I feel that my current job is taking me on a path that will lead to a satisfying career,Do you understand the potential career progression opportunities available to you within the company?,0.041495712306977135
7,I feel that my current job is taking me on a path that will lead to a satisfying career,How often you have discussions with your manager or HR about your career development goals and aspirations?,0.029341899562429608
7,I feel that my current job is taking me on a path that will lead to a satisfying career,"How would you rate, from 1 to 5, the overall company availability to listen to your career aspirations?",0.041495712306977135
