QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,Unterminated string starting at: line 9 column 20 (char 136),-1,-1,0,0,0,-1,0,0
1146004,True,False,Invalid control character at: line 10 column 27 (char 159),-1,-1,0,0,0,-1,0,0
1173001,True,False,Unterminated string starting at: line 8 column 24 (char 112),-1,-1,0,0,0,-1,0,0
1173002,True,False,Unterminated string starting at: line 5 column 11 (char 54),-1,-1,0,0,0,-1,0,0
1173003,True,False,Unterminated string starting at: line 8 column 20 (char 108),-1,-1,0,0,0,-1,0,0
1173004,True,False,Invalid control character at: line 9 column 46 (char 162),-1,-1,0,0,0,-1,0,0
1173005,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
1213249,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
1433792,True,False,Unterminated string starting at: line 20 column 3 (char 736),-1,-1,0,0,0,-1,0,0
5100002,True,False,Unterminated string starting at: line 10 column 15 (char 142),-1,-1,0,0,0,-1,0,0
5100003,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500000002,True,False,Unterminated string starting at: line 10 column 24 (char 156),-1,-1,0,0,0,-1,0,0
500000003,True,False,Unterminated string starting at: line 312 column 3 (char 7679),-1,-1,0,0,0,-1,0,0
500000005,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100002,True,False,Unterminated string starting at: line 8 column 20 (char 108),-1,-1,0,0,0,-1,0,0
500100003,True,False,Invalid control character at: line 26 column 18 (char 414),-1,-1,0,0,0,-1,0,0
500100004,True,False,Unterminated string starting at: line 8 column 20 (char 108),-1,-1,0,0,0,-1,0,0
500100005,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100006,True,False,Unterminated string starting at: line 8 column 24 (char 112),-1,-1,0,0,0,-1,0,0
500100007,True,False,Unterminated string starting at: line 11 column 20 (char 159),-1,-1,0,0,0,-1,0,0
500100008,True,False,Unterminated string starting at: line 5 column 11 (char 54),-1,-1,0,0,0,-1,0,0
500100009,True,False,Unterminated string starting at: line 9 column 27 (char 143),-1,-1,0,0,0,-1,0,0
500100010,True,False,Unterminated string starting at: line 5 column 11 (char 54),-1,-1,0,0,0,-1,0,0
500100011,True,False,Unterminated string starting at: line 5 column 11 (char 54),-1,-1,0,0,0,-1,0,0
