ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,"Yes, I have access to information about internal mobility opportunities within my organization.",Executive/Senior Management,0
0,0.0,"Yes, I have access to information about internal mobility opportunities within my organization.",Manager,0
0,0.0,"Yes, I have access to information about internal mobility opportunities within my organization.",Staff/Employee,0
0,0.0,"Yes, I have access to information about internal mobility opportunities within my organization.",Intern,0
0,0.0,"Yes, I have access to information about internal mobility opportunities within my organization.",Other (please specify): __________________,0
1,0.0,"No, I do not have access to information about internal mobility opportunities within my organization.",Executive/Senior Management,0
1,0.0,"No, I do not have access to information about internal mobility opportunities within my organization.",Manager,0
1,0.0,"No, I do not have access to information about internal mobility opportunities within my organization.",Staff/Employee,0
1,0.0,"No, I do not have access to information about internal mobility opportunities within my organization.",Intern,0
1,0.0,"No, I do not have access to information about internal mobility opportunities within my organization.",Other (please specify): __________________,0
2,0.0,I do not know.,Executive/Senior Management,0
2,0.0,I do not know.,Manager,0
2,0.0,I do not know.,Staff/Employee,0
2,0.0,I do not know.,Intern,0
2,0.0,I do not know.,Other (please specify): __________________,0
0,1.0,"Yes, I have applied for an internal mobility opportunity within my organization.",Less than 1 year,0
0,1.0,"Yes, I have applied for an internal mobility opportunity within my organization.",1-3 years,0
0,1.0,"Yes, I have applied for an internal mobility opportunity within my organization.",3-5 years,0
0,1.0,"Yes, I have applied for an internal mobility opportunity within my organization.",5-10 years,0
0,1.0,"Yes, I have applied for an internal mobility opportunity within my organization.",More than 10 years,0
1,1.0,"No, I have never applied for an internal mobility opportunity within my organization.",Less than 1 year,0
1,1.0,"No, I have never applied for an internal mobility opportunity within my organization.",1-3 years,0
1,1.0,"No, I have never applied for an internal mobility opportunity within my organization.",3-5 years,0
1,1.0,"No, I have never applied for an internal mobility opportunity within my organization.",5-10 years,0
1,1.0,"No, I have never applied for an internal mobility opportunity within my organization.",More than 10 years,0
2,1.0,I do not know.,Less than 1 year,0
2,1.0,I do not know.,1-3 years,0
2,1.0,I do not know.,3-5 years,0
2,1.0,I do not know.,5-10 years,0
2,1.0,I do not know.,More than 10 years,0
0,2.0,"Yes, I know the process for applying for internal mobility opportunities within my organization.",Yes,0
0,2.0,"Yes, I know the process for applying for internal mobility opportunities within my organization.",No,0
1,2.0,"No, I do not know the process for applying for internal mobility opportunities within my organization.",Yes,0
1,2.0,"No, I do not know the process for applying for internal mobility opportunities within my organization.",No,0
2,2.0,I do not know.,Yes,0
2,2.0,I do not know.,No,0
0,3.0,"Yes, internal mobility opportunities are beneficial for employees.",Very satisfied,0
0,3.0,"Yes, internal mobility opportunities are beneficial for employees.",Satisfied,0
0,3.0,"Yes, internal mobility opportunities are beneficial for employees.",Neutral,0
0,3.0,"Yes, internal mobility opportunities are beneficial for employees.",Dissatisfied,0
0,3.0,"Yes, internal mobility opportunities are beneficial for employees.",Very dissatisfied,0
0,3.0,"Yes, internal mobility opportunities are beneficial for employees.",N/A (have not applied),0
1,3.0,"No, internal mobility opportunities are not beneficial for employees.",Very satisfied,0
1,3.0,"No, internal mobility opportunities are not beneficial for employees.",Satisfied,0
1,3.0,"No, internal mobility opportunities are not beneficial for employees.",Neutral,0
1,3.0,"No, internal mobility opportunities are not beneficial for employees.",Dissatisfied,0
1,3.0,"No, internal mobility opportunities are not beneficial for employees.",Very dissatisfied,0
1,3.0,"No, internal mobility opportunities are not beneficial for employees.",N/A (have not applied),0.05524220127634179
2,3.0,It depends.,Very satisfied,0
2,3.0,It depends.,Satisfied,0
2,3.0,It depends.,Neutral,0
2,3.0,It depends.,Dissatisfied,0
2,3.0,It depends.,Very dissatisfied,0
2,3.0,It depends.,N/A (have not applied),0
0,4.0,"Yes, internal mobility opportunities are beneficial for the organization.","Yes, completely",0.05524220127634179
0,4.0,"Yes, internal mobility opportunities are beneficial for the organization.","Yes, to some extent",0.05524220127634179
0,4.0,"Yes, internal mobility opportunities are beneficial for the organization.","No, not really",0.0
0,4.0,"Yes, internal mobility opportunities are beneficial for the organization.","No, not at all",0.0
1,4.0,"No, internal mobility opportunities are not beneficial for the organization.","Yes, completely",0
1,4.0,"No, internal mobility opportunities are not beneficial for the organization.","Yes, to some extent",0
1,4.0,"No, internal mobility opportunities are not beneficial for the organization.","No, not really",0.0715322008763116
1,4.0,"No, internal mobility opportunities are not beneficial for the organization.","No, not at all",0.0715322008763116
2,4.0,It depends.,"Yes, completely",0
2,4.0,It depends.,"Yes, to some extent",0
2,4.0,It depends.,"No, not really",0
2,4.0,It depends.,"No, not at all",0
