QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146002,0,Do you feel that you have enough time to do your work?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.0636130600231894,0.04410650127279655,0.0001904983991337765
1146002,1,How often do you feel stressed at work?,I often work overtime and I don't have time for myself,0.0418811804110698,0.021893465426340814,0.0004397399496294369
1146002,2,How would you rate the level of support you receive from your supervisor?,I don't feel 100% comfortable working with some of my colleagues.,0.0405487152208931,0.019248977897574314,0.0003353058366844023
1146002,3,How often do you feel like you have to hide your true feelings at work?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.0621984175396105,0.04646108871746944,9.451465043254243e-05
1146002,4,How often do you feel overwhelmed with work?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.1093316122469756,0.0402038373648008,0.0012705874673796169
1146002,5,How often do you feel that you have to make a sacrifice to meet work demands?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.0588705011257737,0.04482622053033373,0.00013611894695984952
1146002,6,Do you feel that you have a 'good' job?,I often work overtime and I don't have time for myself,0.0442344967814255,0.01716634221631683,0.00047586613004278045
1173003,0,"On a scale of 1-10, how would you rate your onboarding experience?",Were you introduced to colleagues from your team or other departments?,0.061359677928069,0.04953345894088048,9.014981094875779e-05
1173003,1,Did you feel welcome and well-informed during the onboarding process?,Did you receive all your equipments on time?,0.1490711984999859,0.07922475411581287,0.0029449293905378137
1173003,2,Were you able to establish a good working relationship with your team and manager?,Were you introduced to colleagues from your team or other departments?,0.2344036154692477,0.08271373609295572,0.00560198692696994
1173003,3,Do you think the onboarding process was effective in making you feel comfortable and able to perform your job effectively?,Is your workplace/office is comfortable and adeguate to your needs and assigned tasks.,0.1025978352085154,0.051225734540915197,0.000690743419055257
1173003,4,Do you feel like you have the resources and support you need to perform your job effectively?,Were you introduced to colleagues from your team or other departments?,0.0559005157300496,0.048543480821016005,8.87797120287374e-05
1173003,5,Is there anything you would like to see changed about the onboarding process to make it better?,Would you like to add any additional comment for us to improve our onboarding program?,0.1355815361366601,0.05617627194047873,0.001556138438017498
1173005,0,"On a scale of 1 to 10, how likely are you to recommend this company to a friend or colleague?",Did you get support from your teammates?,0.028077581774499,0.02105818633087425,0.00019708764957591962
1173005,1,What is your overall satisfaction with the company as a place to work?,What are the expectations for the next months?,0.0573445430021913,0.04788519708413433,7.476965603637577e-05
1173005,2,Do you feel valued and supported by the company?,Did you get support from your teammates?,0.0552422012763417,0.03882711746429327,0.0006941394703616693
1173005,3,How would you rate the communication and collaboration between teams and departments?,What worked the most for you (put at the top what worked the best),0.0519398460112844,0.034678883680001146,0.0005507525953160304
5100003,0,The course content was engaging and useful,Teachers were engaging and prepared,0.2182178902359924,0.04760320676710391,0.005566541962159207
5100003,1,The course materials were well-organized,Teachers were engaging and prepared,0.089706128899705,0.027005007294801563,0.0009057946860569932
5100003,2,The course instructor was knowledgeable,The duration of the course was appropriate given the target goals...,0.0467982232615309,0.011683592800878363,0.00046802290455032967
5100003,3,The course materials were easy to understand,Teachers were engaging and prepared,0.0680670214017967,0.0332674024128097,0.0006068985577038853
5100003,4,The course provided an opportunity to ask questions,The duration of the course was appropriate given the target goals...,0.0592289333455293,0.016511093515651963,0.0006035189937833569
5100003,5,The course provided an opportunity to network,The duration of the course was appropriate given the target goals...,0.0543605032781375,0.015051129876451762,0.0005114481416203559
5100003,6,The course was accessible,The duration of the course was appropriate given the target goals...,0.0868869717252225,0.015100427632694976,0.0009822125819488408
5100003,7,The course was enjoyable,The duration of the course was appropriate given the target goals...,0.0868869717252225,0.015100427632694976,0.0009822125819488408
500000005,0,"On a scale of 1 to 10, how would you rate the course overall?",How do you rate this course?,0.1048284836721918,0.03935199916326214,0.0018990515744124663
500000005,1,Did you enjoy taking this course?,How do you rate this course?,0.316227766016838,0.09178557077437254,0.01703227060531751
500000005,2,How would you describe the course materials?,How do you split the welfare amount?,0.11789553938779,0.056444773121269456,0.0029671635878794934
500000005,3,How well did the course meet your expectations?,How do you split the welfare amount?,0.0861775895147389,0.04161022107582082,0.0015490253448120646
500000005,4,Is there anything you would like to share about the course?,How do you rate this course?,0.0660288541995552,0.035749431791518745,0.0011273536500457598
500100006,0,Do you offer health insurance benefits to your employees?,Do you feel that the benefits provided adequately meet your needs?,0.1887356158507265,0.06868091757081982,0.002474516020189722
500100006,1,Do you offer retirement benefits to your employees?,Do you feel that the benefits provided adequately meet your needs?,0.1836857862027696,0.06432321868017382,0.0024033243327830946
500100006,2,Do you offer any wellness programs to your employees?,Do you feel that the benefits provided adequately meet your needs?,0.1634498379256302,0.05734930363777013,0.0023554487704015937
500100006,3,Do you offer any education or training benefits to your employees?,Do you feel that the benefits provided adequately meet your needs?,0.1906925178491184,0.0774179325258357,0.002553396610522825
500100006,4,Do you offer paid time off benefits to your employees?,Do you feel that the benefits provided adequately meet your needs?,0.19075647687597,0.07091932550024133,0.0024698162275630054
500100006,5,"Do you offer any flexible work benefits to your employees, such as remote work or flexible schedule?",Are there any existing benefits that you perceive not aligned or well dimensioned with respect to your seniority?,0.1400375290089895,0.06373565297317528,0.001547660865030231
500100006,6,"Do you offer any other benefits to your employees, such as counseling, mental health benefits, or other types of support?",Are there any existing benefits that you perceive not aligned or well dimensioned with respect to your seniority?,0.1256561724875086,0.05897405684716195,0.0010712772432264735
500100006,7,"Do you offer any benefits to help with childcare, such as on-site childcare, subsidies, or flexible work hours?",Do you feel that the benefits provided adequately meet your needs?,0.0990147542976674,0.051892918799288354,0.0005154404805956753
500100006,8,"Do you offer any other benefits not mentioned, such as pet benefits, transportation benefits, or other types of support?",Do you feel that the benefits provided adequately meet your needs?,0.0936585811581693,0.04832438686681821,0.0004533774820339786
500100007,0,Do you feel that you have the necessary resources and support to develop in your current job?,Do you feel that the training and development opportunities provided align with your career goals?,0.2778594651131056,0.10265604242781297,0.005796387493484948
500100007,1,How often do you get the opportunity to discuss your career development with your manager?,Do you feel that the training and development opportunities provided align with your career goals?,0.2390457218668787,0.10982682113428484,0.004420248558640014
500100007,2,Do you feel that you have a clear career path in your current organization?,Do you feel that the training and development opportunities provided align with your career goals?,0.2928056981999661,0.1088458624527013,0.007243025509153973
500100007,3,Do you feel that you have the right opportunities for career progression in your current organization?,Do you feel that opportunities for career growth and advancement within the company are effectively communicated?,0.408248290463863,0.12642473400274803,0.012830212548726518
500100007,4,Do you feel that you have the right opportunities for career progression in your current organization?,Do you feel that opportunities for career growth and advancement within the company are effectively communicated?,0.408248290463863,0.12642473400274803,0.012830212548726518
500100007,5,Do you feel that you have the right opportunities for career progression in your current organization?,Do you feel that opportunities for career growth and advancement within the company are effectively communicated?,0.408248290463863,0.12642473400274803,0.012830212548726518
500100007,6,Do you feel that you have the right opportunities for career progression in your current organization?,Do you feel that opportunities for career growth and advancement within the company are effectively communicated?,0.408248290463863,0.12642473400274803,0.012830212548726518
500100007,7,Do you feel that you have the right opportunities for career progression in your current organization?,Do you feel that opportunities for career growth and advancement within the company are effectively communicated?,0.408248290463863,0.12642473400274803,0.012830212548726518
500100011,0,Do you feel like you have a clear understanding of the different career paths available in your current job?,Do you feel that there is a defined career path for your role within the company?,0.2023256595556279,0.0739234872571822,0.0027538472360856344
500100011,1,Do you feel like you have a clear understanding of the skills and qualifications needed to progress in your current job?,Do you feel that there is a defined career path for your role within the company?,0.1690308509457033,0.06222753628130298,0.0021826181500141217
500100011,2,Do you feel like you have a clear understanding of the opportunities for advancement in your current job?,Do you feel that there is a defined career path for your role within the company?,0.2138963159732493,0.07076925212002463,0.0036204090980872937
