ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Strongly agree,Less than 1 year,0
0,0.0,Strongly agree,1-3 years,0
0,0.0,Strongly agree,3-5 years,0
0,0.0,Strongly agree,5-10 years,0
0,0.0,Strongly agree,More than 10 years,0
1,0.0,Agree,Less than 1 year,0
1,0.0,Agree,1-3 years,0
1,0.0,Agree,3-5 years,0
1,0.0,Agree,5-10 years,0
1,0.0,Agree,More than 10 years,0
2,0.0,Neutral,Less than 1 year,0
2,0.0,Neutral,1-3 years,0
2,0.0,Neutral,3-5 years,0
2,0.0,Neutral,5-10 years,0
2,0.0,Neutral,More than 10 years,0
3,0.0,Disagree,Less than 1 year,0
3,0.0,Disagree,1-3 years,0
3,0.0,Disagree,3-5 years,0
3,0.0,Disagree,5-10 years,0
3,0.0,Disagree,More than 10 years,0
4,0.0,Strongly disagree,Less than 1 year,0
4,0.0,Strongly disagree,1-3 years,0
4,0.0,Strongly disagree,3-5 years,0
4,0.0,Strongly disagree,5-10 years,0
4,0.0,Strongly disagree,More than 10 years,0
0,1.0,Strongly agree,Very motivated,0
0,1.0,Strongly agree,Motivated,0
0,1.0,Strongly agree,Neutral,0
0,1.0,Strongly agree,Demotivated,0
0,1.0,Strongly agree,Very demotivated,0
1,1.0,Agree,Very motivated,0
1,1.0,Agree,Motivated,0
1,1.0,Agree,Neutral,0
1,1.0,Agree,Demotivated,0
1,1.0,Agree,Very demotivated,0
2,1.0,Neutral,Very motivated,0
2,1.0,Neutral,Motivated,0
2,1.0,Neutral,Neutral,1.0
2,1.0,Neutral,Demotivated,0
2,1.0,Neutral,Very demotivated,0
3,1.0,Disagree,Very motivated,0
3,1.0,Disagree,Motivated,0
3,1.0,Disagree,Neutral,0
3,1.0,Disagree,Demotivated,0
3,1.0,Disagree,Very demotivated,0
4,1.0,Strongly disagree,Very motivated,0
4,1.0,Strongly disagree,Motivated,0
4,1.0,Strongly disagree,Neutral,0
4,1.0,Strongly disagree,Demotivated,0
4,1.0,Strongly disagree,Very demotivated,0
0,2.0,Strongly agree,Recognition for achievements,0
0,2.0,Strongly agree,Opportunities for career advancement,0
0,2.0,Strongly agree,Challenging and interesting work,0
0,2.0,Strongly agree,Supportive work environment,0
0,2.0,Strongly agree,Competitive salary and benefits,0
0,2.0,Strongly agree,Opportunities for learning and development,0
0,2.0,Strongly agree,Autonomy and independence,0
0,2.0,Strongly agree,Other (please specify): __________________,0
1,2.0,Agree,Recognition for achievements,0
1,2.0,Agree,Opportunities for career advancement,0
1,2.0,Agree,Challenging and interesting work,0
1,2.0,Agree,Supportive work environment,0
1,2.0,Agree,Competitive salary and benefits,0
1,2.0,Agree,Opportunities for learning and development,0
1,2.0,Agree,Autonomy and independence,0
1,2.0,Agree,Other (please specify): __________________,0
2,2.0,Neutral,Recognition for achievements,0
2,2.0,Neutral,Opportunities for career advancement,0
2,2.0,Neutral,Challenging and interesting work,0
2,2.0,Neutral,Supportive work environment,0
2,2.0,Neutral,Competitive salary and benefits,0
2,2.0,Neutral,Opportunities for learning and development,0
2,2.0,Neutral,Autonomy and independence,0
2,2.0,Neutral,Other (please specify): __________________,0
3,2.0,Disagree,Recognition for achievements,0
3,2.0,Disagree,Opportunities for career advancement,0
3,2.0,Disagree,Challenging and interesting work,0
3,2.0,Disagree,Supportive work environment,0
3,2.0,Disagree,Competitive salary and benefits,0
3,2.0,Disagree,Opportunities for learning and development,0
3,2.0,Disagree,Autonomy and independence,0
3,2.0,Disagree,Other (please specify): __________________,0
4,2.0,Strongly disagree,Recognition for achievements,0
4,2.0,Strongly disagree,Opportunities for career advancement,0
4,2.0,Strongly disagree,Challenging and interesting work,0
4,2.0,Strongly disagree,Supportive work environment,0
4,2.0,Strongly disagree,Competitive salary and benefits,0
4,2.0,Strongly disagree,Opportunities for learning and development,0
4,2.0,Strongly disagree,Autonomy and independence,0
4,2.0,Strongly disagree,Other (please specify): __________________,0
0,3.0,Strongly agree,Yes,0
0,3.0,Strongly agree,No,0
0,3.0,Strongly agree,Sometimes,0
1,3.0,Agree,Yes,0
1,3.0,Agree,No,0
1,3.0,Agree,Sometimes,0
2,3.0,Neutral,Yes,0
2,3.0,Neutral,No,0
2,3.0,Neutral,Sometimes,0
3,3.0,Disagree,Yes,0
3,3.0,Disagree,No,0
3,3.0,Disagree,Sometimes,0
4,3.0,Strongly disagree,Yes,0
4,3.0,Strongly disagree,No,0
4,3.0,Strongly disagree,Sometimes,0
