QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146002,0,Do you feel that your work is valued and appreciated?,I often work overtime and I don't have time for myself,0.0647250119473513,0.033790389670974814,0.0003972808373737562
1146002,1,Do you feel like you have enough time to complete your tasks?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.1473535544782939,0.059601592531379054,0.0015575529987264037
1146002,2,Do you feel that your work environment is safe and secure?,I often work overtime and I don't have time for myself,0.0660288541995552,0.03526708657515819,0.00041063494459231794
1146002,3,Do you feel that your work is meaningful and makes a difference?,I often work overtime and I don't have time for myself,0.061359677928069,0.035018921269483784,0.00035496320713851096
1146002,4,Do you feel that you have the resources and support you need to do your job effectively?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.0456425799656821,0.039913264753782485,5.106119324025118e-05
1146002,5,Do you feel that your workload is manageable and not overwhelming?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.0502677922352729,0.04128667041361792,5.287624334751765e-05
1146002,6,Do you feel that your work allows you to maintain a healthy work-life balance?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.053852233004558,0.039788275511186355,6.366896908037099e-05
1146004,0,"On a scale of 1 to 10, how would you rate the overall cleanliness of your workplace?",Working Environment,0.0,0.0,0.0
1146004,1,Do you feel that your workplace encourages creativity and innovation?,Working Environment,0.0,0.0,0.0
1146004,2,How often do you feel the need to clean your workspace?,Working Environment,0.0,0.0,0.0
1146004,3,How noisy is your workplace?,Working Environment,0.0,0.0,0.0
1146004,4,Do you feel that your workplace is conducive to good health and well-being?,Working Environment,0.0,0.0,0.0
1146004,5,How would you rate the temperature of your workplace?,Working Environment,0.0,0.0,0.0
1146004,6,Do you feel that your workplace is well-lit?,Working Environment,0.0,0.0,0.0
1173003,0,Have you ever experienced onboarding in a company?,Did you receive all your equipments on time?,0.0609367579321826,0.04224256007004548,0.0005312928891834799
1173003,1,What do you think about the importance of onboarding in a company?,Would you like to add any additional comment for us to improve our onboarding program?,0.0477869652193893,0.03688972377280495,0.00032970077510974586
1173003,2,What do you like the most about the onboarding process?,Would you like to add any additional comment for us to improve our onboarding program?,0.110736841381033,0.051374508196649994,0.001239310942693596
1173003,3,What do you like the least about the onboarding process?,Would you like to add any additional comment for us to improve our onboarding program?,0.110736841381033,0.051374508196649994,0.001239310942693596
1173003,4,How would you rate the onboarding process in terms of organization?,Were you introduced to colleagues from your team or other departments?,0.0466894505584833,0.03877622655498147,0.000360962808071523
1173003,5,How would you rate the onboarding process in terms of effectiveness?,Were you introduced to colleagues from your team or other departments?,0.0466894505584833,0.03877622655498147,0.000360962808071523
1173004,0,"On a scale of 1 to 10, how would you rate your manager's ability to communicate effectively?",What are the areas I would like you to be focused in the next months,0.0559005157300496,0.03726701048669973,0.001041622552961841
1173004,1,Does your manager provide clear and actionable feedback?,Soft Skill first impression,0.0,0.0,0.0
1173004,2,How often does your manager provide feedback?,Soft Skill first impression,0.0,0.0,0.0
1213249,0,"On a scale of 1 to 10, how would you rate the effectiveness of the training in achieving its objectives?",How would you judge the effectiveness of the Training on the employee?,0.2513123449750172,0.1256561724875086,0.031578947368421026
1213249,1,"Compared to the previous training, how much more effective is this training in terms of content and delivery?",How would you judge the effectiveness of the Training on the employee?,0.043464144624115,0.0217320723120575,0.0009445659339529924
500000005,0,"On a scale of 1 to 5, how would you rate the course overall?",How do you rate this course?,0.1048284836721918,0.03935199916326214,0.0018990515744124663
500000005,1,Did you enjoy the course?,How do you rate this course?,0.1038671505122928,0.05572250195419828,0.0026355647743963994
500000005,2,How would you rate the course materials?,How do you rate this course?,0.2672612419124243,0.0906447605404022,0.012219671492871922
500000005,3,How would you rate the course instructor?,How do you rate this course?,0.2672612419124243,0.0906447605404022,0.012219671492871922
500000005,4,Would you recommend this course to a friend?,How do you rate this course?,0.0861775895147389,0.04161022107582082,0.0015490253448120648
500100002,0,Do you feel that you have access to the technology and tools you need to perform your job effectively?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.5619514869490163,0.1854043759325402,0.026496423019480787
500100002,1,How often do you have to use outdated technology or tools to complete a task?,Do you have access to the necessary software and applications needed to perform your job effectively?,0.1291122301789045,0.060177960529240654,0.0012307019084710758
500100002,2,Do you feel that the technology and tools you use are user-friendly and easy to use?,How would you rate the reliability and performance of the technology and tools provided by the company?,0.2572688626589791,0.12616390178188533,0.006941364791386255
500100002,3,Do you feel that you have received adequate training on the technology and tools you are required to use?,How would you rate the reliability and performance of the technology and tools provided by the company?,0.2094269541458477,0.11794189306105826,0.005091884658157898
500100002,4,"Do you feel that the technology and tools you use are accessible to all employees, regardless of ability?",How would you rate the reliability and performance of the technology and tools provided by the company?,0.2425356250363329,0.11780005555180871,0.005702622120322801
500100002,5,Do you feel that the technology and tools you use are of sufficient quality?,How would you rate the reliability and performance of the technology and tools provided by the company?,0.2538267886904721,0.12434919147453842,0.007232026614245715
500100002,6,Do you feel that you have enough control over the technology and tools you use?,How would you rate the reliability and performance of the technology and tools provided by the company?,0.2338999081360365,0.1277264915420004,0.0072031606931137965
500100002,7,Do you feel that the technology and tools you use are secure and protect your personal information?,How would you rate the reliability and performance of the technology and tools provided by the company?,0.2572478777137633,0.11855238500682648,0.006167494655168102
500100002,8,Do you feel that the technology and tools you use are sustainable and environmentally friendly?,How would you rate the reliability and performance of the technology and tools provided by the company?,0.2562245117689867,0.12151444861607606,0.007211011769764074
500100003,0,Do you feel that you have access to the technology and tools you need to perform your job effectively?,"Do you have access to the necessary hardware (e.g., computers, mobile devices) to perform your job effectively?",0.5380275868489703,0.17700515232016364,0.03261786487650114
500100003,1,How often do you have to use outdated technology or tools to complete a task?,Are there any specific technology or tools you feel are lacking or could be improved?,0.1951800145897066,0.07710318054435715,0.003303756097874722
500100003,2,Do you feel that the technology and tools provided to you are of good quality?,Is there any improvement you would suggest to enhance access to technology and tools within the company?,0.2092064378092535,0.09745248861214079,0.005328391743058949
500100003,3,Do you feel that you have received adequate training on how to use the technology and tools provided to you?,"On a scale of 1 to 10, how satisfied are you with the technology and tools provided to you for your work? (1 being very dissatisfied, 10 being very satisfied)",0.2200117942925364,0.10115527327037306,0.005850514273629955
500100003,4,Do you feel that the technology and tools provided to you meet your accessibility needs?,Is there any improvement you would suggest to enhance access to technology and tools within the company?,0.2092064378092535,0.09982237925767852,0.004615572112415974
500100003,5,Do you feel that the technology and tools provided to you meet your needs in terms of speed and performance?,"On a scale of 1 to 10, how satisfied are you with the technology and tools provided to you for your work? (1 being very dissatisfied, 10 being very satisfied)",0.2410108453024171,0.09157041160047683,0.005205880740340489
500100003,6,"Do you feel that you have enough freedom to choose the technology and tools you use, or do you feel forced to use a specific tool?","On a scale of 1 to 10, how satisfied are you with the technology and tools provided to you for your work? (1 being very dissatisfied, 10 being very satisfied)",0.1747473779971687,0.08724844766966992,0.003358904618393865
500100003,7,Do you feel that the technology and tools provided to you meet your needs in terms of compatibility with other tools and systems?,"On a scale of 1 to 10, how satisfied are you with the technology and tools provided to you for your work? (1 being very dissatisfied, 10 being very satisfied)",0.266391355619674,0.08628032437126269,0.0057786509114573685
500100003,8,Do you feel that you have access to the technology and tools you need to stay up-to-date with industry trends and advancements?,"Do you have access to the necessary hardware (e.g., computers, mobile devices) to perform your job effectively?",0.2752409412815901,0.12330311236087914,0.010259933845968384
500100003,9,Do you feel that the technology and tools provided to you are of sufficient quality and functionality to meet your personal needs?,"On a scale of 1 to 10, how satisfied are you with the technology and tools provided to you for your work? (1 being very dissatisfied, 10 being very satisfied)",0.2744226755586207,0.09201740337924662,0.0065856135463619155
