QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,Invalid \escape: line 1 column 130 (char 129),-1,-1,0,0,0,-1,0,0
1146004,True,False,Invalid \escape: line 1 column 144 (char 143),-1,-1,0,0,0,-1,0,0
1173001,True,False,Expecting ':' delimiter: line 1 column 214 (char 213),-1,-1,0,0,0,-1,0,0
1173002,True,False,Invalid \escape: line 4 column 13 (char 47),-1,-1,0,0,0,-1,0,0
1173003,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
1173004,True,False,Invalid \escape: line 1 column 136 (char 135),-1,-1,0,0,0,-1,0,0
1173005,True,False,Expecting property name enclosed in double quotes: line 1 column 173 (char 172),-1,-1,0,0,0,-1,0,0
1213249,True,False,Expecting ':' delimiter: line 1 column 118 (char 117),-1,-1,0,0,0,-1,0,0
1433792,True,False,Expecting ':' delimiter: line 1 column 77 (char 76),-1,-1,0,0,0,-1,0,0
5100002,True,False,Invalid \escape: line 1 column 225 (char 224),-1,-1,0,0,0,-1,0,0
5100003,True,False,Expecting ':' delimiter: line 1 column 163 (char 162),-1,-1,0,0,0,-1,0,0
500000002,True,False,Expecting property name enclosed in double quotes: line 1 column 80 (char 79),-1,-1,0,0,0,-1,0,0
500000003,True,False,Expecting property name enclosed in double quotes: line 1 column 80 (char 79),-1,-1,0,0,0,-1,0,0
500000005,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100002,True,False,Expecting ':' delimiter: line 1 column 94 (char 93),-1,-1,0,0,0,-1,0,0
500100003,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100004,True,False,Expecting ':' delimiter: line 1 column 105 (char 104),-1,-1,0,0,0,-1,0,0
500100005,True,False,Expecting ':' delimiter: line 1 column 105 (char 104),-1,-1,0,0,0,-1,0,0
500100006,True,False,Invalid \escape: line 1 column 128 (char 127),-1,-1,0,0,0,-1,0,0
500100007,True,False,Expecting property name enclosed in double quotes: line 1 column 102 (char 101),-1,-1,0,0,0,-1,0,0
500100008,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100009,True,False,Invalid \escape: line 1 column 250 (char 249),-1,-1,0,0,0,-1,0,0
500100010,True,False,Expecting property name enclosed in double quotes: line 1 column 89 (char 88),-1,-1,0,0,0,-1,0,0
500100011,True,False,Invalid control character at: line 1 column 192 (char 191),-1,-1,0,0,0,-1,0,0
500100012,True,False,Expecting property name enclosed in double quotes: line 1 column 145 (char 144),-1,-1,0,0,0,-1,0,0
500100013,True,False,Expecting property name enclosed in double quotes: line 1 column 60 (char 59),-1,-1,0,0,0,-1,0,0
500100014,True,False,Expecting property name enclosed in double quotes: line 1 column 101 (char 100),-1,-1,0,0,0,-1,0,0
500100015,True,False,Expecting property name enclosed in double quotes: line 1 column 86 (char 85),-1,-1,0,0,0,-1,0,0
500100016,True,False,Expecting property name enclosed in double quotes: line 1 column 149 (char 148),-1,-1,0,0,0,-1,0,0
500100017,True,False,Expecting ':' delimiter: line 1 column 97 (char 96),-1,-1,0,0,0,-1,0,0
500100018,True,False,Expecting ':' delimiter: line 1 column 94 (char 93),-1,-1,0,0,0,-1,0,0
500100019,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100020,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100021,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100022,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100023,True,False,Invalid \escape: line 1 column 53 (char 52),-1,-1,0,0,0,-1,0,0
500100024,True,False,Invalid \escape: line 1 column 53 (char 52),-1,-1,0,0,0,-1,0,0
500100025,True,False,Invalid \escape: line 1 column 53 (char 52),-1,-1,0,0,0,-1,0,0
500100026,True,False,Invalid \escape: line 4 column 18 (char 52),-1,-1,0,0,0,-1,0,0
500100027,True,False,Expecting ':' delimiter: line 1 column 172 (char 171),-1,-1,0,0,0,-1,0,0
500100028,True,False,Invalid control character at: line 1 column 196 (char 195),-1,-1,0,0,0,-1,0,0
500100029,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100030,True,False,Expecting property name enclosed in double quotes: line 1 column 109 (char 108),-1,-1,0,0,0,-1,0,0
500100031,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100032,True,False,Expecting property name enclosed in double quotes: line 1 column 60 (char 59),-1,-1,0,0,0,-1,0,0
500100033,True,False,Invalid \escape: line 1 column 121 (char 120),-1,-1,0,0,0,-1,0,0
500100034,True,False,Expecting value: line 2 column 1 (char 205),-1,-1,0,0,0,-1,0,0
500100035,True,False,Expecting ':' delimiter: line 2 column 38 (char 242),-1,-1,0,0,0,-1,0,0
500100036,True,False,Invalid control character at: line 1 column 196 (char 195),-1,-1,0,0,0,-1,0,0
500100037,True,False,Expecting property name enclosed in double quotes: line 1 column 114 (char 113),-1,-1,0,0,0,-1,0,0
500100038,True,False,Expecting property name enclosed in double quotes: line 1 column 139 (char 138),-1,-1,0,0,0,-1,0,0
500100039,True,False,Invalid \escape: line 1 column 118 (char 117),-1,-1,0,0,0,-1,0,0
500100040,True,False,Expecting property name enclosed in double quotes: line 1 column 76 (char 75),-1,-1,0,0,0,-1,0,0
500100041,True,False,Invalid \escape: line 1 column 130 (char 129),-1,-1,0,0,0,-1,0,0
500100042,True,False,Invalid \escape: line 1 column 130 (char 129),-1,-1,0,0,0,-1,0,0
500100043,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100044,True,False,Invalid \escape: line 1 column 132 (char 131),-1,-1,0,0,0,-1,0,0
500100045,True,False,Invalid \escape: line 1 column 120 (char 119),-1,-1,0,0,0,-1,0,0
500100046,True,False,Expecting property name enclosed in double quotes: line 1 column 96 (char 95),-1,-1,0,0,0,-1,0,0
500100047,True,False,Expecting property name enclosed in double quotes: line 1 column 60 (char 59),-1,-1,0,0,0,-1,0,0
500100048,True,False,Expecting property name enclosed in double quotes: line 1 column 60 (char 59),-1,-1,0,0,0,-1,0,0
500100049,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100050,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100051,True,False,Expecting ':' delimiter: line 1 column 197 (char 196),-1,-1,0,0,0,-1,0,0
500100052,True,False,Expecting ':' delimiter: line 1 column 87 (char 86),-1,-1,0,0,0,-1,0,0
500100053,True,False,Expecting property name enclosed in double quotes: line 4 column 17 (char 51),-1,-1,0,0,0,-1,0,0
500100054,True,False,Expecting ':' delimiter: line 1 column 174 (char 173),-1,-1,0,0,0,-1,0,0
500100055,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100056,True,False,Expecting ':' delimiter: line 1 column 141 (char 140),-1,-1,0,0,0,-1,0,0
500100057,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100058,True,False,Invalid \escape: line 1 column 122 (char 121),-1,-1,0,0,0,-1,0,0
500100059,True,False,Invalid \escape: line 1 column 137 (char 136),-1,-1,0,0,0,-1,0,0
500100060,True,False,Invalid \escape: line 1 column 137 (char 136),-1,-1,0,0,0,-1,0,0
500100061,True,False,Invalid \escape: line 1 column 137 (char 136),-1,-1,0,0,0,-1,0,0
500100062,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100063,True,False,Invalid \escape: line 1 column 144 (char 143),-1,-1,0,0,0,-1,0,0
500100064,True,False,Invalid \escape: line 1 column 144 (char 143),-1,-1,0,0,0,-1,0,0
500100065,True,False,Invalid \escape: line 1 column 144 (char 143),-1,-1,0,0,0,-1,0,0
500100066,True,False,Invalid \escape: line 1 column 144 (char 143),-1,-1,0,0,0,-1,0,0
