QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,Invalid \escape: line 6 column 6 (char 104),-1,-1,0,0,0,-1,0,0
1146004,True,False,Expecting property name enclosed in double quotes: line 13 column 68 (char 550),-1,-1,0,0,0,-1,0,0
1173001,True,False,Invalid \escape: line 7 column 6 (char 113),-1,-1,0,0,0,-1,0,0
1173002,True,False,Invalid \escape: line 4 column 12 (char 48),-1,-1,0,0,0,-1,0,0
1173003,True,False,Expecting property name enclosed in double quotes: line 17 column 6 (char 360),-1,-1,0,0,0,-1,0,0
1173004,True,False,Invalid \escape: line 6 column 7 (char 113),-1,-1,0,0,0,-1,0,0
1173005,True,False,Invalid \escape: line 6 column 6 (char 125),-1,-1,0,0,0,-1,0,0
1213249,True,False,Invalid \escape: line 4 column 18 (char 55),-1,-1,0,0,0,-1,0,0
1433792,True,False,Unterminated string starting at: line 273 column 17 (char 13490),-1,-1,0,0,0,-1,0,0
5100002,True,False,Invalid control character at: line 13 column 86 (char 428),-1,-1,0,0,0,-1,0,0
5100003,True,False,Expecting property name enclosed in double quotes: line 14 column 84 (char 552),-1,-1,0,0,0,-1,0,0
500000002,True,False,Expecting property name enclosed in double quotes: line 10 column 9 (char 367),-1,-1,0,0,0,-1,0,0
500000003,True,False,Expecting property name enclosed in double quotes: line 6 column 2 (char 182),-1,-1,0,0,0,-1,0,0
500000005,True,False,Invalid \escape: line 5 column 15 (char 52),-1,-1,0,0,0,-1,0,0
500100002,True,False,Expecting property name enclosed in double quotes: line 9 column 8 (char 229),-1,-1,0,0,0,-1,0,0
500100003,True,False,Expecting property name enclosed in double quotes: line 14 column 9 (char 602),-1,-1,0,0,0,-1,0,0
500100004,True,False,"Expecting ',' delimiter: line 12 column 33 (char 566)",-1,-1,0,0,0,-1,0,0
500100005,True,False,Unterminated string starting at: line 279 column 15 (char 15547),-1,-1,0,0,0,-1,0,0
500100006,True,False,Expecting property name enclosed in double quotes: line 14 column 9 (char 450),-1,-1,0,0,0,-1,0,0
500100007,True,False,Expecting property name enclosed in double quotes: line 8 column 177 (char 374),-1,-1,0,0,0,-1,0,0
500100008,True,False,Expecting property name enclosed in double quotes: line 12 column 5 (char 827),-1,-1,0,0,0,-1,0,0
500100009,True,False,Expecting property name enclosed in double quotes: line 9 column 9 (char 194),-1,-1,0,0,0,-1,0,0
500100010,True,False,Invalid \escape: line 6 column 6 (char 101),-1,-1,0,0,0,-1,0,0
500100011,True,False,Invalid \escape: line 3 column 4 (char 17),-1,-1,0,0,0,-1,0,0
500100012,True,False,Invalid \escape: line 4 column 24 (char 66),-1,-1,0,0,0,-1,0,0
500100013,True,False,Expecting property name enclosed in double quotes: line 14 column 12 (char 455),-1,-1,0,0,0,-1,0,0
500100014,True,False,Expecting property name enclosed in double quotes: line 6 column 9 (char 148),-1,-1,0,0,0,-1,0,0
500100015,True,False,Invalid \escape: line 6 column 6 (char 162),-1,-1,0,0,0,-1,0,0
500100016,True,False,Invalid \escape: line 9 column 231 (char 427),-1,-1,0,0,0,-1,0,0
500100017,True,False,Invalid \escape: line 6 column 6 (char 179),-1,-1,0,0,0,-1,0,0
500100018,True,False,Expecting property name enclosed in double quotes: line 16 column 97 (char 901),-1,-1,0,0,0,-1,0,0
500100019,True,False,Invalid \escape: line 7 column 6 (char 107),-1,-1,0,0,0,-1,0,0
500100020,True,False,Invalid \escape: line 6 column 7 (char 111),-1,-1,0,0,0,-1,0,0
500100021,True,False,Invalid \escape: line 6 column 6 (char 108),-1,-1,0,0,0,-1,0,0
500100022,True,False,Invalid \escape: line 6 column 7 (char 110),-1,-1,0,0,0,-1,0,0
500100023,True,False,Invalid \escape: line 4 column 18 (char 54),-1,-1,0,0,0,-1,0,0
500100024,True,False,Invalid \escape: line 4 column 17 (char 54),-1,-1,0,0,0,-1,0,0
500100025,True,False,Invalid \escape: line 4 column 18 (char 54),-1,-1,0,0,0,-1,0,0
500100026,True,False,Invalid \escape: line 5 column 17 (char 54),-1,-1,0,0,0,-1,0,0
500100027,True,False,Invalid \escape: line 3 column 4 (char 17),-1,-1,0,0,0,-1,0,0
500100028,True,False,Invalid \escape: line 6 column 7 (char 128),-1,-1,0,0,0,-1,0,0
500100029,True,False,Invalid \escape: line 6 column 6 (char 137),-1,-1,0,0,0,-1,0,0
500100030,True,False,Invalid \escape: line 6 column 6 (char 136),-1,-1,0,0,0,-1,0,0
500100031,True,False,Invalid \escape: line 6 column 7 (char 117),-1,-1,0,0,0,-1,0,0
500100032,True,False,Invalid \escape: line 6 column 7 (char 140),-1,-1,0,0,0,-1,0,0
500100033,True,False,Invalid \escape: line 6 column 6 (char 179),-1,-1,0,0,0,-1,0,0
500100034,True,False,Expecting property name enclosed in double quotes: line 24 column 14 (char 1131),-1,-1,0,0,0,-1,0,0
500100035,True,False,Expecting property name enclosed in double quotes: line 8 column 143 (char 324),-1,-1,0,0,0,-1,0,0
500100036,True,False,Invalid \escape: line 7 column 6 (char 116),-1,-1,0,0,0,-1,0,0
500100037,True,False,Expecting property name enclosed in double quotes: line 5 column 91 (char 155),-1,-1,0,0,0,-1,0,0
500100038,True,False,Expecting property name enclosed in double quotes: line 4 column 7 (char 50),-1,-1,0,0,0,-1,0,0
500100039,True,False,Invalid \escape: line 7 column 6 (char 130),-1,-1,0,0,0,-1,0,0
500100040,True,False,Invalid \escape: line 7 column 6 (char 126),-1,-1,0,0,0,-1,0,0
500100041,True,False,Invalid \escape: line 6 column 6 (char 139),-1,-1,0,0,0,-1,0,0
500100042,True,False,Invalid \escape: line 4 column 20 (char 57),-1,-1,0,0,0,-1,0,0
500100043,True,False,Expecting property name enclosed in double quotes: line 7 column 77 (char 240),-1,-1,0,0,0,-1,0,0
500100044,True,False,Invalid \escape: line 6 column 7 (char 129),-1,-1,0,0,0,-1,0,0
500100045,True,False,Invalid \escape: line 7 column 6 (char 102),-1,-1,0,0,0,-1,0,0
500100046,True,False,Invalid \escape: line 6 column 7 (char 143),-1,-1,0,0,0,-1,0,0
500100047,True,False,Expecting property name enclosed in double quotes: line 6 column 9 (char 118),-1,-1,0,0,0,-1,0,0
500100048,True,False,Invalid \escape: line 7 column 15 (char 181),-1,-1,0,0,0,-1,0,0
500100049,True,False,Expecting property name enclosed in double quotes: line 9 column 10 (char 258),-1,-1,0,0,0,-1,0,0
500100050,True,False,Expecting ':' delimiter: line 20 column 21 (char 1101),-1,-1,0,0,0,-1,0,0
500100051,True,False,Expecting property name enclosed in double quotes: line 7 column 2 (char 167),-1,-1,0,0,0,-1,0,0
500100052,True,False,Invalid \escape: line 6 column 6 (char 104),-1,-1,0,0,0,-1,0,0
500100053,True,False,Invalid \escape: line 6 column 6 (char 104),-1,-1,0,0,0,-1,0,0
500100054,True,False,Invalid \escape: line 6 column 7 (char 111),-1,-1,0,0,0,-1,0,0
500100055,True,False,Expecting property name enclosed in double quotes: line 7 column 7 (char 111),-1,-1,0,0,0,-1,0,0
500100056,True,False,"Expecting ',' delimiter: line 14 column 62 (char 467)",-1,-1,0,0,0,-1,0,0
500100057,True,False,Expecting property name enclosed in double quotes: line 6 column 7 (char 138),-1,-1,0,0,0,-1,0,0
500100058,True,False,"Expecting ',' delimiter: line 16 column 155 (char 681)",-1,-1,0,0,0,-1,0,0
500100059,True,False,Expecting property name enclosed in double quotes: line 5 column 8 (char 54),-1,-1,0,0,0,-1,0,0
500100060,True,False,Expecting property name enclosed in double quotes: line 6 column 7 (char 166),-1,-1,0,0,0,-1,0,0
500100061,True,False,Invalid \escape: line 5 column 24 (char 65),-1,-1,0,0,0,-1,0,0
500100062,True,False,Invalid \escape: line 6 column 11 (char 131),-1,-1,0,0,0,-1,0,0
500100063,True,False,Invalid \escape: line 7 column 6 (char 118),-1,-1,0,0,0,-1,0,0
500100064,True,False,Invalid \escape: line 13 column 182 (char 788),-1,-1,0,0,0,-1,0,0
500100065,True,False,Expecting property name enclosed in double quotes: line 12 column 119 (char 631),-1,-1,0,0,0,-1,0,0
500100066,True,False,Expecting property name enclosed in double quotes: line 10 column 7 (char 244),-1,-1,0,0,0,-1,0,0
