ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,1,Executive/Senior Management,0
0,0.0,1,Manager,0
0,0.0,1,Staff/Employee,0
0,0.0,1,Intern,0
0,0.0,1,Other,0
1,0.0,2,Executive/Senior Management,0
1,0.0,2,Manager,0
1,0.0,2,Staff/Employee,0
1,0.0,2,Intern,0
1,0.0,2,Other,0
2,0.0,3,Executive/Senior Management,0
2,0.0,3,Manager,0
2,0.0,3,Staff/Employee,0
2,0.0,3,Intern,0
2,0.0,3,Other,0
3,0.0,4,Executive/Senior Management,0
3,0.0,4,Manager,0
3,0.0,4,Staff/Employee,0
3,0.0,4,Intern,0
3,0.0,4,Other,0
4,0.0,5,Executive/Senior Management,0
4,0.0,5,Manager,0
4,0.0,5,Staff/Employee,0
4,0.0,5,Intern,0
4,0.0,5,Other,0
5,0.0,6,Executive/Senior Management,0
5,0.0,6,Manager,0
5,0.0,6,Staff/Employee,0
5,0.0,6,Intern,0
5,0.0,6,Other,0
6,0.0,7,Executive/Senior Management,0
6,0.0,7,Manager,0
6,0.0,7,Staff/Employee,0
6,0.0,7,Intern,0
6,0.0,7,Other,0
7,0.0,8,Executive/Senior Management,0
7,0.0,8,Manager,0
7,0.0,8,Staff/Employee,0
7,0.0,8,Intern,0
7,0.0,8,Other,0
8,0.0,9,Executive/Senior Management,0
8,0.0,9,Manager,0
8,0.0,9,Staff/Employee,0
8,0.0,9,Intern,0
8,0.0,9,Other,0
9,0.0,10,Executive/Senior Management,0
9,0.0,10,Manager,0
9,0.0,10,Staff/Employee,0
9,0.0,10,Intern,0
9,0.0,10,Other,0
0,1.0,Yes,Less than 1 year,0
0,1.0,Yes,1-3 years,0
0,1.0,Yes,3-5 years,0
0,1.0,Yes,5-10 years,0
0,1.0,Yes,More than 10 years,0
1,1.0,No,Less than 1 year,0
1,1.0,No,1-3 years,0
1,1.0,No,3-5 years,0
1,1.0,No,5-10 years,0
1,1.0,No,More than 10 years,0
0,2.0,"Yes, fully utilized",Yes,0
0,2.0,"Yes, fully utilized",No,0
0,2.0,"Yes, fully utilized",Not sure,0
1,2.0,"Yes, but not fully utilized",Yes,0
1,2.0,"Yes, but not fully utilized",No,0
1,2.0,"Yes, but not fully utilized",Not sure,0
2,2.0,"No, not utilized",Yes,0
2,2.0,"No, not utilized",No,0
2,2.0,"No, not utilized",Not sure,0
0,3.0,"Yes, I have a good balance",Yes,0
0,3.0,"Yes, I have a good balance",No,0
0,3.0,"Yes, I have a good balance",Not sure,0
1,3.0,"Yes, but I could improve",Yes,0
1,3.0,"Yes, but I could improve",No,0
1,3.0,"Yes, but I could improve",Not sure,0
2,3.0,"No, I do not have a good balance",Yes,0
2,3.0,"No, I do not have a good balance",No,0
2,3.0,"No, I do not have a good balance",Not sure,0
0,4.0,"Yes, clear path",Yes,0
0,4.0,"Yes, clear path",No,0
0,4.0,"Yes, clear path",Not applicable,0
1,4.0,"Yes, but path could be clearer",Yes,0
1,4.0,"Yes, but path could be clearer",No,0
1,4.0,"Yes, but path could be clearer",Not applicable,0
2,4.0,"No, I do not have a clear path",Yes,0
2,4.0,"No, I do not have a clear path",No,0
2,4.0,"No, I do not have a clear path",Not applicable,0
