ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,"On a scale of 1 to 10, how would you rate the support you received from your manager?",Did you get support from your teammates?,0.11433239009500591
0,"On a scale of 1 to 10, how would you rate the support you received from your manager?",What worked the most for you (put at the top what worked the best),0.04346414462411504
0,"On a scale of 1 to 10, how would you rate the support you received from your manager?",What could we do better?,0.0
0,"On a scale of 1 to 10, how would you rate the support you received from your manager?",What are the expectations for the next months?,0.03073379140218457
1,Do you feel that your opinions and concerns about your work are valued by your team?,Did you get support from your teammates?,0.0480675628866961
1,Do you feel that your opinions and concerns about your work are valued by your team?,What worked the most for you (put at the top what worked the best),0.03398889967229363
1,Do you feel that your opinions and concerns about your work are valued by your team?,What could we do better?,0.0
1,Do you feel that your opinions and concerns about your work are valued by your team?,What are the expectations for the next months?,0.03398889967229363
2,Do you feel you have enough resources to perform your job effectively?,Did you get support from your teammates?,0.06135967792806904
2,Do you feel you have enough resources to perform your job effectively?,What worked the most for you (put at the top what worked the best),0.03672701732836426
2,Do you feel you have enough resources to perform your job effectively?,What could we do better?,0.0
2,Do you feel you have enough resources to perform your job effectively?,What are the expectations for the next months?,0.0
3,Do you feel you have enough autonomy to make decisions about your work?,Did you get support from your teammates?,0.057344543002191384
3,Do you feel you have enough autonomy to make decisions about your work?,What worked the most for you (put at the top what worked the best),0.03754653208349827
3,Do you feel you have enough autonomy to make decisions about your work?,What could we do better?,0.0
3,Do you feel you have enough autonomy to make decisions about your work?,What are the expectations for the next months?,0.0
4,Do you feel you are able to give feedback to your team and manager about your work?,Did you get support from your teammates?,0.045642579965682134
4,Do you feel you are able to give feedback to your team and manager about your work?,What worked the most for you (put at the top what worked the best),0.032274177804583096
4,Do you feel you are able to give feedback to your team and manager about your work?,What could we do better?,0.0
4,Do you feel you are able to give feedback to your team and manager about your work?,What are the expectations for the next months?,0.032274177804583096
