QUESTIONNAIRE_ID,ASW_ROUGE_SCORE_MEAN,ASW_ROUGE_SCORE_VAR,QST_ROUGE_SCORE_MEAN,QST_ROUGE_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,0.017857142857142856,0.004464285714285714,0.2142212051868802,0.003822807587735301
1213249,0.0,0.0,0.21396965607491922,0.001789777766893911
1433792,,,,
5100002,,,,
5100003,0.2167207792207792,0.16459407494498854,0.3462702472293265,0.009330077169679549
500000002,,,,
500000003,0.3999999999999999,0.19444444444444442,0.24381868131868129,0.003881249245260236
500000005,0.0,0.0,0.3111111111111111,0.023703703703703716
500100002,,,,
500100003,,,,
500100004,,,,
500100005,0.34329044117647056,0.21375950655997694,0.4777777777777778,0.004814814814814813
500100006,0.10666666666666666,0.06222222222222221,0.5254004576659039,4.18916159167192e-06
500100007,0.15154950869236583,0.037597031758029496,0.3607487756959392,0.004480511240213495
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,,,,
500100013,0.08355555555555556,0.017377777777777777,0.33709834922111137,0.006441095086055424
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,,,,
500100024,,,,
500100025,,,,
500100026,,,,
500100027,,,,
500100028,,,,
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,,,,
500100034,,,,
500100035,,,,
500100036,,,,
500100037,,,,
500100038,0.012445887445887443,0.002092534289503985,0.4376785658442005,0.007156206157702482
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,,,,
500100044,,,,
500100045,,,,
500100046,,,,
500100047,,,,
500100048,,,,
500100049,,,,
500100050,,,,
500100051,0.25,0.2,0.5702704530087896,0.005983885096786615
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,,,,
500100057,,,,
500100058,,,,
500100059,0.24266666666666667,0.17217777777777776,0.38594982078853046,0.014263331663262283
500100060,,,,
500100061,,,,
500100062,,,,
500100063,,,,
500100064,,,,
500100065,,,,
500100066,,,,
