QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146004,0,Is the temperature in your workplace comfortable?,Working Environment,0.0,0.0,0.0
1146004,1,Is the level of noise in your workplace acceptable?,Working Environment,0.0,0.0,0.0
1146004,2,Do you have enough space in your workplace?,Working Environment,0.0,0.0,0.0
1146004,3,Do you like the lighting in your workplace?,Working Environment,0.0,0.0,0.0
1146004,4,Do you feel that your workplace is clean?,Working Environment,0.0,0.0,0.0
500000002,0,"On a scale of 1-10, how would you rate your overall satisfaction with your job?",Ã¯Â¿Â½I am satisfied with my overall compensation.,0.050784795260207,0.014396010050532562,0.00038072748784489645
500000002,1,Do you feel supported and encouraged by your manager?,Ã¯Â¿Â½I feel completely involved in my work.,0.0552422012763417,0.012968356421225069,0.0004222160816619406
500000002,2,How well do you feel your values align with the values of the company?,I am satisfied with the job-related training my organization offers.,0.1048284836721918,0.0313910479412265,0.0016171861982481064
500000002,3,Do you feel you have the tools and resources you need to perform your job effectively?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.0480675628866961,0.026371591205120355,0.00025938771660616154
500000002,4,Do you feel your opinions and ideas are valued and taken into consideration?,Ã¯Â¿Â½I am satisfied with the investment my organization makes in training and education.,0.0405487152208931,0.007602884103917457,0.0002671822247355768
500000002,5,Do you feel you have enough flexibility in your work schedule?,Ã¯Â¿Â½I feel completely involved in my work.,0.0660288541995552,0.015264673628683731,0.0005742381280819935
500000002,6,Do you feel you are able to maintain a healthy work-life balance?,I am able to make decisions affecting my work.,0.1230914909793327,0.021251919546945823,0.0011558489992818867
500000002,7,Do you feel you are able to provide constructive feedback to your colleagues?,I am able to make decisions affecting my work.,0.1132277034144595,0.019748204969932813,0.0009867759172191054
500000003,0,Does the employee show initiative and positive attitude in their work?,Has always a positive attitude with collagues,0.1348399724926484,0.03436354052101229,0.0021821013178661888
500000003,1,Is the employee able to learn new skills and adapt to new situations?,Takes the risk to decide for the Team,0.0573445430021913,0.019404725153159462,0.0007440920948811637
500000003,2,Is the employee able to work independently and take on responsibilities?,Also suitable to work in this area,0.1348399724926484,0.03336221011146985,0.002571020121065075
500000003,3,Is the employee able to work well in a team and contribute positively?,Also suitable to work in this area,0.1386750490563073,0.03673910628519787,0.002379095045144875
