QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
1146004,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
1173001,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
1173002,True,False,Expecting property name enclosed in double quotes: line 339 column 24 (char 7996),-1,-1,0,0,0,-1,0,0
1173003,True,False,Unterminated string starting at: line 573 column 2 (char 7710),-1,-1,0,0,0,-1,0,0
1173004,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
1173005,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
1213249,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
1433792,True,False,Unterminated string starting at: line 10 column 27 (char 147),-1,-1,0,0,0,-1,0,0
5100002,True,False,Expecting ':' delimiter: line 2 column 8 (char 10),-1,-1,0,0,0,-1,0,0
5100003,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500000002,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500000003,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500000005,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100002,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100003,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100004,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100005,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100006,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100007,True,False,Unterminated string starting at: line 11 column 27 (char 166),-1,-1,0,0,0,-1,0,0
500100008,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100009,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100010,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100011,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100012,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100013,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100014,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100015,True,False,Unterminated string starting at: line 5 column 9 (char 49),-1,-1,0,0,0,-1,0,0
500100016,True,False,Expecting ':' delimiter: line 311 column 20 (char 7383),-1,-1,0,0,0,-1,0,0
500100017,True,False,Expecting ':' delimiter: line 311 column 20 (char 7383),-1,-1,0,0,0,-1,0,0
500100018,True,False,Expecting ':' delimiter: line 311 column 20 (char 7383),-1,-1,0,0,0,-1,0,0
500100019,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500100020,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500100021,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500100022,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500100023,True,False,Unterminated string starting at: line 338 column 2 (char 7992),-1,-1,0,0,0,-1,0,0
500100024,True,False,Unterminated string starting at: line 338 column 2 (char 7992),-1,-1,0,0,0,-1,0,0
500100025,True,False,Unterminated string starting at: line 338 column 2 (char 7992),-1,-1,0,0,0,-1,0,0
500100026,True,False,Unterminated string starting at: line 338 column 2 (char 7992),-1,-1,0,0,0,-1,0,0
500100027,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100028,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100029,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500100030,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500100031,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500100032,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500100033,True,False,Unterminated string starting at: line 573 column 2 (char 7710),-1,-1,0,0,0,-1,0,0
500100034,True,False,Unterminated string starting at: line 573 column 2 (char 7710),-1,-1,0,0,0,-1,0,0
500100035,True,False,Unterminated string starting at: line 573 column 2 (char 7710),-1,-1,0,0,0,-1,0,0
500100036,True,False,Unterminated string starting at: line 573 column 2 (char 7710),-1,-1,0,0,0,-1,0,0
500100037,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100038,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100039,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100040,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100041,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100042,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100043,True,False,Unterminated string starting at: line 573 column 2 (char 7710),-1,-1,0,0,0,-1,0,0
500100044,True,False,Unterminated string starting at: line 5 column 10 (char 50),-1,-1,0,0,0,-1,0,0
500100045,True,False,Unterminated string starting at: line 311 column 3 (char 7675),-1,-1,0,0,0,-1,0,0
500100046,True,False,Unterminated string starting at: line 8 column 19 (char 104),-1,-1,0,0,0,-1,0,0
500100047,True,False,Expecting ':' delimiter: line 2 column 8 (char 10),-1,-1,0,0,0,-1,0,0
500100048,True,False,Expecting ':' delimiter: line 2 column 8 (char 10),-1,-1,0,0,0,-1,0,0
500100049,True,False,Expecting ':' delimiter: line 2 column 8 (char 10),-1,-1,0,0,0,-1,0,0
500100050,True,False,Expecting ':' delimiter: line 2 column 8 (char 10),-1,-1,0,0,0,-1,0,0
500100051,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100052,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100053,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100054,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100055,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100056,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100057,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100058,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100059,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100060,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100061,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100062,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100063,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100064,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100065,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100066,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
