QUESTIONNAIRE_ID,ASW_BLEU_SCORE_MEAN,ASW_BLEU_SCORE_VAR,QST_BLEU_SCORE_MEAN,QST_BLEU_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,,,,
1213249,,,,
1433792,,,,
5100002,,,,
5100003,,,,
500000002,,,,
500000003,0.2,0.1655172413793104,0.08196033751884399,0.0036857293490867135
500000005,0.0,0.0,0.17847812410079658,0.011117828411748605
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,0.007698520569255167,0.0007001117964565237,0.3771650561089518,0.020853504102696513
500100007,,,,
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,,,,
500100013,0.0,0.0,0.14832970112799002,0.01176028243570769
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,,,,
500100024,,,,
500100025,,,,
500100026,,,,
500100027,,,,
500100028,,,,
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,,,,
500100034,,,,
500100035,,,,
500100036,,,,
500100037,,,,
500100038,0.005051259096022796,0.00028082451112148844,0.27716068598022026,0.01444018375255599
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,,,,
500100044,,,,
500100045,,,,
500100046,,,,
500100047,,,,
500100048,,,,
500100049,,,,
500100050,,,,
500100051,,,,
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,,,,
500100057,,,,
500100058,,,,
500100059,0.24,0.18999999999999997,0.2503252288399176,0.011802124501051845
500100060,,,,
500100061,,,,
500100062,,,,
500100063,,,,
500100064,,,,
500100065,,,,
500100066,,,,
