QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
500000003,0,"On a scale of 1-10, how likely are you to recommend this employee to a friend or colleague?",Also suitable to work in this area,0.1538461538461538,0.06033861468644075,0.0031103827673077907
500000003,1,This employee has the potential to be a team leader,Takes the risk to decide for the Team,0.3333333333333332,0.10364145658263302,0.0163987163492848
500000003,2,This employee is able to handle a more responsible position,Is attentive to details,0.2857142857142857,0.09372082166199813,0.013273392145529236
500000003,3,This employee has the ability to work independently,Also suitable to work in this area,0.2666666666666666,0.10208333333333332,0.013685515873015867
500000003,4,This employee is able to learn new skills quickly,Is attentive to details,0.3076923076923076,0.06879242081447962,0.012325887052959011
500000005,0,"On a scale of 1 to 10, how would you rate the course overall?",How do you rate this course?,0.4,0.1581954887218045,0.03189598055288598
500000005,1,Did you enjoy taking this course?,How do you rate this course?,0.5,0.16713286713286712,0.04176487847816519
500000005,2,How would you describe the course materials?,How do you rate this course?,0.4615384615384615,0.21135531135531133,0.05027841511357994
500000005,3,How well did the course meet your expectations?,How do you rate this course?,0.2857142857142857,0.14124542124542122,0.019165264527901883
500000005,4,How would you rate the course instructor?,How do you rate this course?,0.6153846153846153,0.24212454212454207,0.07425700063062698
500100006,0,How satisfied are you with the health benefits offered by the company?,"On a scale of 1 to 10, how satisfied are you with the benefits provided by the company? (1 being very dissatisfied, 10 being very satisfied)",0.5263157894736842,0.30162310356818367,0.01760256818453578
500100006,1,How satisfied are you with the vision benefits offered by the company?,"On a scale of 1 to 10, how satisfied are you with the benefits provided by the company? (1 being very dissatisfied, 10 being very satisfied)",0.5263157894736842,0.30162310356818367,0.01760256818453578
500100006,2,How satisfied are you with the dental benefits offered by the company?,"On a scale of 1 to 10, how satisfied are you with the benefits provided by the company? (1 being very dissatisfied, 10 being very satisfied)",0.5263157894736842,0.30162310356818367,0.01760256818453578
500100006,3,How satisfied are you with the vision benefits offered by the company?,"On a scale of 1 to 10, how satisfied are you with the benefits provided by the company? (1 being very dissatisfied, 10 being very satisfied)",0.5263157894736842,0.30162310356818367,0.01760256818453578
500100006,4,Do you feel that the benefits offered by the company meet your needs?,Do you feel that the benefits provided adequately meet your needs?,0.7500000000000001,0.3340689211111527,0.03312527325497602
500100013,0,"On a scale of 1-10, how satisfied are you with the current performance of the employee?",How satisfied are you with the performance evaluation process in the company?,0.5517241379310345,0.18825176121616607,0.021834592966048158
500100013,1,How would you rate the employee's problem-solving skills?,How long have you been with the company?,0.3333333333333332,0.14293510553101343,0.007978928058324083
500100013,2,How well does the employee handle pressure?,How long have you been with the company?,0.2666666666666666,0.08486215538847117,0.01007475804521049
500100013,3,How would you rate the employee's communication skills?,How long have you been with the company?,0.3529411764705882,0.15022323158512413,0.008917842087332088
500100013,4,How would you rate the employee's teamwork skills?,How long have you been with the company?,0.3529411764705882,0.15022323158512413,0.008917842087332088
500100038,0,"On a scale of 1 to 10, how would you rate the effectiveness of the diversity training program in terms of creating a more inclusive environment?","On a scale of 1 to 10, how would you rate the overall quality of diversity training programs provided by the company? (1 being very poor, 10 being excellent)",0.5818181818181819,0.3068546977937584,0.018378771427340367
500100038,1,How well do you think the diversity training program addressed the topic of unconscious bias?,Do you believe the diversity training programs have positively impacted the company's culture and workplace environment?,0.4374999999999999,0.32570714828779346,0.00418146019090481
500100038,2,Do you feel that the diversity training program provided enough examples and case studies to illustrate the importance of diversity and inclusion?,Do you believe the diversity training programs have positively impacted the company's culture and workplace environment?,0.4102564102564102,0.27280558440051095,0.004964247188035456
500100038,3,How would you rate the level of engagement and participation from the facilitators and trainers during the diversity training program?,What improvements or changes would you suggest to enhance the quality of diversity training programs?,0.4,0.3007231155454238,0.004269665465123936
500100038,4,Do you think that the diversity training program provided enough opportunities for participants to share their thoughts and opinions?,Do you believe the diversity training programs have positively impacted the company's culture and workplace environment?,0.3888888888888889,0.27310085324452354,0.0033453799217733316
500100059,0,"On a scale of 1 to 10, how would you rate the level of collaboration in your workplace?","On a scale of 1 to 5, how would you rate the overall workplace culture within the company? (1 being very poor, 5 being excellent)",0.5581395348837209,0.2953133864787049,0.036977024435491855
500100059,1,Do you feel that your workplace culture is inclusive and encourages diversity?,Do you feel that diversity and inclusion are valued and promoted within the company?,0.4615384615384615,0.22125312125312124,0.014918124371616326
500100059,2,How often do you have opportunities to provide feedback about the workplace culture?,What improvements would you suggest to enhance workplace culture within the company?,0.32,0.23552145947524636,0.0033856264256428904
500100059,3,How often do you feel that your values align with the values promoted by your workplace culture?,Do you feel that diversity and inclusion are valued and promoted within the company?,0.3870967741935484,0.24318623111090928,0.00533912105923194
