ID,GENERATED,GROUND_TRUTH,R1_PRECISION,R1_RECALL,R1_F1_SCORE,R2_PRECISION,R2_RECALL,R2_F1_SCORE,RL_PRECISION,RL_RECALL,RL_F1_SCORE
0,How often do you feel stressed?,What type of employment do you have?,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.2,0.16666666666666666,0.1818181818181818,0.3333333333333333,0.2857142857142857,0.30769230769230765
0,How often do you feel stressed?,What is your tenure with the company?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,How often do you feel stressed?,"On a scale of 1 to 5, how would you rate your current work-life balance? (1 being very poor, 5 being excellent)",0.3333333333333333,0.08695652173913043,0.13793103448275862,0.0,0.0,0.0,0.3333333333333333,0.08695652173913043,0.13793103448275862
0,How often do you feel stressed?,How often do you feel overwhelmed by your workload?,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.8,0.5,0.6153846153846154,0.8333333333333334,0.5555555555555556,0.6666666666666667
0,How often do you feel stressed?,My company promotes a healthy work-life balance for its employees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,How often do you feel stressed?,"Have you utilized any work-life balance resources provided by the company (e.g., flexible work arrangements, wellness programs)?",0.16666666666666666,0.05263157894736842,0.08,0.0,0.0,0.0,0.16666666666666666,0.05263157894736842,0.08
0,How often do you feel stressed?,How can the company better support employees in achieving a healthy work-life balance?,0.16666666666666666,0.07142857142857142,0.1,0.0,0.0,0.0,0.16666666666666666,0.07142857142857142,0.1
1,How often do you take breaks during work?,What type of employment do you have?,0.25,0.2857142857142857,0.26666666666666666,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.25,0.2857142857142857,0.26666666666666666
1,How often do you take breaks during work?,What is your tenure with the company?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,How often do you take breaks during work?,"On a scale of 1 to 5, how would you rate your current work-life balance? (1 being very poor, 5 being excellent)",0.375,0.13043478260869565,0.19354838709677416,0.0,0.0,0.0,0.375,0.13043478260869565,0.19354838709677416
1,How often do you take breaks during work?,How often do you feel overwhelmed by your workload?,0.5,0.4444444444444444,0.47058823529411764,0.42857142857142855,0.375,0.39999999999999997,0.5,0.4444444444444444,0.47058823529411764
1,How often do you take breaks during work?,My company promotes a healthy work-life balance for its employees,0.125,0.09090909090909091,0.10526315789473685,0.0,0.0,0.0,0.125,0.09090909090909091,0.10526315789473685
1,How often do you take breaks during work?,"Have you utilized any work-life balance resources provided by the company (e.g., flexible work arrangements, wellness programs)?",0.25,0.10526315789473684,0.14814814814814814,0.0,0.0,0.0,0.25,0.10526315789473684,0.14814814814814814
