QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
500100009,0.0,0,Strongly agree,Executive/Senior Management,0.0,0.0,0.0
500100009,0.0,1,Agree,Executive/Senior Management,0.0,0.0,0.0
500100009,0.0,2,Neutral,Executive/Senior Management,0.0,0.0,0.0
500100009,0.0,3,Disagree,Executive/Senior Management,0.0,0.0,0.0
500100009,0.0,4,Strongly disagree,Executive/Senior Management,0.0,0.0,0.0
500100009,1.0,0,Always,Less than 1 year,0.0,0.0,0.0
500100009,1.0,1,Most of the time,Less than 1 year,0.0,0.0,0.0
500100009,1.0,2,Sometimes,Less than 1 year,0.0,0.0,0.0
500100009,1.0,3,Rarely,Less than 1 year,0.0,0.0,0.0
500100009,1.0,4,Never,Less than 1 year,0.0,0.0,0.0
500100009,2.0,0,Strongly agree,1,0.0,0.0,0.0
500100009,2.0,1,Agree,1,0.0,0.0,0.0
500100009,2.0,2,Neutral,1,0.0,0.0,0.0
500100009,2.0,3,Disagree,1,0.0,0.0,0.0
500100009,2.0,4,Strongly disagree,1,0.0,0.0,0.0
500100009,3.0,0,Always,1,0.0,0.0,0.0
500100009,3.0,1,Most of the time,1,0.0,0.0,0.0
500100009,3.0,2,Sometimes,1,0.0,0.0,0.0
500100009,3.0,3,Rarely,1,0.0,0.0,0.0
500100009,3.0,4,Never,1,0.0,0.0,0.0
500100009,4.0,0,Strongly agree,"Yes, regularly",0.0,0.0,0.0
500100009,4.0,1,Agree,"Yes, regularly",0.0,0.0,0.0
500100009,4.0,2,Neutral,"Yes, regularly",0.0,0.0,0.0
500100009,4.0,3,Disagree,"Yes, regularly",0.0,0.0,0.0
500100009,4.0,4,Strongly disagree,"Yes, regularly",0.0,0.0,0.0
500100009,5.0,0,Always,1,0.0,0.0,0.0
500100009,5.0,1,Most of the time,1,0.0,0.0,0.0
500100009,5.0,2,Sometimes,1,0.0,0.0,0.0
500100009,5.0,3,Rarely,1,0.0,0.0,0.0
500100009,5.0,4,Never,1,0.0,0.0,0.0
500100033,0.0,0,Strongly agree,1,0.0,0.0,0.0
500100033,0.0,1,Agree,1,0.0,0.0,0.0
500100033,0.0,2,Neutral,1,0.0,0.0,0.0
500100033,0.0,3,Disagree,1,0.0,0.0,0.0
500100033,0.0,4,Strongly disagree,1,0.0,0.0,0.0
500100033,1.0,0,Strongly agree,Yes,0.0,0.0,0.0
500100033,1.0,1,Agree,Yes,0.0,0.0,0.0
500100033,1.0,2,Neutral,Yes,0.0,0.0,0.0
500100033,1.0,3,Disagree,Yes,0.0,0.0,0.0
500100033,1.0,4,Strongly disagree,Yes,0.0,0.0,0.0
500100033,2.0,0,Strongly agree,Yes,0.0,0.0,0.0
500100033,2.0,1,Agree,Yes,0.0,0.0,0.0
500100033,2.0,2,Neutral,Yes,0.0,0.0,0.0
500100033,2.0,3,Disagree,Yes,0.0,0.0,0.0
500100033,2.0,4,Strongly disagree,Yes,0.0,0.0,0.0
500100033,3.0,0,Strongly agree,1,0.0,0.0,0.0
500100033,3.0,1,Agree,1,0.0,0.0,0.0
500100033,3.0,2,Neutral,1,0.0,0.0,0.0
500100033,3.0,3,Disagree,1,0.0,0.0,0.0
500100033,3.0,4,Strongly disagree,1,0.0,0.0,0.0
