ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Less than 1 year,Very satisfied,0
0,0.0,Less than 1 year,Somewhat satisfied,0
0,0.0,Less than 1 year,Neither satisfied nor dissatisfied,0
0,0.0,Less than 1 year,Somewhat dissatisfied,0
0,0.0,Less than 1 year,Very dissatisfied,0
1,0.0,1-3 years,Very satisfied,0
1,0.0,1-3 years,Somewhat satisfied,0
1,0.0,1-3 years,Neither satisfied nor dissatisfied,0
1,0.0,1-3 years,Somewhat dissatisfied,0
1,0.0,1-3 years,Very dissatisfied,0
2,0.0,3-5 years,Very satisfied,0
2,0.0,3-5 years,Somewhat satisfied,0
2,0.0,3-5 years,Neither satisfied nor dissatisfied,0
2,0.0,3-5 years,Somewhat dissatisfied,0
2,0.0,3-5 years,Very dissatisfied,0
3,0.0,5-10 years,Very satisfied,0
3,0.0,5-10 years,Somewhat satisfied,0
3,0.0,5-10 years,Neither satisfied nor dissatisfied,0
3,0.0,5-10 years,Somewhat dissatisfied,0
3,0.0,5-10 years,Very dissatisfied,0
4,0.0,More than 10 years,Very satisfied,0
4,0.0,More than 10 years,Somewhat satisfied,0
4,0.0,More than 10 years,Neither satisfied nor dissatisfied,0
4,0.0,More than 10 years,Somewhat dissatisfied,0
4,0.0,More than 10 years,Very dissatisfied,0
0,1.0,Prefer working remotely,Very satisfied,0
0,1.0,Prefer working remotely,Somewhat satisfied,0
0,1.0,Prefer working remotely,Neither satisfied nor dissatisfied,0
0,1.0,Prefer working remotely,Somewhat dissatisfied,0
0,1.0,Prefer working remotely,Very dissatisfied,0
1,1.0,Required by job,Very satisfied,0
1,1.0,Required by job,Somewhat satisfied,0
1,1.0,Required by job,Neither satisfied nor dissatisfied,0
1,1.0,Required by job,Somewhat dissatisfied,0
1,1.0,Required by job,Very dissatisfied,0
2,1.0,Personal preference,Very satisfied,0
2,1.0,Personal preference,Somewhat satisfied,0
2,1.0,Personal preference,Neither satisfied nor dissatisfied,0
2,1.0,Personal preference,Somewhat dissatisfied,0
2,1.0,Personal preference,Very dissatisfied,0
3,1.0,Temporary due to COVID-19,Very satisfied,0
3,1.0,Temporary due to COVID-19,Somewhat satisfied,0
3,1.0,Temporary due to COVID-19,Neither satisfied nor dissatisfied,0
3,1.0,Temporary due to COVID-19,Somewhat dissatisfied,0
3,1.0,Temporary due to COVID-19,Very dissatisfied,0
4,1.0,Other (please specify): __________________,Very satisfied,0
4,1.0,Other (please specify): __________________,Somewhat satisfied,0
4,1.0,Other (please specify): __________________,Neither satisfied nor dissatisfied,0
