QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
1146004,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
1173001,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
1173002,True,False,Invalid \escape: line 1 column 14 (char 13),-1,-1,0,0,0,-1,0,0
1173003,True,False,Invalid \escape: line 1 column 16 (char 15),-1,-1,0,0,0,-1,0,0
1173004,True,False,Expecting ':' delimiter: line 1 column 234 (char 233),-1,-1,0,0,0,-1,0,0
1173005,True,False,Expecting property name enclosed in double quotes: line 1 column 6 (char 5),-1,-1,0,0,0,-1,0,0
1213249,True,False,Invalid \escape: line 1 column 49 (char 48),-1,-1,0,0,0,-1,0,0
1433792,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
5100002,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
5100003,True,False,Expecting property name enclosed in double quotes: line 1 column 6 (char 5),-1,-1,0,0,0,-1,0,0
500000002,True,False,Invalid \escape: line 1 column 17 (char 16),-1,-1,0,0,0,-1,0,0
500000003,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
500000005,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100002,True,False,Invalid \escape: line 1 column 17 (char 16),-1,-1,0,0,0,-1,0,0
500100003,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100004,True,False,Invalid \escape: line 1 column 28 (char 27),-1,-1,0,0,0,-1,0,0
500100005,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100006,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100007,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100008,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100009,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
500100010,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
500100011,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100012,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100013,True,False,Invalid \escape: line 1 column 17 (char 16),-1,-1,0,0,0,-1,0,0
500100014,True,False,Expecting property name enclosed in double quotes: line 1 column 17 (char 16),-1,-1,0,0,0,-1,0,0
500100015,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100016,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100017,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100018,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100019,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
500100020,True,False,Expecting property name enclosed in double quotes: line 1 column 17 (char 16),-1,-1,0,0,0,-1,0,0
500100021,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100022,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100023,True,False,Invalid \escape: line 1 column 52 (char 51),-1,-1,0,0,0,-1,0,0
500100024,True,False,Invalid \escape: line 1 column 31 (char 30),-1,-1,0,0,0,-1,0,0
500100025,True,False,Expecting property name enclosed in double quotes: line 1 column 17 (char 16),-1,-1,0,0,0,-1,0,0
500100026,True,False,Invalid \escape: line 1 column 17 (char 16),-1,-1,0,0,0,-1,0,0
500100027,True,False,Invalid \escape: line 1 column 35 (char 34),-1,-1,0,0,0,-1,0,0
500100028,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100029,True,False,"Expecting ',' delimiter: line 1 column 29 (char 28)",-1,-1,0,0,0,-1,0,0
500100030,True,False,Invalid \escape: line 1 column 33 (char 32),-1,-1,0,0,0,-1,0,0
500100031,True,False,Invalid \escape: line 1 column 14 (char 13),-1,-1,0,0,0,-1,0,0
500100032,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
500100033,True,False,Expecting property name enclosed in double quotes: line 1 column 17 (char 16),-1,-1,0,0,0,-1,0,0
500100034,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100035,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100036,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
500100037,True,False,Invalid \escape: line 1 column 16 (char 15),-1,-1,0,0,0,-1,0,0
500100038,True,False,"Expecting ',' delimiter: line 1 column 85 (char 84)",-1,-1,0,0,0,-1,0,0
500100039,True,False,Invalid \escape: line 1 column 49 (char 48),-1,-1,0,0,0,-1,0,0
500100040,True,False,Invalid \escape: line 1 column 39 (char 38),-1,-1,0,0,0,-1,0,0
500100041,True,False,Expecting value: line 1 column 2 (char 1),-1,-1,0,0,0,-1,0,0
500100042,True,False,Invalid \escape: line 1 column 16 (char 15),-1,-1,0,0,0,-1,0,0
500100043,True,False,Expecting ':' delimiter: line 1 column 99 (char 98),-1,-1,0,0,0,-1,0,0
500100044,True,False,Invalid \escape: line 1 column 74 (char 73),-1,-1,0,0,0,-1,0,0
500100045,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100046,True,False,Invalid \escape: line 1 column 15 (char 14),-1,-1,0,0,0,-1,0,0
500100047,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100048,True,False,"Expecting ',' delimiter: line 1 column 22 (char 21)",-1,-1,0,0,0,-1,0,0
500100049,True,False,Expecting property name enclosed in double quotes: line 1 column 7 (char 6),-1,-1,0,0,0,-1,0,0
500100050,True,False,Invalid \escape: line 1 column 22 (char 21),-1,-1,0,0,0,-1,0,0
500100051,True,False,Invalid \escape: line 1 column 16 (char 15),-1,-1,0,0,0,-1,0,0
500100052,True,False,Invalid \escape: line 1 column 16 (char 15),-1,-1,0,0,0,-1,0,0
500100053,True,False,"Expecting ',' delimiter: line 1 column 34 (char 33)",-1,-1,0,0,0,-1,0,0
500100054,True,False,Invalid \escape: line 1 column 14 (char 13),-1,-1,0,0,0,-1,0,0
500100055,True,False,Invalid \escape: line 1 column 73 (char 72),-1,-1,0,0,0,-1,0,0
500100056,True,False,"Expecting ',' delimiter: line 1 column 37 (char 36)",-1,-1,0,0,0,-1,0,0
500100057,True,False,Invalid \escape: line 1 column 118 (char 117),-1,-1,0,0,0,-1,0,0
500100058,True,False,Expecting property name enclosed in double quotes: line 1 column 6 (char 5),-1,-1,0,0,0,-1,0,0
500100059,True,False,Invalid \escape: line 1 column 32 (char 31),-1,-1,0,0,0,-1,0,0
500100060,True,False,Invalid \escape: line 1 column 32 (char 31),-1,-1,0,0,0,-1,0,0
500100061,True,False,Invalid \escape: line 1 column 32 (char 31),-1,-1,0,0,0,-1,0,0
500100062,True,False,Expecting property name enclosed in double quotes: line 1 column 17 (char 16),-1,-1,0,0,0,-1,0,0
500100063,True,False,Expecting property name enclosed in double quotes: line 1 column 20 (char 19),-1,-1,0,0,0,-1,0,0
500100064,True,False,Invalid \escape: line 1 column 14 (char 13),-1,-1,0,0,0,-1,0,0
