EXPERIMENT_ID,CONVERSION_ERROR_RATE,JSON_ERROR_RATE,NOT_SINGLE_QUESTIONNAIRE_ERROR_RATE,AVG_GENERATED_QUESTIONNAIRES,UNIQUE_QST_CODE_ERROR_RATE,AVG_NOT_UNIQUE_QST_CODE,QST_WITHOUT_ANSWER_ERROR_RATE,AVG_QST_WITHOUT_ANSWER,AVERAGE_QUESTION_NUMBER_DEVIATION,AVERAGE_ANSWER_NUMBER_DEVIATION,AVERAGE_QUESTION_NUMBER_DEVIATION_WITH_SAMPLE
0s_FULL_mistral-7x22B_4000MT_0.25T_0.5FP,100.0,98.73417721518987,,1.0,0.0,,33.333333333333336,3.0,,,
0s_FULL_mistral-7x22B_4000MT_0.25T_0FP,37.9746835443038,37.9746835443038,0.0,1.0,0.0,,0.0,,,1.2123037093625328,
0s_FULL_mistral-7x22B_4000MT_0.5T_0FP,51.89873417721519,50.63291139240506,0.0,1.0,0.0,,0.4132231404958678,1.0,,1.7864357864357858,
0s_FULL_mistral-7x22B_4000MT_0.5T_1FP,100.0,100.0,,,,,,,,,
0s_FULL_mistral-7x22B_4000MT_0T_0.5FP,100.0,100.0,,,,,,,,,
0s_FULL_mistral-7x22B_4000MT_0T_0FP,36.70886075949367,36.70886075949367,0.0,1.0,0.0,,0.0,,,1.3138319283056124,
0s_FULL_mistral-7x22B_4000MT_0T_1FP,100.0,100.0,,,,,,,,,
0s_mistral-7x22B_4000MT_0.25T_0.5FP,100.0,100.0,,,,,,,,,
0s_mistral-7x22B_4000MT_0.25T_0FP,79.74683544303798,79.74683544303798,0.0,1.0,0.0,,0.0,,3.9166666666666665,0.666666666666667,
0s_mistral-7x22B_4000MT_0.5T_0FP,79.74683544303798,79.74683544303798,0.0,1.0,0.0,,0.0,,3.0833333333333335,1.3478835978835981,
0s_mistral-7x22B_4000MT_0.5T_1FP,100.0,100.0,,,,,,,,,
0s_mistral-7x22B_4000MT_0T_0.5FP,100.0,100.0,inf,2.0,,,,,,,
0s_mistral-7x22B_4000MT_0T_0FP,94.9367088607595,94.9367088607595,0.0,1.0,0.0,,0.0,,6.25,,
0s_mistral-7x22B_4000MT_0T_1FP,100.0,100.0,,,,,,,,,
1s_FULL_mistral-7x22B_4000MT_0.25T_0.5FP,100.0,100.0,,,,,,,,,
1s_FULL_mistral-7x22B_4000MT_0.25T_0FP,98.73417721518987,98.73417721518987,0.0,1.0,0.0,,0.0,,,,2.0
1s_FULL_mistral-7x22B_4000MT_0.5T_0FP,97.46835443037975,97.46835443037975,0.0,1.0,0.0,,0.0,,,,10.5
1s_FULL_mistral-7x22B_4000MT_0.5T_1FP,100.0,100.0,,,,,,,,,
1s_FULL_mistral-7x22B_4000MT_0T_0.5FP,100.0,100.0,,,,,,,,,
1s_FULL_mistral-7x22B_4000MT_0T_0FP,97.46835443037975,97.46835443037975,0.0,1.0,0.0,,0.0,,,,8.5
1s_FULL_mistral-7x22B_4000MT_0T_1FP,100.0,100.0,,,,,,,,,
1s_mistral-7x22B_4000MT_0.25T_0.5FP,100.0,100.0,,,,,,,,,
1s_mistral-7x22B_4000MT_0.25T_0FP,97.46835443037975,97.46835443037975,0.0,1.0,0.0,,0.0,,3.0,0.7785714285714287,1.0
1s_mistral-7x22B_4000MT_0.5T_0FP,97.46835443037975,97.46835443037975,0.0,1.0,0.0,,0.0,,6.0,0.1749999999999998,2.0
1s_mistral-7x22B_4000MT_0.5T_1FP,100.0,100.0,,,,,,,,,
1s_mistral-7x22B_4000MT_0T_0.5FP,100.0,100.0,,,,,,,,,
1s_mistral-7x22B_4000MT_0T_0FP,92.40506329113924,92.40506329113924,0.0,1.0,0.0,,0.0,,2.0,1.712962962962963,13.0
1s_mistral-7x22B_4000MT_0T_1FP,100.0,100.0,,,,,,,,,
